yyyymm,severity,kind,marca,canal,metric,value,threshold,detail
202606,INFO,KM0_FALLBACK,RENAULT,Corporate,b00d_private_moved_to_corporate,192,100,pool_b00d_private=3341; rate=0.0573
202606,INFO,KM0_FALLBACK,CITROEN,Corporate,b00d_private_moved_to_corporate,123,100,pool_b00d_private=1528; rate=0.0802
202606,INFO,KM0_FALLBACK,FORD,Corporate,b00d_private_moved_to_corporate,104,100,pool_b00d_private=1108; rate=0.0939
202606,WARN,NEW_BRAND,CHANGAN,,monthly_count,422,250,Marca con volumen relevante no vista en outputs historicos previos
202606,CRITICAL,CHANNEL_DRIFT,BMW,RAC,count_vs_same_month_history,965,+/-250 and +/-25%,"actual=1577; media_mismo_mes=612.0; historico=885,212,739; rel=+157.7%"
202606,CRITICAL,CHANNEL_DRIFT,BYD,Corporate,count_vs_same_month_history,913,+/-250 and +/-25%,"actual=1249; media_mismo_mes=336.0; historico=887,32,89; rel=+271.7%"
202606,CRITICAL,CHANNEL_DRIFT,BYD,Private,count_vs_same_month_history,1927,+/-250 and +/-25%,"actual=2474; media_mismo_mes=547.0; historico=1433,30,178; rel=+352.3%"
202606,CRITICAL,CHANNEL_DRIFT,CITROEN,Private,count_vs_same_month_history,519,+/-250 and +/-25%,"actual=1408; media_mismo_mes=889.3; historico=1111,840,717; rel=+58.3%"
202606,CRITICAL,CHANNEL_DRIFT,CITROEN,RAC,count_vs_same_month_history,-1483,+/-250 and +/-25%,"actual=708; media_mismo_mes=2191.3; historico=1849,2196,2529; rel=-67.7%"
202606,CRITICAL,CHANNEL_DRIFT,CUPRA,Private,count_vs_same_month_history,385,+/-250 and +/-25%,"actual=996; media_mismo_mes=610.7; historico=733,588,511; rel=+63.1%"
202606,WARN,CHANNEL_DRIFT,DACIA,Private,count_vs_same_month_history,1150,+/-250 and +/-25%,"actual=5455; media_mismo_mes=4305.0; historico=5436,3909,3570; rel=+26.7%"
202606,WARN,CHANNEL_DRIFT,DACIA,RAC,count_vs_same_month_history,304,+/-250 and +/-25%,"actual=1019; media_mismo_mes=715.0; historico=801,566,778; rel=+42.5%"
202606,WARN,CHANNEL_DRIFT,FIAT,Corporate,count_vs_same_month_history,-293,+/-250 and +/-25%,"actual=409; media_mismo_mes=702.0; historico=374,1100,632; rel=-41.7%"
202606,WARN,CHANNEL_DRIFT,FIAT,RAC,count_vs_same_month_history,-594,+/-250 and +/-25%,"actual=929; media_mismo_mes=1523.0; historico=1177,2034,1358; rel=-39.0%"
202606,WARN,CHANNEL_DRIFT,HYUNDAI,Private,count_vs_same_month_history,-1129,+/-250 and +/-25%,"actual=2150; media_mismo_mes=3279.3; historico=3274,3541,3023; rel=-34.4%"
202606,CRITICAL,CHANNEL_DRIFT,JEEP,RAC,count_vs_same_month_history,308,+/-250 and +/-25%,"actual=717; media_mismo_mes=409.0; historico=161,669,397; rel=+75.3%"
202606,WARN,CHANNEL_DRIFT,KIA,Private,count_vs_same_month_history,1074,+/-250 and +/-25%,"actual=3942; media_mismo_mes=2868.3; historico=2631,3342,2632; rel=+37.4%"
