anyo,mes,dia,marca,modelo,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,body_type,count
2026,08,13,CHANGAN,DEEPAL S05,01,Álava,Private,BEV,UKL2,REST,Standard,HACH 5P,1
2026,08,13,CUPRA,FORMENTOR,01,Álava,Private,ICE,UKL2,REST,Standard,SAT,1
2026,08,13,EBRO,S700,01,Álava,Private,ICE,UKL2,REST,Standard,SAV,1
2026,08,13,EBRO,S700,01,Álava,Private,PHEV,UKL2,REST,Standard,SAV,1
2026,08,13,JAECOO,JAECOO 8,01,Álava,Private,PHEV,KKL,REST,Standard,SAV,1
2026,08,13,KG MOBILITY,MUSSO,01,Álava,Private,ICE,SKL,REST,Standard,PICKUP,1
2026,08,13,KIA,PV5,01,Álava,Private,BEV,SKL,REST,Standard,TRANSPORTER,1
2026,08,13,LEAPMOTOR,C10,01,Álava,Corporate,BEV,MKL,REST,Standard,SAV,1
2026,08,13,MAZDA,MAZDA 3,01,Álava,Private,ICE,UKL2,REST,Standard,SEDAN,1
2026,08,13,MERCEDES,CLASE GLB,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,08,13,SKODA,KAMIQ,01,Álava,Private,ICE,UKL1,REST,Standard,SAV,1
2026,08,13,TOYOTA,C-HR,01,Álava,Private,ICE,UKL1,REST,Standard,SAV,1
2026,08,13,TOYOTA,COROLLA,01,Álava,Private,ICE,UKL2,REST,Standard,HACH 5P,1
2026,08,13,TOYOTA,GR YARIS,01,Álava,Private,ICE,UKL1,REST,Standard,HACH 3P,1
2026,08,13,TOYOTA,RAV 4,01,Álava,Private,PHEV,UKL2,REST,Standard,SAV,1
2026,08,13,TOYOTA,YARIS CROSS,01,Álava,Private,ICE,UKL1,REST,Standard,SAV,1
2026,08,13,VOLKSWAGEN,CADDY,01,Álava,Private,PHEV,SKL,REST,Standard,TRANSPORTER,1
2026,08,13,VOLKSWAGEN,CALIFORNIA,01,Álava,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,08,13,BYD,ATTO 2,02,Albacete,Private,BEV,UKL1,REST,Standard,SAV,1
2026,08,13,DACIA,SANDERO,02,Albacete,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2026,08,13,EBRO,S400,02,Albacete,Private,ICE,UKL2,REST,Standard,SAV,2
2026,08,13,LEXUS,LBX,02,Albacete,Corporate,ICE,UKL1,FOCUS SEGMENT,Standard,SAV,1
2026,08,13,MERCEDES,CLASE GLC,02,Albacete,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,08,13,MG,ZS,02,Albacete,Private,ICE,UKL1,REST,Standard,SAV,1
2026,08,13,NISSAN,QASHQAI,02,Albacete,Corporate,ICE,UKL2,REST,Standard,SAT,1
2026,08,13,RENAULT,MASTER,02,Albacete,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,08,13,SEAT,IBIZA,02,Albacete,Corporate,ICE,UKL1,REST,Standard,HACH 5P,1
2026,08,13,SEAT,IBIZA,02,Albacete,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2026,08,13,SKODA,KAMIQ,02,Albacete,Private,ICE,UKL1,REST,Standard,SAV,1
2026,08,13,TOYOTA,C-HR,02,Albacete,Private,ICE,UKL1,REST,Standard,SAV,1
2026,08,13,TOYOTA,PROACE CITY,02,Albacete,Corporate,BEV,SKL,REST,Standard,TRANSPORTER,1
2026,08,13,VOLKSWAGEN,T-ROC,02,Albacete,Private,ICE,UKL2,REST,Standard,SAV,1
2026,08,13,ALPINE,A290,03,Alicante,Private,BEV,UKL1,REST,Standard,HACH 5P,1
2026,08,13,AUDI,A3,03,Alicante,Private,ICE,UKL2,FOCUS SEGMENT,Standard,HACH 5P,1
2026,08,13,AUDI,A3,03,Alicante,Private,PHEV,UKL2,FOCUS SEGMENT,Standard,HACH 5P,1
2026,08,13,AUDI,Q4 SPORTBACK E-TRON,03,Alicante,Private,BEV,UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,08,13,BMW,SERIE 5,03,Alicante,Corporate,ICE,MKL,FOCUS SEGMENT,Standard,ESTATE,1
2026,08,13,BMW,X1,03,Alicante,Private,PHEV,UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,08,13,BMW,X5,03,Alicante,Private,PHEV,MKL,FOCUS SEGMENT,Standard,SAV,1
2026,08,13,BYD,SEAL,03,Alicante,Private,BEV,KKL,REST,Standard,SEDAN,2
2026,08,13,BYD,SEAL U,03,Alicante,Private,PHEV,KKL,REST,Standard,SAV,1
2026,08,13,CITROEN,C3,03,Alicante,Private,BEV,UKL1,REST,Standard,HACH 5P,1
2026,08,13,CUPRA,FORMENTOR,03,Alicante,Private,ICE,UKL2,REST,Standard,SAT,1
