anyo,mes,marca,modelo,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,body_type,count
2023,05,ALFA ROMEO,GIULIA,01,Álava,Corporate,ICE,KKL,REST,Standard,SEDAN,1
2023,05,ALFA ROMEO,STELVIO,01,Álava,Corporate,ICE,KKL,REST,Standard,SAV,1
2023,05,AUDI,A3,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,HACH 5P,1
2023,05,AUDI,A4 ALLROAD,01,Álava,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,ESTATE,1
2023,05,AUDI,Q2,01,Álava,Corporate,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,1
2023,05,AUDI,Q2,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,1
2023,05,AUDI,Q3 SPORTBACK,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,1
2023,05,AUDI,Q5,01,Álava,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,SAV,1
2023,05,AUDI,Q8,01,Álava,Private,ICE,MKL,FOCUS SEGMENT,M Performance,SAV,1
2023,05,BMW,SERIE 2,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,MPV,1
2023,05,BMW,SERIE 4,01,Álava,Private,ICE,KKL,FOCUS SEGMENT,M Performance,CABRIO,1
2023,05,BMW,X1,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,2
2023,05,BMW,X3,01,Álava,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,SAV,1
2023,05,BMW,iX,01,Álava,Corporate,BEV,MKL,FOCUS SEGMENT,Standard,SAV,1
2023,05,BYD,ATTO 3,01,Álava,Private,BEV,UKL2,REST,Standard,SAV,1
2023,05,CITROEN,BERLINGO,01,Álava,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2023,05,CITROEN,C3,01,Álava,Corporate,ICE,UKL1,REST,Standard,HACH 5P,6
2023,05,CITROEN,C3,01,Álava,Private,ICE,UKL1,REST,Standard,HACH 5P,2
2023,05,CITROEN,C3 AIRCROSS,01,Álava,Corporate,ICE,UKL2,REST,Standard,SAV,5
2023,05,CITROEN,C4,01,Álava,Corporate,ICE,UKL2,REST,Standard,HACH 5P,1
2023,05,CITROEN,C4,01,Álava,Private,ICE,UKL2,REST,Standard,HACH 5P,2
2023,05,CITROEN,C5 AIRCROSS,01,Álava,Corporate,ICE,UKL2,REST,Standard,SAV,1
2023,05,CITROEN,C5 AIRCROSS,01,Álava,Corporate,PHEV,UKL2,REST,Standard,SAV,2
2023,05,CITROEN,C5 AIRCROSS,01,Álava,Private,ICE,UKL2,REST,Standard,SAV,1
2023,05,CITROEN,C5X,01,Álava,Corporate,ICE,MKL,REST,Standard,SEDAN,15
2023,05,CITROEN,C5X,01,Álava,Corporate,PHEV,MKL,REST,Standard,SEDAN,1
2023,05,CUPRA,FORMENTOR,01,Álava,Corporate,ICE,UKL2,REST,Standard,SAT,3
2023,05,CUPRA,FORMENTOR,01,Álava,Private,ICE,UKL2,REST,Standard,SAT,2
2023,05,CUPRA,FORMENTOR,01,Álava,Private,PHEV,UKL2,REST,Standard,SAT,1
2023,05,DACIA,DUSTER,01,Álava,Corporate,ICE,SKL,REST,Standard,PICKUP,1
2023,05,DACIA,DUSTER,01,Álava,Private,ICE,SKL,REST,Standard,PICKUP,8
2023,05,DACIA,JOGGER,01,Álava,Corporate,ICE,UKL2,REST,Standard,MPV,2
2023,05,DACIA,JOGGER,01,Álava,Private,ICE,UKL2,REST,Standard,MPV,2
2023,05,DACIA,SANDERO,01,Álava,Corporate,ICE,UKL1,REST,Standard,HACH 5P,2
2023,05,DACIA,SANDERO,01,Álava,Private,ICE,UKL1,REST,Standard,HACH 5P,17
2023,05,DS,DS4,01,Álava,Corporate,PHEV,UKL2,REST,Standard,HACH 5P,1
2023,05,DS,DS4,01,Álava,RAC,ICE,UKL2,REST,Standard,HACH 5P,1
2023,05,DS,DS7 CROSSBACK,01,Álava,Private,ICE,UKL2,REST,Standard,SAV,1
2023,05,FIAT,DUCATO,01,Álava,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,2
2023,05,FIAT,DUCATO,01,Álava,Private,ICE,SKL,REST,Standard,TRANSPORTER,3
2023,05,FIAT,R19,01,Álava,Private,ICE,,REST,Standard,,1
2023,05,FORD,ECOSPORT,01,Álava,Private,ICE,UKL1,REST,Standard,SAV,1
2023,05,FORD,FOCUS,01,Álava,Corporate,ICE,UKL2,REST,Standard,HACH 5P,1
2023,05,FORD,FOCUS,01,Álava,Private,ICE,UKL2,REST,Standard,HACH 5P,1
2023,05,FORD,KUGA,01,Álava,Corporate,ICE,UKL2,REST,Standard,SAV,3
2023,05,FORD,KUGA,01,Álava,Corporate,PHEV,UKL2,REST,Standard,SAV,1
2023,05,FORD,KUGA,01,Álava,Private,PHEV,UKL2,REST,Standard,SAV,1
2023,05,FORD,MUSTANG,01,Álava,Corporate,ICE,MKL,REST,Standard,CABRIO,1
2023,05,FORD,PUMA,01,Álava,Corporate,ICE,UKL1,REST,Standard,SAV,1
2023,05,FORD,PUMA,01,Álava,Private,ICE,UKL1,REST,Standard,SAV,2
2023,05,FORD,RANGER,01,Álava,Corporate,ICE,SKL,REST,Standard,PICKUP,3
2023,05,FORD,TOURNEO,01,Álava,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,3
2023,05,FORD,TOURNEO,01,Álava,Private,ICE,SKL,REST,Standard,TRANSPORTER,2
2023,05,FORD,TRANSIT,01,Álava,Private,ICE,SKL,REST,Standard,TRANSPORTER,3
2023,05,HONDA,CR-V,01,Álava,Private,ICE,KKL,REST,Standard,SAV,2
2023,05,HYUNDAI,BAYON,01,Álava,Private,ICE,UKL1,REST,Standard,SAV,4
2023,05,HYUNDAI,I10,01,Álava,Private,ICE,UKL0,REST,Standard,HACH 5P,3
