anyo,mes,marca,cod_prov,provincia,canal,fuel_type,subseg,hp,count
2024,05,AUDI,01,Álava,Corporate,ICE,FOCUS SEGMENT,M Performance,1
2024,05,AUDI,01,Álava,Corporate,ICE,FOCUS SEGMENT,Standard,1
2024,05,AUDI,01,Álava,Private,ICE,FOCUS SEGMENT,Standard,4
2024,05,BMW,01,Álava,Corporate,ICE,FOCUS SEGMENT,M Performance,1
2024,05,BMW,01,Álava,Private,BEV,FOCUS SEGMENT,Standard,1
2024,05,BMW,01,Álava,Private,ICE,FOCUS SEGMENT,Standard,3
2024,05,CITROEN,01,Álava,Corporate,ICE,REST,Standard,13
2024,05,CITROEN,01,Álava,Private,BEV,REST,Standard,1
2024,05,CITROEN,01,Álava,Private,ICE,REST,Standard,17
2024,05,CITROEN,01,Álava,Private,PHEV,REST,Standard,1
2024,05,CUPRA,01,Álava,Corporate,ICE,REST,Standard,4
2024,05,CUPRA,01,Álava,Private,ICE,REST,Standard,2
2024,05,DACIA,01,Álava,Corporate,ICE,REST,Standard,4
2024,05,DACIA,01,Álava,Private,ICE,REST,Standard,19
2024,05,DR,01,Álava,Private,ICE,,Standard,1
2024,05,EVO,01,Álava,Private,ICE,REST,Standard,1
2024,05,FIAT,01,Álava,Private,ICE,REST,Standard,2
2024,05,FORD,01,Álava,Corporate,ICE,REST,Standard,6
2024,05,FORD,01,Álava,Corporate,PHEV,REST,Standard,3
2024,05,FORD,01,Álava,Private,BEV,REST,Standard,2
2024,05,FORD,01,Álava,Private,ICE,REST,Standard,6
2024,05,FORD,01,Álava,Private,PHEV,REST,Standard,2
2024,05,HONDA,01,Álava,Private,ICE,REST,Standard,4
2024,05,HYUNDAI,01,Álava,Corporate,ICE,REST,Standard,5
2024,05,HYUNDAI,01,Álava,Private,BEV,REST,Standard,2
2024,05,HYUNDAI,01,Álava,Private,ICE,REST,Standard,34
2024,05,HYUNDAI,01,Álava,Private,PHEV,REST,Standard,1
2024,05,JEEP,01,Álava,Corporate,ICE,REST,Standard,1
2024,05,JEEP,01,Álava,Private,ICE,REST,Standard,2
2024,05,JEEP,01,Álava,Private,PHEV,REST,Standard,1
2024,05,KIA,01,Álava,Private,ICE,REST,Standard,14
2024,05,KIA,01,Álava,Private,PHEV,REST,Standard,1
2024,05,LAND ROVER,01,Álava,Corporate,ICE,FOCUS SEGMENT,Standard,1
2024,05,LAND ROVER,01,Álava,Corporate,PHEV,FOCUS SEGMENT,Standard,1
2024,05,LAND ROVER,01,Álava,Private,ICE,FOCUS SEGMENT,Standard,2
2024,05,LEXUS,01,Álava,Private,ICE,FOCUS SEGMENT,Standard,3
2024,05,MAZDA,01,Álava,Corporate,ICE,REST,Standard,2
2024,05,MAZDA,01,Álava,Private,ICE,REST,Standard,15
2024,05,MERCEDES,01,Álava,Corporate,ICE,FOCUS SEGMENT,Standard,6
