anyo,mes,dia,marca,modelo,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,body_type,count
2026,09,14,BYD,DOLPHIN SURF,01,Álava,Private,BEV,UKL0,REST,Standard,HACH 5P,1
2026,09,14,DACIA,SANDERO,01,Álava,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2026,09,14,JAECOO,JAECOO 5,01,Álava,Private,ICE,UKL1,REST,Standard,SAV,1
2026,09,14,MAZDA,CX5,01,Álava,Corporate,ICE,UKL2,REST,Standard,SAV,1
2026,09,14,OMODA,OMODA 5,01,Álava,Private,ICE,UKL2,REST,Standard,SAV,1
2026,09,14,OPEL,COMBO,01,Álava,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,09,14,SUZUKI,E VITARA,01,Álava,Private,BEV,UKL2,REST,Standard,SAV,1
2026,09,14,TESLA,MODEL Y,01,Álava,Private,BEV,KKL,FOCUS SEGMENT,Standard,SAT,1
2026,09,14,TOYOTA,BZ4X,01,Álava,Corporate,BEV,UKL2,REST,Standard,SAV,6
2026,09,14,TOYOTA,PROACE VERSO,01,Álava,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,09,14,TOYOTA,RAV 4,01,Álava,Private,PHEV,UKL2,REST,Standard,SAV,1
2026,09,14,TOYOTA,YARIS CROSS,01,Álava,Private,ICE,UKL1,REST,Standard,SAV,1
2026,09,14,BMW,SERIE 2,02,Albacete,Private,ICE,UKL2,FOCUS SEGMENT,Standard,MPV,1
2026,09,14,BMW,X1,02,Albacete,Corporate,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,09,14,BYD,ATTO 3 EVO,02,Albacete,Private,BEV,UKL2,REST,Standard,SAV,1
2026,09,14,HYUNDAI,I20,02,Albacete,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2026,09,14,KIA,EV2,02,Albacete,Private,BEV,UKL1,REST,Standard,SAV,1
2026,09,14,MAZDA,CX5,02,Albacete,Private,ICE,UKL2,REST,Standard,SAV,2
2026,09,14,MAZDA,MAZDA 3,02,Albacete,Private,ICE,UKL2,REST,Standard,SEDAN,1
2026,09,14,NISSAN,QASHQAI,02,Albacete,Private,ICE,UKL2,REST,Standard,SAT,1
2026,09,14,PEUGEOT,TRAVELLER,02,Albacete,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,09,14,RENAULT,CAPTUR,02,Albacete,Private,ICE,UKL1,REST,Standard,SAV,1
2026,09,14,SKODA,KAMIQ,02,Albacete,Private,ICE,UKL1,REST,Standard,SAV,1
2026,09,14,TOYOTA,C-HR,02,Albacete,Corporate,ICE,UKL1,REST,Standard,SAV,1
2026,09,14,TOYOTA,COROLLA,02,Albacete,Corporate,ICE,UKL2,REST,Standard,HACH 5P,1
2026,09,14,TOYOTA,COROLLA,02,Albacete,Private,ICE,UKL2,REST,Standard,HACH 5P,1
2026,09,14,BYD,ATTO 2,03,Alicante,Private,BEV,UKL1,REST,Standard,SAV,1
2026,09,14,BYD,ATTO 2,03,Alicante,Private,PHEV,UKL1,REST,Standard,SAV,1
2026,09,14,BYD,DOLPHIN,03,Alicante,Private,BEV,UKL1,REST,Standard,HACH 5P,2
