anyo,mes,marca,cod_prov,provincia,canal,fuel_type,count
2024,11,ALFA ROMEO,01,Álava,Private,ICE,1
2024,11,AUDI,01,Álava,Corporate,PHEV,1
2024,11,AUDI,01,Álava,Private,BEV,1
2024,11,AUDI,01,Álava,Private,ICE,4
2024,11,BMW,01,Álava,Corporate,ICE,10
2024,11,BMW,01,Álava,Corporate,PHEV,1
2024,11,BMW,01,Álava,Private,ICE,3
2024,11,BYD,01,Álava,Private,BEV,1
2024,11,BYD,01,Álava,Private,PHEV,1
2024,11,CITROEN,01,Álava,Corporate,BEV,2
2024,11,CITROEN,01,Álava,Corporate,ICE,29
2024,11,CITROEN,01,Álava,Private,BEV,1
2024,11,CITROEN,01,Álava,Private,ICE,6
2024,11,CUPRA,01,Álava,Corporate,ICE,1
2024,11,CUPRA,01,Álava,Corporate,PHEV,2
2024,11,CUPRA,01,Álava,Private,ICE,3
2024,11,CUPRA,01,Álava,Private,PHEV,1
2024,11,DACIA,01,Álava,Corporate,BEV,1
2024,11,DACIA,01,Álava,Corporate,ICE,4
2024,11,DACIA,01,Álava,Private,ICE,14
2024,11,EVO,01,Álava,Corporate,ICE,1
2024,11,EVO,01,Álava,Private,ICE,1
2024,11,FIAT,01,Álava,Corporate,ICE,2
2024,11,FORD,01,Álava,Corporate,BEV,1
2024,11,FORD,01,Álava,Corporate,ICE,10
2024,11,FORD,01,Álava,Private,ICE,7
2024,11,HONDA,01,Álava,Private,ICE,4
2024,11,HYUNDAI,01,Álava,Corporate,ICE,1
2024,11,HYUNDAI,01,Álava,Corporate,PHEV,16
2024,11,HYUNDAI,01,Álava,Private,BEV,1
2024,11,HYUNDAI,01,Álava,Private,ICE,45
2024,11,HYUNDAI,01,Álava,Private,PHEV,3
2024,11,JAECOO,01,Álava,Private,ICE,4
2024,11,JEEP,01,Álava,Corporate,PHEV,1
2024,11,KIA,01,Álava,Private,BEV,1
2024,11,KIA,01,Álava,Private,ICE,2
2024,11,LEAPMOTOR,01,Álava,Private,BEV,1
2024,11,LEXUS,01,Álava,Private,ICE,1
