anyo,mes,marca,modelo,canal,fuel_type,fuel,segmento,subseg,hp,body_type,cod_prov,provincia,dealer_estimated,dealer_id,confidence,source_confidence,count
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,02,Albacete,wagen motors,WAGEN MOTORS,high,official,1
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,02,Albacete,wagen motors,WAGEN MOTORS,medium,official,2
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,03,Alicante,motor pacífico levante,MOTOR PACIFICO LEVANTE,high,official,2
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,03,Alicante,motor pacífico levante,MOTOR PACIFICO LEVANTE,medium,official,1
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,03,Alicante,serramóvil,SERRAMOVIL,high,official,7
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,03,Alicante,serramóvil,SERRAMOVIL,medium,official,1
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,04,Almería,vera import,VERA IMPORT,high,official,1
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,04,Almería,vera import,VERA IMPORT,medium,official,2
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,07,Baleares,center palma,AUDI CENTER PALMA,high,official,4
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,07,Baleares,center palma,AUDI CENTER PALMA,medium,official,2
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,08,Barcelona,autopodium,AUTOPODIUM,medium,official,1
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,08,Barcelona,mogauto,MOGAUTO,high,official,1
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,08,Barcelona,movento sarsa,MOVENTO SARSA,high,official,2
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,08,Barcelona,movento sarsa,MOVENTO SARSA,medium,official,1
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,08,Barcelona,superwagen,SUPERWAGEN,high,official,3
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,10,Cáceres,santano automocion,SANTANO AUTOMOCION,medium,official,1
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,11,Cádiz,solera motor,SOLERA MOTOR,high,official,4
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,13,Ciudad Real,safamotor córdoba,SAFAMOTOR CORDOBA,medium,official,1
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,15,A Coruña,bonaval premium,BONAVAL PREMIUM,high,official,2
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,15,A Coruña,bonaval premium,BONAVAL PREMIUM,medium,official,2
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,16,Cuenca,jarmauto,JARMAUTO,medium,official,2
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,17,Girona,autopodium,AUTOPODIUM,high,official,4
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,18,Granada,gilauto,GILAUTO,high,official,4
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,18,Granada,gilauto,GILAUTO,medium,official,1
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,20,Gipuzkoa,autowag tolosa,AUTOWAG TOLOSA,high,official,1
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,20,Gipuzkoa,menai,MENAI,high,official,2
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,23,Jaén,espawagen,ESPAWAGEN,medium,official,1
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,24,León,telenauto,TELENAUTO,medium,official,2
2024,06,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,27,Lugo,center lugo,AUDI CENTER LUGO,high,official,1
