anyo,mes,marca,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,count
2025,09,ALFA ROMEO,01,Álava,Corporate,ICE,UKL2,REST,Standard,1
2025,09,ALFA ROMEO,01,Álava,Corporate,PHEV,UKL2,REST,Standard,1
2025,09,ALFA ROMEO,01,Álava,Private,ICE,UKL1,REST,Standard,1
2025,09,ALPINE,01,Álava,Private,BEV,UKL1,REST,Standard,1
2025,09,AUDI,01,Álava,Corporate,ICE,KKL,FOCUS SEGMENT,M Performance,1
2025,09,AUDI,01,Álava,Private,BEV,MKL,FOCUS SEGMENT,Standard,1
2025,09,AUDI,01,Álava,Private,ICE,KKL,FOCUS SEGMENT,Standard,2
2025,09,AUDI,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,1
2025,09,AUDI,01,Álava,Private,PHEV,UKL2,FOCUS SEGMENT,Standard,1
2025,09,BAIC,01,Álava,Corporate,ICE,UKL2,REST,Standard,1
2025,09,BMW,01,Álava,Corporate,BEV,UKL2,FOCUS SEGMENT,Standard,1
2025,09,BMW,01,Álava,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,1
2025,09,BMW,01,Álava,Corporate,PHEV,GKL,FOCUS SEGMENT,M Performance,1
2025,09,BMW,01,Álava,Private,BEV,UKL2,FOCUS SEGMENT,Standard,2
2025,09,BMW,01,Álava,Private,ICE,KKL,FOCUS SEGMENT,Standard,2
2025,09,BMW,01,Álava,Private,ICE,MKL,FOCUS SEGMENT,Standard,2
2025,09,BMW,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,3
2025,09,BYD,01,Álava,Corporate,PHEV,KKL,REST,Standard,1
2025,09,BYD,01,Álava,Private,BEV,KKL,REST,Standard,1
2025,09,BYD,01,Álava,Private,BEV,UKL0,REST,Standard,7
2025,09,BYD,01,Álava,Private,BEV,UKL1,REST,Standard,7
2025,09,BYD,01,Álava,Private,BEV,UKL2,REST,Standard,1
2025,09,BYD,01,Álava,Private,PHEV,KKL,REST,Standard,1
2025,09,CITROEN,01,Álava,Corporate,BEV,UKL2,REST,Standard,1
2025,09,CITROEN,01,Álava,Corporate,ICE,MKL,REST,Standard,1
2025,09,CITROEN,01,Álava,Corporate,ICE,SKL,REST,Standard,4
2025,09,CITROEN,01,Álava,Corporate,ICE,UKL1,REST,Standard,5
2025,09,CITROEN,01,Álava,Corporate,ICE,UKL2,REST,Standard,12
2025,09,CITROEN,01,Álava,Private,ICE,UKL1,REST,Standard,5
2025,09,CITROEN,01,Álava,Private,ICE,UKL2,REST,Standard,1
2025,09,CUPRA,01,Álava,Corporate,ICE,UKL2,REST,Standard,3
2025,09,CUPRA,01,Álava,Corporate,PHEV,UKL2,REST,Standard,1
2025,09,DACIA,01,Álava,Private,ICE,SKL,REST,Standard,3
2025,09,DACIA,01,Álava,Private,ICE,UKL1,REST,Standard,17
2025,09,DACIA,01,Álava,Private,ICE,UKL2,REST,Standard,11
