anyo,mes,marca,modelo,canal,fuel_type,fuel,segmento,subseg,hp,body_type,count
2023,02,AIWAYS,U5,Corporate,BEV,Electrico,UKL2,REST,Standard,SAV,2
2023,02,ALFA ROMEO,GIULIA,Corporate,ICE,Gasolina,KKL,REST,Standard,SEDAN,9
2023,02,ALFA ROMEO,STELVIO,Corporate,ICE,Gasolina,KKL,REST,Standard,SAV,33
2023,02,ALFA ROMEO,STELVIO,Private,ICE,Gasolina,KKL,REST,Standard,SAV,1
2023,02,ALFA ROMEO,STELVIO,RAC,ICE,Gasolina,KKL,REST,Standard,SAV,36
2023,02,ALFA ROMEO,TONALE,Corporate,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,105
2023,02,ALFA ROMEO,TONALE,Corporate,PHEV,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,49
2023,02,ALFA ROMEO,TONALE,Private,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,15
2023,02,ALFA ROMEO,TONALE,RAC,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,1
2023,02,ALPINE,A110,Corporate,ICE,Gasolina,,,Standard,,1
2023,02,ALPINE,A110,Private,ICE,Gasolina,,,Standard,,3
2023,02,ASTON MARTIN,DB11,Private,ICE,Gasolina,GKL+,FOCUS SEGMENT,Standard,COUPE,1
2023,02,ASTON MARTIN,DBS,Private,ICE,Gasolina,GKL+,FOCUS SEGMENT,Standard,COUPE,1
2023,02,ASTON MARTIN,DBX,Corporate,ICE,Gasolina,GKL+,FOCUS SEGMENT,Standard,SAV,1
2023,02,ASTON MARTIN,DBX707,Corporate,ICE,Gasolina,,,Standard,,4
2023,02,AUDI,,Corporate,BEV,Electrico,,REST,Standard,,5
2023,02,AUDI,,Private,BEV,Electrico,,REST,Standard,,3
2023,02,AUDI,,RAC,BEV,Electrico,,REST,Standard,,1
