yyyymm,severity,kind,marca,canal,metric,value,threshold,detail
202603,INFO,CARROCERO_UNMAPPED,EUROCARROCERA,,registros_carrocero_sin_chasis_detectado,28,25,ampliar _CHASSIS_RULES o CARROCERO_BRANDS
202603,INFO,CARROCERO_UNMAPPED,VSVE,,registros_carrocero_sin_chasis_detectado,25,25,ampliar _CHASSIS_RULES o CARROCERO_BRANDS
202603,INFO,KM0_FALLBACK,CITROEN,Corporate,b00d_private_moved_to_corporate,111,100,pool_b00d_private=1384; rate=0.0802
202603,INFO,KM0_FALLBACK,FORD,Corporate,b00d_private_moved_to_corporate,123,100,pool_b00d_private=1314; rate=0.0939
202603,INFO,KM0_FALLBACK,RENAULT,Corporate,b00d_private_moved_to_corporate,190,100,pool_b00d_private=3318; rate=0.0573
202603,WARN,NEW_BRAND,CHANGAN,,monthly_count,256,250,Marca con volumen relevante no vista en outputs historicos previos
202603,WARN,CHANNEL_DRIFT,BMW,Corporate,count_vs_same_month_history,703,+/-250 and +/-25%,"actual=2753; media_mismo_mes=2050.3; historico=1996,2180,1975; rel=+34.3%"
202603,CRITICAL,CHANNEL_DRIFT,BYD,Corporate,count_vs_same_month_history,741,+/-250 and +/-25%,"actual=864; media_mismo_mes=123.0; historico=334,11,24; rel=+602.4%"
202603,CRITICAL,CHANNEL_DRIFT,BYD,Private,count_vs_same_month_history,1936,+/-250 and +/-25%,"actual=2454; media_mismo_mes=518.0; historico=942,94; rel=+373.7%"
202603,WARN,CHANNEL_DRIFT,CITROEN,RAC,count_vs_same_month_history,512,+/-250 and +/-25%,"actual=2380; media_mismo_mes=1868.3; historico=1516,2747,1342; rel=+27.4%"
202603,CRITICAL,CHANNEL_DRIFT,CUPRA,Private,count_vs_same_month_history,339,+/-250 and +/-25%,"actual=917; media_mismo_mes=578.3; historico=644,421,670; rel=+58.6%"
202603,WARN,CHANNEL_DRIFT,DACIA,Private,count_vs_same_month_history,1217,+/-250 and +/-25%,"actual=4602; media_mismo_mes=3385.3; historico=4068,3201,2887; rel=+35.9%"
202603,CRITICAL,CHANNEL_DRIFT,DR,RAC,count_vs_same_month_history,666,+/-250 and +/-25%,"actual=929; media_mismo_mes=262.7; historico=3,3,782; rel=+253.7%"
202603,WARN,CHANNEL_DRIFT,FIAT,RAC,count_vs_same_month_history,409,+/-250 and +/-25%,"actual=1706; media_mismo_mes=1296.7; historico=1928,980,982; rel=+31.6%"
202603,WARN,CHANNEL_DRIFT,HYUNDAI,Private,count_vs_same_month_history,-803,+/-250 and +/-25%,"actual=2172; media_mismo_mes=2975.0; historico=2575,2877,3473; rel=-27.0%"
202603,CRITICAL,CHANNEL_DRIFT,HYUNDAI,RAC,count_vs_same_month_history,2373,+/-250 and +/-25%,"actual=3620; media_mismo_mes=1247.3; historico=457,1615,1670; rel=+190.2%"
202603,CRITICAL,CHANNEL_DRIFT,MAZDA,Private,count_vs_same_month_history,762,+/-250 and +/-25%,"actual=1921; media_mismo_mes=1158.7; historico=1174,1218,1084; rel=+65.8%"
202603,CRITICAL,CHANNEL_DRIFT,MERCEDES,RAC,count_vs_same_month_history,719,+/-250 and +/-25%,"actual=1695; media_mismo_mes=975.7; historico=1367,1026,534; rel=+73.7%"
202603,CRITICAL,CHANNEL_DRIFT,MG,Corporate,count_vs_same_month_history,299,+/-250 and +/-25%,"actual=516; media_mismo_mes=217.0; historico=309,248,94; rel=+137.8%"
202603,CRITICAL,CHANNEL_DRIFT,MG,RAC,count_vs_same_month_history,1168,+/-250 and +/-25%,"actual=2415; media_mismo_mes=1247.3; historico=2486,613,643; rel=+93.6%"
202603,CRITICAL,CHANNEL_DRIFT,MITSUBISHI,Corporate,count_vs_same_month_history,-363,+/-250 and +/-25%,"actual=120; media_mismo_mes=483.0; historico=686,374,389; rel=-75.2%"
202603,CRITICAL,CHANNEL_DRIFT,MITSUBISHI,RAC,count_vs_same_month_history,-500,+/-250 and +/-25%,"actual=30; media_mismo_mes=530.0; historico=838,688,64; rel=-94.3%"
