anyo,mes,marca,cod_prov,provincia,canal,fuel_type,subseg,hp,count
2023,06,AUDI,01,Álava,Private,BEV,FOCUS SEGMENT,Standard,1
2023,06,AUDI,01,Álava,Private,ICE,FOCUS SEGMENT,M,1
2023,06,AUDI,01,Álava,Private,ICE,FOCUS SEGMENT,Standard,4
2023,06,AUDI,01,Álava,Private,PHEV,FOCUS SEGMENT,Standard,1
2023,06,BMW,01,Álava,Corporate,ICE,FOCUS SEGMENT,Standard,4
2023,06,BMW,01,Álava,Private,ICE,FOCUS SEGMENT,Standard,3
2023,06,CITROEN,01,Álava,Corporate,ICE,REST,Standard,12
2023,06,CITROEN,01,Álava,Corporate,PHEV,REST,Standard,1
2023,06,CITROEN,01,Álava,Private,BEV,REST,Standard,1
2023,06,CITROEN,01,Álava,Private,ICE,REST,Standard,12
2023,06,CITROEN,01,Álava,Private,PHEV,REST,Standard,1
2023,06,CUPRA,01,Álava,Corporate,ICE,REST,Standard,4
2023,06,CUPRA,01,Álava,Private,ICE,REST,Standard,1
2023,06,DACIA,01,Álava,Corporate,ICE,REST,Standard,5
2023,06,DACIA,01,Álava,Private,BEV,REST,Standard,1
2023,06,DACIA,01,Álava,Private,ICE,REST,Standard,24
2023,06,DFSK,01,Álava,Corporate,ICE,,Standard,1
2023,06,DS,01,Álava,Corporate,ICE,REST,Standard,1
2023,06,DS,01,Álava,RAC,PHEV,REST,Standard,1
2023,06,FIAT,01,Álava,Corporate,BEV,REST,Standard,9
2023,06,FIAT,01,Álava,Private,ICE,,Standard,1
2023,06,FORD,01,Álava,Corporate,ICE,REST,Standard,1
2023,06,FORD,01,Álava,Private,ICE,REST,Standard,10
2023,06,FORD,01,Álava,Private,PHEV,REST,Standard,1
2023,06,HONDA,01,Álava,Private,ICE,REST,Standard,3
2023,06,HYUNDAI,01,Álava,Corporate,ICE,REST,Standard,5
2023,06,HYUNDAI,01,Álava,Corporate,PHEV,REST,Standard,2
2023,06,HYUNDAI,01,Álava,Private,ICE,REST,Standard,29
2023,06,HYUNDAI,01,Álava,Private,PHEV,REST,Standard,1
2023,06,INEOS,01,Álava,Private,ICE,REST,Standard,1
2023,06,JEEP,01,Álava,Private,BEV,REST,Standard,2
2023,06,JEEP,01,Álava,Private,ICE,REST,Standard,1
2023,06,KIA,01,Álava,Private,ICE,REST,Standard,10
2023,06,KIA,01,Álava,Private,PHEV,REST,Standard,2
2023,06,LEXUS,01,Álava,Private,ICE,FOCUS SEGMENT,Standard,1
2023,06,MAZDA,01,Álava,Corporate,ICE,REST,Standard,2
2023,06,MAZDA,01,Álava,Private,ICE,REST,Standard,8
2023,06,MERCEDES,01,Álava,Corporate,BEV,FOCUS SEGMENT,Standard,1
2023,06,MERCEDES,01,Álava,Corporate,ICE,FOCUS SEGMENT,Standard,3
2023,06,MERCEDES,01,Álava,Corporate,PHEV,FOCUS SEGMENT,Standard,5
2023,06,MERCEDES,01,Álava,Private,ICE,FOCUS SEGMENT,Standard,5
2023,06,MERCEDES,01,Álava,Private,ICE,REST,Standard,2
2023,06,MG,01,Álava,Corporate,BEV,REST,Standard,2
2023,06,MG,01,Álava,Corporate,PHEV,REST,Standard,1
2023,06,MG,01,Álava,Private,BEV,REST,Standard,4
2023,06,MG,01,Álava,Private,ICE,REST,Standard,14
2023,06,MINI,01,Álava,Corporate,ICE,FOCUS SEGMENT,Standard,2
2023,06,MINI,01,Álava,Private,BEV,FOCUS SEGMENT,Standard,1
2023,06,MITSUBISHI,01,Álava,Corporate,PHEV,REST,Standard,5
2023,06,NISSAN,01,Álava,Corporate,ICE,REST,Standard,8
2023,06,NISSAN,01,Álava,Private,ICE,REST,Standard,1
2023,06,OPEL,01,Álava,Corporate,ICE,REST,Standard,2
2023,06,OPEL,01,Álava,Private,ICE,REST,Standard,8
2023,06,PEUGEOT,01,Álava,Corporate,ICE,REST,Standard,17
2023,06,PEUGEOT,01,Álava,Corporate,PHEV,REST,Standard,2
2023,06,PEUGEOT,01,Álava,Private,ICE,REST,Standard,10
2023,06,PEUGEOT,01,Álava,Private,PHEV,REST,Standard,1
2023,06,RENAULT,01,Álava,Corporate,ICE,REST,Standard,1
2023,06,RENAULT,01,Álava,Private,ICE,REST,Standard,24
2023,06,SEAT,01,Álava,Corporate,ICE,REST,Standard,3
2023,06,SEAT,01,Álava,Private,ICE,REST,Standard,9
2023,06,SERES,01,Álava,Corporate,BEV,REST,Standard,2
2023,06,SKODA,01,Álava,Corporate,ICE,REST,Standard,3
2023,06,SKODA,01,Álava,Private,BEV,REST,Standard,1
2023,06,SKODA,01,Álava,Private,ICE,REST,Standard,5
2023,06,SUZUKI,01,Álava,Private,ICE,REST,Standard,4
2023,06,TESLA,01,Álava,Corporate,BEV,FOCUS SEGMENT,Standard,2
2023,06,TESLA,01,Álava,Private,BEV,FOCUS SEGMENT,Standard,8
2023,06,TOYOTA,01,Álava,Private,ICE,REST,Standard,26
2023,06,VOLKSWAGEN,01,Álava,Corporate,BEV,REST,Standard,1
2023,06,VOLKSWAGEN,01,Álava,Corporate,ICE,REST,Standard,2
2023,06,VOLKSWAGEN,01,Álava,Private,ICE,REST,Standard,9
2023,06,VOLVO,01,Álava,Corporate,BEV,FOCUS SEGMENT,Standard,1
2023,06,VOLVO,01,Álava,Corporate,ICE,FOCUS SEGMENT,Standard,1
2023,06,VOLVO,01,Álava,Corporate,PHEV,FOCUS SEGMENT,Standard,3
2023,06,VOLVO,01,Álava,Private,BEV,FOCUS SEGMENT,Standard,1
2023,06,VOLVO,01,Álava,Private,ICE,FOCUS SEGMENT,Standard,2
2023,06,ALFA ROMEO,02,Albacete,Corporate,ICE,REST,Standard,8
2023,06,AUDI,02,Albacete,Corporate,BEV,FOCUS SEGMENT,Standard,1
2023,06,AUDI,02,Albacete,Corporate,ICE,FOCUS SEGMENT,Standard,6
2023,06,AUDI,02,Albacete,Private,ICE,FOCUS SEGMENT,Standard,9
2023,06,BMW,02,Albacete,Corporate,ICE,FOCUS SEGMENT,M,1
2023,06,BMW,02,Albacete,Corporate,ICE,FOCUS SEGMENT,Standard,5
2023,06,BMW,02,Albacete,Private,BEV,FOCUS SEGMENT,Standard,1
