anyo,mes,marca,modelo,canal,fuel_type,fuel,segmento,subseg,hp,body_type,count
2026,03,ABARTH,600E,Corporate,BEV,Electrico,UKL1,REST,Standard,SAV,1
2026,03,ABARTH,600E,Private,BEV,Electrico,UKL1,REST,Standard,SAV,1
2026,03,ABT,,Private,ICE,Gasolina,,REST,Standard,,1
2026,03,ALFA ROMEO,GIULIA,Corporate,ICE,Gasolina,KKL,REST,Standard,SEDAN,1
2026,03,ALFA ROMEO,GIULIA,Private,ICE,Gasolina,KKL,REST,Standard,SEDAN,1
2026,03,ALFA ROMEO,JUNIOR,Corporate,BEV,Gasolina Mild Hybrid,UKL1,REST,Standard,SAV,49
2026,03,ALFA ROMEO,JUNIOR,Corporate,ICE,Gasolina Mild Hybrid,UKL1,REST,Standard,SAV,149
2026,03,ALFA ROMEO,JUNIOR,Private,BEV,Gasolina Mild Hybrid,UKL1,REST,Standard,SAV,1
2026,03,ALFA ROMEO,JUNIOR,Private,ICE,Gasolina Mild Hybrid,UKL1,REST,Standard,SAV,20
2026,03,ALFA ROMEO,STELVIO,Corporate,ICE,Gasolina,KKL,REST,Standard,SAV,30
2026,03,ALFA ROMEO,TONALE,Corporate,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,36
2026,03,ALFA ROMEO,TONALE,Private,ICE,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,4
2026,03,ALFA ROMEO,TONALE,Private,PHEV,Gasolina/Electrico Enchufable,UKL2,REST,Standard,SAV,1
2026,03,ALLIED VEHICLES LTD,,Corporate,ICE,Diesel,,REST,Standard,,15
2026,03,ALLIED VEHICLES LTD,,Corporate,ICE,Gasolina,,REST,Standard,,5
2026,03,ALPINE,A110,Corporate,ICE,Gasolina,KKL,REST,Standard,COUPE,2
2026,03,ALPINE,A110,Private,ICE,Gasolina,KKL,REST,Standard,COUPE,5
2026,03,ALPINE,A290,Corporate,BEV,Electrico,UKL1,REST,Standard,HACH 5P,10
2026,03,ALPINE,A290,Private,BEV,Electrico,UKL1,REST,Standard,HACH 5P,34
2026,03,ALPINE,A390,Corporate,BEV,Electrico,KKL,REST,Standard,SEDAN,19
2026,03,ALPINE,A390,Private,BEV,Electrico,KKL,REST,Standard,SEDAN,1
2026,03,ASTON MARTIN,DB12,Corporate,ICE,Gasolina,GKL+,FOCUS SEGMENT,Standard,CABRIO,3
2026,03,ASTON MARTIN,DBX707,Corporate,ICE,Gasolina,GKL+,FOCUS SEGMENT,Standard,SAV,1
2026,03,AUDI,A1,Corporate,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,190
2026,03,AUDI,A1,Private,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,165
2026,03,AUDI,A1,RAC,ICE,Gasolina,UKL1,FOCUS SEGMENT,Standard,HACH 5P,270
2026,03,AUDI,A3,Corporate,ICE,Gasolina/Electrico Enchufable,UKL2,FOCUS SEGMENT,M,HACH 5P,7
2026,03,AUDI,A3,Corporate,ICE,Gasolina/Electrico Enchufable,UKL2,FOCUS SEGMENT,M Performance,HACH 5P,1
2026,03,AUDI,A3,Corporate,ICE,Gasolina/Electrico Enchufable,UKL2,FOCUS SEGMENT,Standard,HACH 5P,172
2026,03,AUDI,A3,Corporate,PHEV,Gasolina/Electrico Enchufable,UKL2,FOCUS SEGMENT,Standard,HACH 5P,118
2026,03,AUDI,A3,Private,ICE,Gasolina/Electrico Enchufable,UKL2,FOCUS SEGMENT,M,HACH 5P,6
2026,03,AUDI,A3,Private,ICE,Gasolina/Electrico Enchufable,UKL2,FOCUS SEGMENT,M Performance,HACH 5P,4
2026,03,AUDI,A3,Private,ICE,Gasolina/Electrico Enchufable,UKL2,FOCUS SEGMENT,Standard,HACH 5P,117
