yyyymm,severity,kind,marca,canal,metric,value,threshold,detail
202601,INFO,CARROCERO_UNMAPPED,EUROCARROCERA,,registros_carrocero_sin_chasis_detectado,27,25,ampliar _CHASSIS_RULES o CARROCERO_BRANDS
202601,INFO,KM0_FALLBACK,RENAULT,Corporate,b00d_private_moved_to_corporate,159,100,pool_b00d_private=2771; rate=0.0573
202601,WARN,CHANNEL_DRIFT,BMW,Private,count_vs_same_month_history,-294,+/-250 and +/-25%,"actual=576; media_mismo_mes=870.3; historico=1236,786,589; rel=-33.8%"
202601,CRITICAL,CHANNEL_DRIFT,BYD,Corporate,count_vs_same_month_history,658,+/-250 and +/-25%,"actual=778; media_mismo_mes=120.5; historico=22,219; rel=+545.6%"
202601,CRITICAL,CHANNEL_DRIFT,BYD,Private,count_vs_same_month_history,306,+/-250 and +/-25%,"actual=833; media_mismo_mes=527.0; historico=121,933; rel=+58.1%"
202601,CRITICAL,CHANNEL_DRIFT,CUPRA,RAC,count_vs_same_month_history,452,+/-250 and +/-25%,"actual=524; media_mismo_mes=71.5; historico=125,18; rel=+632.9%"
202601,WARN,CHANNEL_DRIFT,DACIA,Private,count_vs_same_month_history,-1021,+/-250 and +/-25%,"actual=2421; media_mismo_mes=3442.3; historico=3077,3867,3383; rel=-29.7%"
202601,WARN,CHANNEL_DRIFT,FIAT,Corporate,count_vs_same_month_history,-612,+/-250 and +/-25%,"actual=659; media_mismo_mes=1271.3; historico=1221,601,1992; rel=-48.2%"
202601,WARN,CHANNEL_DRIFT,FORD,Corporate,count_vs_same_month_history,625,+/-250 and +/-25%,"actual=2804; media_mismo_mes=2178.7; historico=1642,2947,1947; rel=+28.7%"
202601,CRITICAL,CHANNEL_DRIFT,FORD,RAC,count_vs_same_month_history,-366,+/-250 and +/-25%,"actual=128; media_mismo_mes=494.3; historico=344,658,481; rel=-74.1%"
202601,WARN,CHANNEL_DRIFT,HYUNDAI,Private,count_vs_same_month_history,-1094,+/-250 and +/-25%,"actual=1607; media_mismo_mes=2701.0; historico=2935,2523,2645; rel=-40.5%"
202601,WARN,CHANNEL_DRIFT,KIA,Private,count_vs_same_month_history,-877,+/-250 and +/-25%,"actual=2440; media_mismo_mes=3317.3; historico=2948,3362,3642; rel=-26.4%"
202601,CRITICAL,CHANNEL_DRIFT,KIA,RAC,count_vs_same_month_history,-276,+/-250 and +/-25%,"actual=33; media_mismo_mes=309.0; historico=520,373,34; rel=-89.3%"
202601,CRITICAL,CHANNEL_DRIFT,MERCEDES,RAC,count_vs_same_month_history,538,+/-250 and +/-25%,"actual=740; media_mismo_mes=202.0; historico=160,194,252; rel=+266.3%"
202601,CRITICAL,CHANNEL_DRIFT,OMODA,Corporate,count_vs_same_month_history,286,+/-250 and +/-25%,"actual=343; media_mismo_mes=57.5; historico=9,106; rel=+496.5%"
202601,CRITICAL,CHANNEL_DRIFT,OMODA,Private,count_vs_same_month_history,788,+/-250 and +/-25%,"actual=1098; media_mismo_mes=310.5; historico=16,605; rel=+253.6%"
202601,CRITICAL,CHANNEL_DRIFT,OPEL,RAC,count_vs_same_month_history,341,+/-250 and +/-25%,"actual=781; media_mismo_mes=439.7; historico=810,169,340; rel=+77.6%"
202601,CRITICAL,CHANNEL_DRIFT,PEUGEOT,RAC,count_vs_same_month_history,1208,+/-250 and +/-25%,"actual=1938; media_mismo_mes=730.3; historico=628,744,819; rel=+165.4%"
202601,WARN,CHANNEL_DRIFT,RENAULT,Private,count_vs_same_month_history,678,+/-250 and +/-25%,"actual=2679; media_mismo_mes=2001.3; historico=1838,1947,2219; rel=+33.9%"
202601,CRITICAL,CHANNEL_DRIFT,RENAULT,RAC,count_vs_same_month_history,-276,+/-250 and +/-25%,"actual=64; media_mismo_mes=339.7; historico=124,788,107; rel=-81.2%"
202601,CRITICAL,CHANNEL_DRIFT,SEAT,RAC,count_vs_same_month_history,913,+/-250 and +/-25%,"actual=1555; media_mismo_mes=642.3; historico=1167,130,630; rel=+142.1%"
202601,CRITICAL,CHANNEL_DRIFT,SKODA,RAC,count_vs_same_month_history,562,+/-250 and +/-25%,"actual=980; media_mismo_mes=418.0; historico=487,581,186; rel=+134.4%"
202601,WARN,CHANNEL_DRIFT,VOLKSWAGEN,Private,count_vs_same_month_history,718,+/-250 and +/-25%,"actual=2509; media_mismo_mes=1791.0; historico=1404,2131,1838; rel=+40.1%"
