yyyymm,severity,kind,marca,canal,metric,value,threshold,detail
202507,INFO,CARROCERO_UNMAPPED,GRAU,,registros_carrocero_sin_chasis_detectado,52,25,ampliar _CHASSIS_RULES o CARROCERO_BRANDS
202507,INFO,KM0_FALLBACK,CITROEN,Corporate,b00d_private_moved_to_corporate,124,100,pool_b00d_private=1540; rate=0.0802
202507,INFO,KM0_FALLBACK,PEUGEOT,Corporate,b00d_private_moved_to_corporate,102,100,pool_b00d_private=1850; rate=0.0553
202507,INFO,KM0_FALLBACK,RENAULT,Corporate,b00d_private_moved_to_corporate,186,100,pool_b00d_private=3250; rate=0.0573
202507,INFO,KM0_FALLBACK,OPEL,Corporate,b00d_private_moved_to_corporate,111,100,pool_b00d_private=747; rate=0.1484
202507,INFO,KM0_FALLBACK,FORD,Corporate,b00d_private_moved_to_corporate,146,100,pool_b00d_private=1554; rate=0.0939
