anyo,mes,marca,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,count
2025,03,ALFA ROMEO,01,Álava,Private,ICE,UKL1,REST,Standard,1
2025,03,AUDI,01,Álava,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,1
2025,03,AUDI,01,Álava,Corporate,ICE,MKL,FOCUS SEGMENT,Standard,1
2025,03,AUDI,01,Álava,Private,BEV,UKL2,FOCUS SEGMENT,Standard,1
2025,03,AUDI,01,Álava,Private,ICE,KKL,FOCUS SEGMENT,Standard,1
2025,03,AUDI,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,1
2025,03,BMW,01,Álava,Corporate,BEV,UKL2,FOCUS SEGMENT,Standard,1
2025,03,BMW,01,Álava,Corporate,ICE,GKL,FOCUS SEGMENT,Standard,1
2025,03,BMW,01,Álava,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,1
2025,03,BMW,01,Álava,Private,BEV,UKL2,FOCUS SEGMENT,Standard,2
2025,03,BMW,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,6
2025,03,BYD,01,Álava,Corporate,BEV,UKL1,REST,Standard,1
2025,03,BYD,01,Álava,Private,BEV,KKL,REST,Standard,1
2025,03,BYD,01,Álava,Private,BEV,UKL2,REST,Standard,3
2025,03,BYD,01,Álava,Private,PHEV,KKL,REST,Standard,1
2025,03,CITROEN,01,Álava,Corporate,BEV,UKL1,REST,Standard,1
2025,03,CITROEN,01,Álava,Corporate,ICE,SKL,REST,Standard,15
2025,03,CITROEN,01,Álava,Corporate,ICE,UKL2,REST,Standard,20
2025,03,CITROEN,01,Álava,Private,BEV,UKL1,REST,Standard,1
2025,03,CITROEN,01,Álava,Private,ICE,SKL,REST,Standard,1
2025,03,CITROEN,01,Álava,Private,ICE,UKL1,REST,Standard,4
2025,03,CITROEN,01,Álava,Private,ICE,UKL2,REST,Standard,5
2025,03,CUPRA,01,Álava,Corporate,BEV,UKL2,REST,Standard,1
2025,03,CUPRA,01,Álava,Corporate,PHEV,UKL2,REST,Standard,2
2025,03,CUPRA,01,Álava,Private,BEV,UKL2,REST,Standard,2
2025,03,CUPRA,01,Álava,Private,ICE,UKL2,REST,Standard,1
2025,03,DACIA,01,Álava,Corporate,ICE,UKL1,REST,Standard,1
2025,03,DACIA,01,Álava,Corporate,ICE,UKL2,REST,Standard,1
2025,03,DACIA,01,Álava,Private,ICE,SKL,REST,Standard,7
2025,03,DACIA,01,Álava,Private,ICE,UKL1,REST,Standard,15
2025,03,DACIA,01,Álava,Private,ICE,UKL2,REST,Standard,6
2025,03,DFSK,01,Álava,Private,PHEV,KKL,REST,Standard,1
2025,03,DONGFENG,01,Álava,Private,BEV,UKL0,REST,Standard,1
2025,03,FIAT,01,Álava,Corporate,ICE,UKL0,REST,Standard,1
2025,03,FIAT,01,Álava,Private,ICE,UKL0,REST,Standard,1
2025,03,FIAT,01,Álava,Private,ICE,UKL2,REST,Standard,1
2025,03,FORD,01,Álava,Corporate,BEV,SKL,REST,Standard,2
