anyo,mes,marca,modelo,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,body_type,count
2025,05,ALFA ROMEO,STELVIO,01,Álava,Corporate,ICE,KKL,REST,Standard,SAV,1
2025,05,AUDI,A3,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,HACH 5P,1
2025,05,AUDI,A3,01,Álava,Private,PHEV,UKL2,FOCUS SEGMENT,Standard,HACH 5P,1
2025,05,AUDI,A5,01,Álava,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,SEDAN,1
2025,05,AUDI,A5,01,Álava,Private,ICE,KKL,FOCUS SEGMENT,Standard,SEDAN,1
2025,05,AUDI,Q2,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,1
2025,05,AUDI,Q3,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,1
2025,05,AUDI,Q3 SPORTBACK,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,3
2025,05,AUDI,Q5,01,Álava,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,SAV,2
2025,05,AUDI,Q5,01,Álava,Private,ICE,KKL,FOCUS SEGMENT,Standard,SAV,1
2025,05,AUDI,Q5 SPORTBACK,01,Álava,Private,ICE,KKL,FOCUS SEGMENT,Standard,SAV,1
2025,05,AUDI,Q8,01,Álava,Private,ICE,MKL,FOCUS SEGMENT,Standard,SAV,1
2025,05,BMW,SERIE 5,01,Álava,Corporate,ICE,MKL,FOCUS SEGMENT,Standard,ESTATE,1
2025,05,BMW,X1,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,2
2025,05,BMW,X2,01,Álava,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,1
2025,05,BMW,X3,01,Álava,Private,ICE,KKL,FOCUS SEGMENT,Standard,SAV,1
2025,05,BMW,X3,01,Álava,Private,PHEV,KKL,FOCUS SEGMENT,Standard,SAV,1
2025,05,BMW,X6,01,Álava,Private,ICE,MKL,FOCUS SEGMENT,Standard,SAV,1
2025,05,BMW,X7,01,Álava,Corporate,ICE,GKL,FOCUS SEGMENT,Standard,SAV,1
2025,05,BMW,i5,01,Álava,Private,BEV,MKL,FOCUS SEGMENT,Standard,ESTATE,1
2025,05,BMW,iX,01,Álava,Corporate,BEV,MKL,FOCUS SEGMENT,Standard,SAV,1
2025,05,BMW,iX2,01,Álava,Private,BEV,UKL2,FOCUS SEGMENT,Standard,SAV,1
2025,05,BYD,ATTO 3,01,Álava,Private,BEV,UKL2,REST,Standard,SAV,3
2025,05,BYD,DOLPHIN,01,Álava,Private,BEV,UKL1,REST,Standard,HACH 5P,3
2025,05,BYD,SEAL U,01,Álava,Private,PHEV,KKL,REST,Standard,SAV,5
2025,05,BYD,SEALION 7,01,Álava,Private,BEV,KKL,REST,Standard,SAV,2
2025,05,CITROEN,BERLINGO,01,Álava,Corporate,BEV,SKL,REST,Standard,TRANSPORTER,1
2025,05,CITROEN,BERLINGO,01,Álava,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,7
2025,05,CITROEN,BERLINGO,01,Álava,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2025,05,CITROEN,C3,01,Álava,Corporate,BEV,UKL1,REST,Standard,HACH 5P,1
2025,05,CITROEN,C3,01,Álava,Private,ICE,UKL1,REST,Standard,HACH 5P,4
2025,05,CITROEN,C4,01,Álava,Corporate,BEV,UKL2,REST,Standard,HACH 5P,1
2025,05,CITROEN,C4,01,Álava,Corporate,ICE,UKL2,REST,Standard,HACH 5P,4
2025,05,CITROEN,C4,01,Álava,Private,ICE,UKL2,REST,Standard,HACH 5P,1
2025,05,CITROEN,C4X,01,Álava,Private,ICE,UKL2,REST,Standard,SEDAN,1
2025,05,CITROEN,C5 AIRCROSS,01,Álava,Corporate,ICE,UKL2,REST,Standard,SAV,1
2025,05,CITROEN,C5X,01,Álava,Corporate,ICE,MKL,REST,Standard,SEDAN,6
2025,05,CITROEN,C5X,01,Álava,Corporate,PHEV,MKL,REST,Standard,SEDAN,2
2025,05,CITROEN,JUMPER,01,Álava,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,2
2025,05,CITROEN,JUMPER,01,Álava,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2025,05,CITROEN,SPACETOURER,01,Álava,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,2
2025,05,CUPRA,CUPRA LEON,01,Álava,Corporate,ICE,UKL2,REST,Standard,HACH 5P,1
2025,05,CUPRA,CUPRA LEON,01,Álava,Private,ICE,UKL2,REST,Standard,HACH 5P,2
2025,05,CUPRA,FORMENTOR,01,Álava,Corporate,ICE,UKL2,REST,Standard,SAT,1
2025,05,CUPRA,FORMENTOR,01,Álava,Private,ICE,UKL2,REST,Standard,SAT,1
2025,05,CUPRA,TERRAMAR,01,Álava,Private,ICE,UKL2,REST,Standard,SAT,1
2025,05,DACIA,BIGSTER,01,Álava,Private,ICE,UKL2,REST,Standard,SAV,3
