yyyymm,severity,kind,marca,canal,metric,value,threshold,detail
202512,INFO,INVALID_ITV_SCOPE_EXCLUDED,PORSCHE,Private,registros_excluidos_ficha_itv_invalida,1,1,"vin10=WP0ZZZY1ZM; ficha ITV sin codigos tipo/variante/version utiles (plazas=0, fabricante=ND)"
202512,INFO,INVALID_ITV_SCOPE_EXCLUDED,MERCEDES,Private,registros_excluidos_ficha_itv_invalida,1,1,vin10=WDD2452071; ficha ITV sin codigos tipo/variante/version utiles (plazas=0)
202512,INFO,KM0_FALLBACK,RENAULT,Corporate,b00d_private_moved_to_corporate,196,100,pool_b00d_private=3419; rate=0.0573
