yyyymm,severity,kind,marca,canal,metric,value,threshold,detail
202310,INFO,KM0_FALLBACK,FIAT,Corporate,b00d_private_moved_to_corporate,123,100,pool_b00d_private=474; rate=0.2598
202310,INFO,KM0_FALLBACK,FORD,Corporate,b00d_private_moved_to_corporate,146,100,pool_b00d_private=1557; rate=0.0939
202310,INFO,KM0_FALLBACK,RENAULT,Corporate,b00d_private_moved_to_corporate,147,100,pool_b00d_private=2564; rate=0.0573
202310,INFO,KM0_FALLBACK,CITROEN,Corporate,b00d_private_moved_to_corporate,123,100,pool_b00d_private=1529; rate=0.0802
202310,INFO,KM0_FALLBACK,PEUGEOT,Corporate,b00d_private_moved_to_corporate,111,100,pool_b00d_private=2011; rate=0.0553
202310,INFO,KM0_FALLBACK,OPEL,Corporate,b00d_private_moved_to_corporate,125,100,pool_b00d_private=843; rate=0.1484
