anyo,mes,dia,marca,modelo,cod_prov,provincia,canal,fuel_type,segmento,subseg,hp,body_type,count
2026,07,21,AUDI,Q5,01,Álava,Private,ICE,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,21,BYD,ATTO 2,01,Álava,Private,PHEV,UKL1,REST,Standard,SAV,1
2026,07,21,BYD,DOLPHIN SURF,01,Álava,Private,BEV,UKL0,REST,Standard,HACH 5P,1
2026,07,21,CITROEN,JUMPER,01,Álava,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,21,CUPRA,CUPRA LEON,01,Álava,Private,ICE,UKL2,REST,Standard,HACH 5P,1
2026,07,21,FIAT,DUCATO,01,Álava,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,21,FORD,TOURNEO,01,Álava,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,21,HONDA,CR-V,01,Álava,Private,ICE,KKL,REST,Standard,SAV,1
2026,07,21,JAECOO,JAECOO 5,01,Álava,Corporate,ICE,UKL1,REST,Standard,SAV,1
2026,07,21,KIA,SPORTAGE,01,Álava,Private,ICE,UKL2,REST,Standard,SAV,2
2026,07,21,MERCEDES,CLASE GLC,01,Álava,Corporate,PHEV,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,21,MG,MG 4,01,Álava,Private,BEV,UKL2,REST,Standard,HACH 5P,1
2026,07,21,MG,ZS,01,Álava,Private,ICE,UKL1,REST,Standard,SAV,1
2026,07,21,NISSAN,PRIMASTAR,01,Álava,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,21,NISSAN,TOWNSTAR,01,Álava,Private,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,21,OMODA,OMODA 5,01,Álava,Private,ICE,UKL2,REST,Standard,SAV,1
2026,07,21,OMODA,OMODA 9,01,Álava,Private,PHEV,KKL,REST,Standard,SAV,1
2026,07,21,OPEL,FRONTERA,01,Álava,Private,ICE,KKL,REST,Standard,SUV,1
2026,07,21,SEAT,IBIZA,01,Álava,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2026,07,21,SKODA,EPIQ,01,Álava,Corporate,BEV,UKL1,REST,Standard,SAV,1
2026,07,21,SKODA,KODIAQ,01,Álava,Private,PHEV,KKL,REST,Standard,SAV,1
2026,07,21,TOYOTA,COROLLA,01,Álava,Private,ICE,UKL2,REST,Standard,HACH 5P,2
2026,07,21,BYD,ATTO 2,02,Albacete,Private,PHEV,UKL1,REST,Standard,SAV,1
2026,07,21,CUPRA,FORMENTOR,02,Albacete,Private,ICE,UKL2,REST,Standard,SAT,1
2026,07,21,DACIA,DUSTER,02,Albacete,Private,ICE,SKL,REST,Standard,PICKUP,1
2026,07,21,DR,DR5,02,Albacete,Private,ICE,UKL2,REST,Standard,SAV,1
2026,07,21,EBRO,S400,02,Albacete,Private,ICE,UKL2,REST,Standard,SAV,1
2026,07,21,FIAT,E-ULYSSE,02,Albacete,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,2
2026,07,21,FORD,TRANSIT,02,Albacete,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,21,JAECOO,JAECOO 5,02,Albacete,Private,ICE,UKL1,REST,Standard,SAV,1
2026,07,21,LEXUS,NX,02,Albacete,Private,PHEV,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,21,MERCEDES,CLASE A,02,Albacete,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SEDAN,1
2026,07,21,MERCEDES,CLASE GLC,02,Albacete,Private,ICE,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,21,MG,ZS,02,Albacete,Private,ICE,UKL1,REST,Standard,SAV,1
2026,07,21,OMODA,OMODA 5,02,Albacete,Private,BEV,UKL2,REST,Standard,SAV,1
2026,07,21,PEUGEOT,5008,02,Albacete,Private,ICE,KKL,REST,Standard,SUV,1
2026,07,21,TOYOTA,C-HR,02,Albacete,Private,ICE,UKL1,REST,Standard,SAV,1
2026,07,21,TOYOTA,PROACE VERSO,02,Albacete,Private,BEV,SKL,REST,Standard,TRANSPORTER,1
2026,07,21,TOYOTA,RAV 4,02,Albacete,Private,PHEV,UKL2,REST,Standard,SAV,1
2026,07,21,TOYOTA,YARIS CROSS,02,Albacete,Private,ICE,UKL1,REST,Standard,SAV,1
2026,07,21,VOLKSWAGEN,ID.4,02,Albacete,Private,BEV,UKL2,REST,Standard,SAV,1
2026,07,21,VOLKSWAGEN,TIGUAN,02,Albacete,Corporate,ICE,UKL2,REST,Standard,SAV,1
2026,07,21,AUDI,Q2,03,Alicante,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,07,21,BMW,X3,03,Alicante,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,21,BYD,ATTO 2,03,Alicante,Private,BEV,UKL1,REST,Standard,SAV,1
2026,07,21,BYD,ATTO 2,03,Alicante,Private,PHEV,UKL1,REST,Standard,SAV,3
2026,07,21,BYD,SEAL U,03,Alicante,Private,BEV,KKL,REST,Standard,SAV,1
2026,07,21,BYD,SEAL U,03,Alicante,Private,PHEV,KKL,REST,Standard,SAV,1
2026,07,21,CHANGAN,DEEPAL S05,03,Alicante,Corporate,BEV,UKL2,REST,Standard,HACH 5P,1
2026,07,21,CHANGAN,DEEPAL S05,03,Alicante,Private,BEV,UKL2,REST,Standard,HACH 5P,2
2026,07,21,CHANGAN,DEEPAL S07,03,Alicante,Corporate,BEV,UKL2,REST,Standard,SAV,1
2026,07,21,CUPRA,TERRAMAR,03,Alicante,Private,PHEV,UKL2,REST,Standard,SAT,1
2026,07,21,DACIA,DUSTER,03,Alicante,Private,ICE,SKL,REST,Standard,PICKUP,1
2026,07,21,DACIA,JOGGER,03,Alicante,Private,ICE,UKL2,REST,Standard,MPV,1
2026,07,21,DACIA,SANDERO,03,Alicante,Corporate,ICE,UKL1,REST,Standard,HACH 5P,1
2026,07,21,DACIA,SANDERO,03,Alicante,Private,ICE,UKL1,REST,Standard,HACH 5P,6
2026,07,21,EBRO,S700,03,Alicante,Private,PHEV,UKL2,REST,Standard,SAV,1
2026,07,21,FIAT,V347,03,Alicante,Private,ICE,,REST,Standard,,1
2026,07,21,FORD,PUMA,03,Alicante,Private,ICE,UKL1,REST,Standard,SAV,2
2026,07,21,FORD,RANGER,03,Alicante,Private,PHEV,SKL,REST,Standard,PICKUP,1
2026,07,21,FORD,TRANSIT,03,Alicante,RAC,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,21,HONDA,CIVIC,03,Alicante,Private,ICE,UKL2,REST,Standard,HACH 5P,1
2026,07,21,HYUNDAI,I20,03,Alicante,Private,ICE,UKL1,REST,Standard,HACH 5P,1
2026,07,21,HYUNDAI,I30,03,Alicante,Private,ICE,UKL2,REST,Standard,HACH 5P,1
2026,07,21,HYUNDAI,INSTER,03,Alicante,Private,BEV,UKL2,REST,Standard,SAV,2
2026,07,21,HYUNDAI,KONA,03,Alicante,Private,ICE,UKL1,REST,Standard,SAV,1
2026,07,21,JEEP,AVENGER,03,Alicante,Private,ICE,UKL1,REST,Standard,SAV,1
2026,07,21,KIA,NIRO,03,Alicante,Corporate,ICE,UKL2,REST,Standard,SAV,2
2026,07,21,KIA,NIRO,03,Alicante,Private,ICE,UKL2,REST,Standard,SAV,2
2026,07,21,KIA,SPORTAGE,03,Alicante,Private,ICE,UKL2,REST,Standard,SAV,2
2026,07,21,KIA,XCEED,03,Alicante,Corporate,ICE,UKL2,REST,Standard,HACH 5P,3
2026,07,21,LYNK & CO,LYNK&CO 01,03,Alicante,Private,PHEV,UKL2,REST,Standard,SAV,1
2026,07,21,MAN,TGE,03,Alicante,Private,ICE,SKL,REST,Standard,TRANSPORTER,2
2026,07,21,MERCEDES,CITAN,03,Alicante,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,4
2026,07,21,MERCEDES,CLASE A,03,Alicante,Corporate,ICE,UKL2,FOCUS SEGMENT,Standard,SEDAN,1
2026,07,21,MERCEDES,CLASE A,03,Alicante,Private,ICE,UKL2,FOCUS SEGMENT,Standard,SEDAN,1
2026,07,21,MERCEDES,CLASE GLA,03,Alicante,Corporate,PHEV,UKL2,FOCUS SEGMENT,Standard,SAV,1
2026,07,21,MERCEDES,CLASE GLC,03,Alicante,Corporate,ICE,KKL,FOCUS SEGMENT,Standard,SAV,1
2026,07,21,MERCEDES,SPRINTER 300,03,Alicante,Corporate,ICE,SKL,REST,Standard,TRANSPORTER,1
2026,07,21,MG,MG 3,03,Alicante,Private,ICE,UKL1,REST,Standard,HACH 5P,2
2026,07,21,MG,MG S9,03,Alicante,Private,PHEV,KKL,REST,Standard,SAV,1
2026,07,21,MG,ZS,03,Alicante,Private,ICE,UKL1,REST,Standard,SAV,3
2026,07,21,MINI,ACEMAN,03,Alicante,Private,BEV,UKL1,FOCUS SEGMENT,Standard,SAV,1
