BRAND,SUB_MODEL_NAME,SUB_MODEL_SHORT,IHS_CODE_SUBMODEL,GENERATION_YEAR,IHS_BODY_GROUP,BMW_CLASSIFICATION,BMW_REGIONAL_C1,BMW_SEGMENT,BMW_CONCEPT,BMW_SUB_CONCEPT
NISSAN-DONGFENG,NISSAN-DONGFENG TEANA,TEANA,F5TE,2088.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
LAND ROVER,LAND ROVER DEFENDER,DEFENDER,LRDF,2029.0,SUV,PREMIUM,TRAD. COMP.,MKL,SUV,SUV
GREAT WALL,GREAT WALL HAVAL DARGO,HAVAL DARGO,GBHD,2026.0,SUV,BASE,REST,UKL2,SAV,SAV
GUANGZHOU AUTO,GUANGZHOU AUTO XIANGWANG M8,XIANGWANG M8,GW!2,2025.0,MPV,BASE,REST,MKL,MPV,MPV
DEEPAL,DEEPAL E07,E07,3H09,2025.0,SUV,BASE,REST,MKL,SAV,SAV
GUANGZHOU AUTO,GUANGZHOU AUTO S7,S7,GW00,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
ICH-X,ICH-X K3,K3,3X!!,2025.0,SUV,BASE,REST,MKL,SUV,SUV
DACIA,DACIA BIGSTER,BIGSTER,DCBG,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
BUICK-SHANGHAI,BUICK-SHANGHAI GL8 LS,GL8 LS,QK!$,2025.0,MPV,BASE,REST,MKL,MPV,MPV
CITROEN,CITROEN C5 AIRCROSS,C5 AIRCROSS,CI5A,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
BESTURN,BESTURN YUEYI 07,YUEYI 07,ES!$,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
NIO,NIO ET9,ET9,7500,2025.0,SEDAN,PREMIUM,NEW PLAYERS & TESLA,GKL,SEDAN,SEDAN
AITO,AITO M8,M8,3706,2025.0,SUV,NEAR PREMIUM,NEW PLAYERS & TESLA,MKL,SAV,SAV
BMW,BMW 2-SERIES GRAN COUPE,2-SERIES GRAN COUPE,BM2C,2025.0,COUPE,PREMIUM,TRAD. COMP.,UKL2,SEDAN,4DR COUPE
TOYOTA,TOYOTA URBAN CRUISER,URBAN CRUISER,TO1Y,2025.0,SUV,BASE,REST,UKL1,SAV,SAV
TIGER,TIGER SIX,SIX,$F!!,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
TESLA,TESLA MODEL Y,MODEL Y,TKEC,2025.0,SUV,PREMIUM,NEW PLAYERS & TESLA,KKL,SAV,SAV
TENAX,TENAX V35,V35,$J!$,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
TENAX,TENAX C35,C35,$J!!,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
AUDI,AUDI A6,A6,AU6A,2025.0,SEDAN,PREMIUM,TRAD. COMP.,MKL,SEDAN,SEDAN
SKODA,SKODA ELROQ,ELROQ,SKEL,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
JETOUR,JETOUR DASHING,DASHING,5J!5,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
FERRARI,FERRARI F80,F80,FR!$,2025.0,COUPE,PREMIUM,TRAD. COMP.,GKL++3,COUPE,COUPE
HONDA,HONDA PASSPORT,PASSPORT,HOPP,2025.0,SUV,BASE,REST,KKL,SUV,SUV
VOLKSWAGEN,VOLKSWAGEN TIGUAN,TIGUAN,VWGS,2025.0,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAV
VOLKSWAGEN,VOLKSWAGEN TERA,TERA,VW0D,2025.0,SUV,BASE,REST,UKL1,SAV,SAV
VOLKSWAGEN,VOLKSWAGEN TAYRON,TAYRON,VWT0,2025.0,SUV,NEAR PREMIUM,REST,KKL,SAV,SAV
FANGCHENGBAO,FANGCHENGBAO TAI 3,TAI 3,0T03,2025.0,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAV
SOLLERS,SOLLERS ARGO,ARGO,0701,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SOUEAST,SOUEAST S06,S06,YD!@,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
HONDA-DONGFENG,HONDA-DONGFENG S7,S7,Q40C,2025.0,SUV,BASE,REST,MKL,SAV,SAV
DONGFENG,DONGFENG/DFSK EC75,EC75,QD!L,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
DEEPAL,DEEPAL S09,S09,3H05,2025.0,SUV,BASE,REST,GKL,SAV,SAV
HONDA-GUANGZHOU,HONDA-GUANGZHOU P7,P7,WK0D,2025.0,SUV,BASE,REST,MKL,SAV,SAV
TOYOTA-GUANGZHOU,TOYOTA-GUANGZHOU BZ3X,BZ3X,WD05,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
NISSAN,NISSAN URVAN,URVAN,NIUR,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
NISSAN-DONGFENG,NISSAN-DONGFENG N7,N7,F50A,2025.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
HEDMOS,HEDMOS 06,06,$I!!,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
HONGQI,HONGQI (RED FLAG) TIANGONG 05,TIANGONG 05,H5!0,2025.0,SEDAN,NEAR PREMIUM,REST,KKL,SEDAN,SEDAN
HONGQI,HONGQI (RED FLAG) TIANGONG 06,TIANGONG 06,H5!1,2025.0,SUV,NEAR PREMIUM,REST,KKL,SAV,SAV
MERCEDES-BENZ,MERCEDES-BENZ CLA,CLA,MBHC,2025.0,WAGON,PREMIUM,TRAD. COMP.,UKL2,ESTATE,ESTATE
BYD,BYD HAN L,HAN L,DD!A,2025.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
MG,MG 4,4,MG0J,2025.0,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
JIM,JIM RE-MAX,RE-MAX,$L!!,2025.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
JUNEYAO AUTO,JUNEYAO AIR,AIR,$U!!,2025.0,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
BYD,BYD TANG L,TANG L,DD!4,2025.0,SUV,BASE,REST,KKL,SAV,SAV
LYNK & CO,LYNK & CO 900,900,8Q0T,2025.0,SUV,NEAR PREMIUM,REST,GKL,SAV,SAV
KIA,KIA EV4,EV4,KI0I,2025.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
CHANGAN,CHANGAN CS75,CS75,9C!0,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
GMC,GMC TERRAIN,TERRAIN,GMT1,2025.0,SUV,BASE,REST,KKL,SAV,SAV
KIA,KIA TASMAN,TASMAN,KIPU,2025.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
JETTA,JETTA VA7,VA7,9W00,2025.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
ROEWE,ROEWE D6,D6,RW05,2025.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
CHANA,CHANA CS35,CS35,YCCS,2025.0,SUV,BASE,REST,UKL1,SAV,SAV
XIAOMI,XIAOMI SU7 ULTRA,SU7 ULTRA,2W!&,2025.0,SEDAN,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SEDAN,SEDAN
CHANA,CHANA QIYUAN Q07,QIYUAN Q07,YC0U,2025.0,SUV,BASE,REST,KKL,SAV,SAV
CADILLAC,CADILLAC VISTIQ,VISTIQ,CA0E,2025.0,SUV,PREMIUM,TRAD. COMP.,GKL,SAV,SAV
ACURA,ACURA ADX,ADX,AR0A,2025.0,SUV,NEAR PREMIUM,REST,KKL,SAV,SAV
LEAPMOTOR,LEAPMOTOR B10,B10,4L04,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
ZEEKR,ZEEKR 007 GT,007 GT,2E0D,2025.0,WAGON,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,ESTATE,ESTATE
GEELY,GEELY XINGYAO 8,XINGYAO 8,C50T,2025.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
SUZUKI,SUZUKI JIMNY NOMADE,JIMNY NOMADE,SU!!,2025.0,SUV,BASE,REST,UKL0,SUV,SUV
FIREFLY,FIREFLY FIREFLY,FIREFLY,0100,2025.0,HATCHBACK,NEAR PREMIUM,NEW PLAYERS & TESLA,UKL1,HATCH,HATCH
FORD,FORD EXPEDITION,EXPEDITION,FWE8,2025.0,SUV,BASE,REST,GKL,SUV,SUV
PROTON,PROTON E.MAS 7,E.MAS 7,PR!$,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
NAMMI,NAMMI 06,06,46!!,2025.0,SUV,BASE,REST,UKL1,SAV,SAV
BYD,BYD SEAL 06,SEAL 06,DD!$,2025.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
BYD,BYD SEAL 05,SEAL 05,DD!2,2025.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
FORD,FORD EXPEDITION MAX,EXPEDITION MAX,FWE0,2025.0,SUV,BASE,REST,GKL,SUV,SUV
RENAULT,RENAULT 4,4,RET0,2025.0,SUV,BASE,REST,UKL1,SAV,SAV
AUDI-SHANGHAI,AUDI-SHANGHAI A5L,A5L,83!$,2025.0,HATCHBACK,PREMIUM,TRAD. COMP.,KKL,SEDAN,SEDAN
GREAT WALL,GREAT WALL HAVAL XIAOLONG MAX,HAVAL XIAOLONG MAX,GB0I,2025.0,SUV,BASE,REST,KKL,SAV,SAV
RENAULT,RENAULT DUSTER,DUSTER,RELS,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
BYD,BYD SHARK 6,SHARK 6,DD!D,2025.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
NAVOR,NAVOR E5,E5,$7!!,2025.0,SUV,BASE,REST,KKL,SAV,SAV
MERCEDES-BENZ,MERCEDES-BENZ G-CLASS EQ,G-CLASS EQ,MB!$,2024.0,SUV,PREMIUM,TRAD. COMP.,GKL,SUV,SUV
BAOJUN,BAOJUN YUEYE PLUS,YUEYE PLUS,JX0F,2024.0,SUV,BASE,REST,UKL0,SUV,SUV
MG,MG WHALE,WHALE,MG0W,2024.0,SUV,BASE,REST,UKL2,SAV,SAC
BEIJING AUTO,BEIJING AUTO EU5,EU5,BXU5,2024.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
MG,MG 3,3,MG03,2024.0,HATCHBACK,BASE,REST,UKL1,HATCH,HATCH
MERCEDES-BENZ,MERCEDES-BENZ G-CLASS,G-CLASS,MBGW,2024.0,SUV,PREMIUM,TRAD. COMP.,GKL,SUV,SUV
MG,MG ZS,ZS,MG02,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
BAOJUN,BAOJUN XIANGJING,XIANGJING,JX!$,2024.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
MINI,MINI COOPER,COOPER,XM00,2024.0,HATCHBACK,PREMIUM,TRAD. COMP.,UKL1,HATCH,HATCH
BEIJING AUTO,BEIJING AUTO BJ30,BJ30,BXB3,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
MINI,MINI ACEMAN,ACEMAN,XM03,2024.0,SUV,PREMIUM,TRAD. COMP.,UKL1,SAV,SAV
BAOJUN,BAOJUN YUNHAI,YUNHAI,JX0E,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
MG,MG S5,S5,MG!7,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
MG,MG S9,S9,MG!$,2024.0,SUV,BASE,REST,KKL,SAV,SAV
MG,MG HS,HS,MGHS,2024.0,SUV,BASE,REST,KKL,SAV,SAV
MG,MG ES5,ES5,MG!2,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
MINI,MINI COUNTRYMAN,COUNTRYMAN,XM!!,2024.0,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAV
MASERATI,MASERATI GRANCABRIO,GRANCABRIO,MAGC,2024.0,CONVERTIBLE,PREMIUM,TRAD. COMP.,GKL,CABRIO,CABRIO
MAHINDRA,MAHINDRA XUV 3XO,XUV 3XO,MH!!,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
ARCFOX,ARCFOX ALPHA T5,ALPHA T5,9204,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
ALPINE,ALPINE A290,A290,8803,2024.0,HATCHBACK,NEAR PREMIUM,REST,UKL1,HATCH,HATCH
TOYOTA,TOYOTA CAMRY,CAMRY,TOCM,2024.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
TOYOTA,TOYOTA 4RUNNER,4RUNNER,TO4R,2024.0,SUV,BASE,REST,MKL,SUV,SUV
MAEXTRO,MAEXTRO S800,S800,!I!#,2024.0,SEDAN,PREMIUM,NEW PLAYERS & TESLA,GKL,SEDAN,SEDAN
LYNK & CO,LYNK & CO Z20,Z20,8Q0O,2024.0,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAC
MAZDA-CHANGAN,MAZDA-CHANGAN EZ-6,EZ-6,JA05,2024.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
LYNK & CO,LYNK & CO 07,07,8Q0L,2024.0,SEDAN,NEAR PREMIUM,REST,KKL,SEDAN,SEDAN
LYNK & CO,LYNK & CO 02,02,8QL2,2024.0,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAC
LUXEED,LUXEED S7,S7,4700,2024.0,HATCHBACK,NEAR PREMIUM,REST,MKL,SEDAN,SEDAN
LUXEED,LUXEED R7,R7,4701,2024.0,SUV,NEAR PREMIUM,REST,KKL,SAV,SAC
LINGXI,LINGXI L,L,6E00,2024.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
LINCOLN,LINCOLN NAVIGATOR L,NAVIGATOR L,FKNL,2024.0,SUV,NEAR PREMIUM,REST,GKL,SUV,SUV
LINCOLN,LINCOLN NAVIGATOR,NAVIGATOR,FKNA,2024.0,SUV,NEAR PREMIUM,REST,GKL,SUV,SUV
LI,LI MEGA,MEGA,5C04,2024.0,MPV,NEAR PREMIUM,REST,GKL,MPV,MPV
LEXUS,LEXUS GX-SERIES,GX-SERIES,LXGX,2024.0,SUV,PREMIUM,TRAD. COMP.,MKL,SUV,SUV
LYNK & CO,LYNK & CO Z10,Z10,8Q!!,2024.0,SEDAN,NEAR PREMIUM,REST,MKL,SEDAN,SEDAN
TATA,TATA CURVV,CURVV,T1BB,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
TANK,TANK 700,700,2C07,2024.0,SUV,BASE,REST,MKL,SUV,SUV
SWM,SWM X30L EV,X30L EV,78!!,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SUZUKI,SUZUKI SWIFT DZIRE,SWIFT DZIRE,SUDZ,2024.0,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
SUZUKI,SUZUKI DZIRE,DZIRE,SUDR,2024.0,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
MERCEDES-BENZ,MERCEDES-BENZ G 63 AMG,G 63 AMG,MBG1,2024.0,SUV,PREMIUM,TRAD. COMP.,GKL,SUV,SUV
MERCEDES-BENZ,MERCEDES-BENZ G 550,G 550,MBGP,2024.0,SUV,PREMIUM,TRAD. COMP.,GKL,SUV,SUV
MERCEDES-BENZ,MERCEDES-BENZ G 500,G 500,MBGH,2024.0,SUV,PREMIUM,TRAD. COMP.,GKL,SUV,SUV
MAXUS,MAXUS EDELIVER 5,EDELIVER 5,XU0F,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
BESTURN,BESTURN YUEYI 03,YUEYI 03,ES06,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
MINI,MINI COUNTRYMAN CLASSIC,COUNTRYMAN CLASSIC,XMSV,2024.0,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAV
BMW,BMW 1-SERIES,1-SERIES,BM2S,2024.0,HATCHBACK,PREMIUM,TRAD. COMP.,UKL2,HATCH,HATCH
MAZDA,MAZDA FLAIRWAGON,FLAIRWAGON,MZNK,2024.0,HATCHBACK,BASE,REST,UKL0,MPV,MPV
MAZDA,MAZDA CX-70,CX-70,MZ01,2024.0,SUV,BASE,REST,KKL,SAV,SAV
MAZDA,MAZDA 6E,6E,MZ0F,2024.0,HATCHBACK,BASE,REST,KKL,SEDAN,SEDAN
MAXUS,MAXUS V1,V1,XU0L,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MAXUS,MAXUS ETERRON 9,ETERRON 9,XU0H,2024.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
MERCEDES-BENZ,MERCEDES-BENZ G 450,G 450,MB!#,2024.0,SUV,PREMIUM,TRAD. COMP.,GKL,SUV,SUV
AUDI,AUDI S5,S5,AU5S,2024.0,WAGON,PREMIUM,TRAD. COMP.,KKL,ESTATE,ESTATE
XPENG,XPENG M03,M03,4X08,2024.0,HATCHBACK,NEAR PREMIUM,REST,UKL2,SEDAN,SEDAN
REHIGH,REHIGH RH8,RH8,$5!!,2024.0,SUV,BASE,REST,MKL,SAV,SAV
REHIGH,REHIGH RH6,RH6,$5!$,2024.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
RAM,RAM 1500,1500,R515,2024.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
PORSCHE,PORSCHE MACAN,MACAN,PORO,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
SINOTRUK (CNHTC),SINOTRUK (CNHTC) BOSHENG,BOSHENG,XZ!$,2024.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
POER,POER SAHAR,SAHAR,2I!!,2024.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
PEUGEOT,PEUGEOT LANDTREK,LANDTREK,PEPU,2024.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
NIO,NIO EL8,EL8,75!!,2024.0,SUV,PREMIUM,NEW PLAYERS & TESLA,MKL,SAV,SAV
PEUGEOT,PEUGEOT 5008,5008,PE58,2024.0,MPV,BASE,REST,KKL,SAV,SAV
AUDI,AUDI S6 E-TRON,S6 E-TRON,AU!#,2024.0,WAGON,PREMIUM,TRAD. COMP.,MKL,ESTATE,ESTATE
AUDI,AUDI A6 E-TRON,A6 E-TRON,AUE5,2024.0,WAGON,PREMIUM,TRAD. COMP.,MKL,ESTATE,ESTATE
OSHAN,OSHAN 520,520,4O!!,2024.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
ORA,ORA GRAND CAT,GRAND CAT,5O09,2024.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
SKYWORTH,SKYWORTH K,K,2H!#,2024.0,SUV,BASE,REST,KKL,SAV,SAV
SKODA,SKODA SUPERB,SUPERB,SKAP,2024.0,WAGON,BASE,REST,KKL,ESTATE,ESTATE
ZEEKR,ZEEKR 7X,7X,2E09,2024.0,SUV,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SAV,SAV
YUANHANG,YUANHANG Y6,Y6,6A!#,2024.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
YUANHANG,YUANHANG H9,H9,6A01,2024.0,SUV,BASE,REST,MKL,SAV,SAV
YUANHANG,YUANHANG H8,H8,6A!!,2024.0,SUV,BASE,REST,MKL,SAV,SAV
YANGWANG,YANGWANG U7,U7,3I07,2024.0,SEDAN,PREMIUM,NEW PLAYERS & TESLA,GKL,SEDAN,SEDAN
XPENG,XPENG X9,X9,4X07,2024.0,MPV,NEAR PREMIUM,REST,MKL,MPV,MPV
CADILLAC,CADILLAC OPTIQ,OPTIQ,CA00,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
CADILLAC,CADILLAC ESCALADE IQ,ESCALADE IQ,CA0B,2024.0,SUV,PREMIUM,TRAD. COMP.,GKL,SUV,SUV
CHANA,CHANA CS75 PLUS,CS75 PLUS,YC0D,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
RENAULT TRUCKS,RENAULT TRUCKS MASTER,MASTER,RVMT,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
RENAULT,RENAULT 5,5,RE05,2024.0,HATCHBACK,BASE,REST,UKL1,HATCH,HATCH
CHANA,CHANA UNI-Z,UNI-Z,YC!&,2024.0,SUV,BASE,REST,KKL,SAV,SAV
RENAULT,RENAULT MASTER,MASTER,REMA,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
RENAULT,RENAULT KARDIAN,KARDIAN,RE0L,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
AUDI,AUDI A5,A5,AU5A,2024.0,WAGON,PREMIUM,TRAD. COMP.,KKL,ESTATE,ESTATE
RENAULT,RENAULT GRAND KOLEOS,GRAND KOLEOS,RE0K,2024.0,SUV,BASE,REST,KKL,SAV,SAV
RENAULT,RENAULT SYMBIOZ,SYMBIOZ,RECC,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
NISSAN,NISSAN CLIPPER EV,CLIPPER EV,NI!$,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
NISSAN,NISSAN ARMADA,ARMADA,NIA9,2024.0,SUV,BASE,REST,GKL,SUV,SUV
ASTON MARTIN,ASTON MARTIN VANQUISH,VANQUISH,AMVQ,2024.0,COUPE,PREMIUM,TRAD. COMP.,GKL++3,COUPE,COUPE
SUBARU,SUBARU FORESTER,FORESTER,SBFO,2024.0,SUV,BASE,REST,KKL,ESTATE,ESTATE
STELATO,STELATO S9,S9,!C!!,2024.0,SEDAN,NEAR PREMIUM,NEW PLAYERS & TESLA,MKL,SEDAN,SEDAN
SSANGYONG,SSANGYONG ACTYON (TORRES BAS.),ACTYON (TORRES BAS.),SG!!,2024.0,SUV,BASE,REST,KKL,SAV,SAC
LEVC,LEVC L380,L380,M402,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
NEX,NEX BEV PICKUP,BEV PICKUP,!G!!,2024.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
NETA,NETA L,L,4N05,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
MOSKVICH,MOSKVICH 5,5,MS01,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
AVATR TECHNOLOGIES,AVATR 06,06,2N01,2024.0,SEDAN,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SEDAN,4DR COUPE
MORGAN,MORGAN MIDSUMMER,MIDSUMMER,MO!!,2024.0,ROADSTER,PREMIUM,REST,MKL,ROADSTER,ROADSTER
MITSUBISHI,MITSUBISHI OUTLANDER SP.,OUTLANDER SPORT,MIOA,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
ASTON MARTIN,ASTON MARTIN VALIANT,VALIANT,AM!$,2024.0,COUPE,PREMIUM,TRAD. COMP.,GKL++3,COUPE,COUPE
MITSUBISHI,MITSUBISHI L100 EV,L100 EV,MI!!,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MINI-GREAT WALL,MINI-GREAT WALL COOPER,COOPER,4M0A,2024.0,HATCHBACK,PREMIUM,TRAD. COMP.,UKL1,HATCH,HATCH
MINI-GREAT WALL,MINI-GREAT WALL ACEMAN,ACEMAN,4M03,2024.0,SUV,PREMIUM,TRAD. COMP.,UKL1,SAV,SAV
MINI,MINI MINI,MINI,XMMI,2024.0,WAGON,PREMIUM,TRAD. COMP.,UKL1,ESTATE,ESTATE
MINI,MINI CROSSOVER,CROSSOVER,XMCR,2024.0,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAV
AVATR TECHNOLOGIES,AVATR 07,07,2N0B,2024.0,SUV,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SAV,SAV
SKODA,SKODA KODIAQ,KODIAQ,SK03,2024.0,SUV,BASE,REST,KKL,SAV,SAV
OPEL,OPEL GRANDLAND/X,GRANDLAND/X,OP01,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
OPEL,OPEL FRONTERA,FRONTERA,OP!!,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
ONVO,ONVO L60,L60,0000,2024.0,SUV,NEAR PREMIUM,REST,KKL,SAV,SAV
OMODA,OMODA 5,5,3V04,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
NISSAN-DONGFENG,NISSAN-DONGFENG PATHFINDER,PATHFINDER,F5PA,2024.0,SUV,BASE,REST,MKL,SAV,SAV
NISSAN,NISSAN SYLPHY,SYLPHY,NISJ,2024.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
AUDI,AUDI SQ6 SPORTBACK E-TRON,SQ6 SPORTBACK E-TRON,AU!$,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAC
AUDI,AUDI Q6 SPORTBACK E-TRON,Q6 SPORTBACK E-TRON,AUE6,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAC
NISSAN,NISSAN INTERSTAR,INTERSTAR,NIIT,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SMART-GEELY,SMART-GEELY #5,#5,5V05,2024.0,SUV,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SAV,SAV
SMART,SMART #5,#5,N204,2024.0,SUV,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SAV,SAV
AUDI,AUDI SQ6 E-TRON,SQ6 E-TRON,AU!!,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
AUDI,AUDI Q6 E-TRON,Q6 E-TRON,AU5E,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
AUDI,AUDI SQ5 SPORTBACK,SQ5 SPORTBACK,AU5Q,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAC
AUDI,AUDI Q5 SPORTBACK,Q5 SPORTBACK,AUQS,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAC
AUDI,AUDI SQ5,SQ5,AUQ5,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
AUDI,AUDI Q5,Q5,AU3U,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
NISSAN,NISSAN PATROL,PATROL,NIP1,2024.0,SUV,BASE,REST,MKL,SUV,SUV
NISSAN,NISSAN MURANO,MURANO,NIMU,2024.0,SUV,BASE,REST,MKL,SAV,SAV
NISSAN,NISSAN KICKS,KICKS,NI02,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
SOUEAST,SOUEAST S09,S09,YD!$,2024.0,SUV,BASE,REST,KKL,SAV,SAV
DONGFENG,DONGFENG/DFM XINGHAI S7,XINGHAI S7,QD25,2024.0,HATCHBACK,BASE,REST,MKL,SEDAN,SEDAN
DONGFENG,DONGFENG/DFM MAGE,MAGE,QD!6,2024.0,SUV,BASE,REST,KKL,SAV,SAV
BUICK,BUICK ENCLAVE,ENCLAVE,BUEN,2024.0,SUV,BASE,REST,MKL,SAV,SAV
DONGFENG,DONGFENG/DFM AEOLUS L7,AEOLUS L7,QD!3,2024.0,SUV,BASE,REST,KKL,SAV,SAV
DONGFENG,DONGFENG U-TOUR V9,U-TOUR V9,QD1S,2024.0,MPV,BASE,REST,MKL,MPV,MPV
DODGE,DODGE CHARGER,CHARGER,DOC2,2024.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
DENZA,DENZA Z9 GT,Z9 GT,UH00,2024.0,WAGON,NEAR PREMIUM,REST,MKL,ESTATE,ESTATE
DENZA,DENZA Z9,Z9,UH03,2024.0,SEDAN,NEAR PREMIUM,REST,MKL,SEDAN,SEDAN
DENZA,DENZA N9,N9,UH!#,2024.0,SUV,NEAR PREMIUM,REST,MKL,SAV,SAV
TOYOTA,TOYOTA PRADO,PRADO,TOLP,2024.0,SUV,BASE,REST,MKL,SUV,SUV
