BRAND,SUB_MODEL_NAME,SUB_MODEL_SHORT,IHS_CODE_SUBMODEL,GENERATION_YEAR,IHS_BODY_GROUP,BMW_CLASSIFICATION,BMW_REGIONAL_C1,BMW_SEGMENT,BMW_CONCEPT,BMW_SUB_CONCEPT
CHEVROLET,CHEVROLET PRISMA,PRISMA,CHPI,2012.0,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
CHEVROLET,CHEVROLET TRAX (G1UO),TRAX (G1UO),CHSY,2012.0,SUV,BASE,REST,UKL1,SAV,SAV
TOYOTA,TOYOTA SPADE,SPADE,TOSJ,2012.0,MPV,BASE,REST,UKL1,MPV,MPV
LADA,LADA KALINA,KALINA,LDK1,2012.0,HATCHBACK,BASE,REST,UKL1,HATCH,HATCH
FORD,FORD FUSION (MIDSIZED),FUSION (MIDSIZED),FWFU,2012.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
VOLKSWAGEN-SHANGHAI,VOLKSWAGEN-SHANGHAI SANTANA,SANTANA,SHN4,2012.0,WAGON,BASE,REST,UKL2,ESTATE,ESTATE
NISSAN,NISSAN NV350,NV350,NIN3,2012.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
NISSAN,NISSAN VERSA NOTE,VERSA NOTE,NIVN,2012.0,MPV,BASE,REST,UKL1,SAT,SAT
GAZ,GAZ GAZELLE NEXT,GAZELLE NEXT,GZGN,2012.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
LAND ROVER,LAND ROVER RANGE ROVER SV CPE,RANGE ROVER SV COUPE,LRSV,2012.0,SUV,PREMIUM,TRAD. COMP.,GKL,SAV,SAV
TOYOTA,TOYOTA QUEST,QUEST,TOQS,2012.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
HOLDEN,HOLDEN TRAX,TRAX,HLTX,2012.0,SUV,BASE,REST,UKL1,SAV,SAV
LADA,LADA VIS 2349 (GRANTA),VIS 2349 (GRANTA),LDV9,2012.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
LADA,LADA LARGUS,LARGUS,LDCS,2012.0,WAGON,BASE,REST,UKL1,ESTATE,ESTATE
OLEY,OLEY B30,B30,ODB3,2012.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
VOLVO,VOLVO V40 CROSS COUNTRY,V40 CROSS COUNTRY,VOXC,2012.0,HATCHBACK,PREMIUM,TRAD. COMP.,UKL2,HATCH,HATCH
VOLVO,VOLVO V40,V40,VOV4,2012.0,HATCHBACK,PREMIUM,TRAD. COMP.,UKL2,HATCH,HATCH
LANDWIND,LANDWIND X5,X5,L7X5,2012.0,SUV,BASE,REST,UKL2,SAV,SAV
TOYOTA,TOYOTA PORTE,PORTE,TOPT,2012.0,MPV,BASE,REST,UKL1,MPV,MPV
FORD,FORD ECOSPORT,ECOSPORT,FWFS,2012.0,SUV,BASE,REST,UKL1,SAV,SAV
CADILLAC,CADILLAC ATS,ATS,CASM,2012.0,UNSPECIFIED,PREMIUM,TRAD. COMP.,KKL,UNSPEC.,UNSPEC.
CIIMO,CIIMO CIVIC,CIVIC,UFCD,2012.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
TOYOTA,TOYOTA CROWN HYBRID,CROWN HYBRID,TOHY,2012.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
TOYOTA,TOYOTA COROLLA FIELDER,COROLLA FIELDER,TOCF,2012.0,WAGON,BASE,REST,UKL2,ESTATE,ESTATE
TOYOTA,TOYOTA CROWN ROYAL,CROWN ROYAL,TORY,2012.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
NISSAN-DONGFENG,NISSAN-DONGFENG TIIDA,TIIDA,F5TI,2012.0,UNSPECIFIED,BASE,REST,UKL2,UNSPEC.,UNSPEC.
OPEL,OPEL ADAM,ADAM,OPEH,2012.0,HATCHBACK,BASE,REST,UKL0,HATCH,HATCH
TOYOTA,TOYOTA AVANZA,AVANZA,TOAZ,2012.0,MPV,BASE,REST,UKL1,MPV,MPV
TOYOTA,TOYOTA COROLLA (AURIS),COROLLA (AURIS),TO0A,2012.0,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
FIAT-GUANGZHOU,FIAT-GUANGZHOU VIAGGIO,VIAGGIO,I0FL,2012.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
FIAT-GUANGZHOU,FIAT-GUANGZHOU OTTIMO,OTTIMO,I0OT,2012.0,HATCHBACK,BASE,REST,KKL,HATCH,HATCH
OSHAN,OSHAN OUNUO,OUNUO,4OON,2012.0,MPV,BASE,REST,UKL2,MPV,MPV
AGRALE,AGRALE 8700,8700,AG87,2012.0,TRUCK,BASE,REST,SKL,TRUCK,TRUCK
FORD,FORD B-MAX,B-MAX,FWBX,2012.0,MPV,BASE,REST,UKL1,MPV,MPV
TOYOTA,TOYOTA COROLLA ALTIS,COROLLA ALTIS,TOAC,2012.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
TOYOTA,TOYOTA COROLLA AXIO,COROLLA AXIO,TOCZ,2012.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
OPEL,OPEL MOKKA X,MOKKA X,OPMX,2012.0,SUV,BASE,REST,UKL1,SAV,SAV
MERCEDES-BENZ,MERCEDES-BENZ ANTOS,ANTOS,MBNN,2012.0,TRUCK,BASE,REST,SKL,TRUCK,TRUCK
ASHOK LEYLAND,ASHOK LEYLAND STILE,STILE,A6ST,2012.0,CAR UTILITY,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
TESLA,TESLA MODEL S,MODEL S,TKMS,2012.0,COUPE,PREMIUM,NEW PLAYERS & TESLA,GKL,SEDAN,SEDAN
GEELY,GEELY RAY,RAY,C5RA,2012.0,HATCHBACK,BASE,REST,UKL0,HATCH,HATCH
INFINITI,INFINITI JX-SERIES,JX-SERIES,IFUV,2012.0,SUV,PREMIUM,REST,MKL,SAV,SAV
CITROEN,CITROEN C-ELYSEE,C-ELYSEE,CILC,2012.0,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
PEUGEOT,PEUGEOT 301,301,PE31,2012.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
JMC,JMC CONQUER,CONQUER,QMCQ,2012.0,VAN,BASE,REST,SKL,TRUCK,TRUCK
CHERY,CHERY EASTAR (ORIENTAL SON),EASTAR (ORIENTAL SON),C7OS,2012.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
MERCEDES-BENZ,MERCEDES-BENZ A 260,A 260,MBZL,2012.0,HATCHBACK,PREMIUM,TRAD. COMP.,UKL2,HATCH,HATCH
LIGIER,LIGIER BE SUN (L1-L3),BE SUN (L1-L3),L2BS,2012.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SUZUKI-CHANGHE,SUZUKI-CHANGHE SPLASH,SPLASH,YESH,2012.0,HATCHBACK,BASE,REST,UKL0,MPV,MPV
