brand,dealer_id,dealer_name,point_of_sale,point_of_sale_id,address,postcode,city,province,latitude,longitude,source_kind,source_confidence,source_url,retrieved_date
Dacia,72405016,"AUTOESPADAN,S.L.L","AUTOESPADAN,S.L.L",72405016_001,"AVDA. MEDITERRANEO, S/N",12400,SEGORBE,,39.8393780,-0.4732810,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405414,"AUTERSA SERVICIOS DE MOVILIDAD, S.A.",AUTERSA VILLARREAL,72405414_001,CARRETERA ONDA KM 1,12540,VILLARREAL,,39.9430645,-0.1182809,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72438842,"UXO MOTOR, S.L.","UXO MOTOR, S.L.",72438842_001,"POLIGONO UXO LANZ, C-1",12600,VALL DE UXO,,39.8119970,-0.2280950,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72418900,"ARIES CIUDAD REAL, S.L.","ARIES CIUDAD REAL, S.L.",72418900_001,"CRTA. CARRION, KM. 242",13005,CIUDAD REAL,,38.9893538,-3.9073127,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72419005,"INBADO, S.L.","INBADO, S.L.",72419005_001,"CTRA. MADRID-CADIZ, KM. 198",13300,VALDEPEvAS,,38.7792600,-3.3967610,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72412700,"ARIES CIUDAD REAL, S.L.",ARIES CIUDAD REAL (PUERTOLLANO),72412700_001,"CTRA. ARGAMASILLA, KM.163",13500,PUERTOLLANO,,38.7051380,-4.0997890,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405417,"AUTOMOVILES ROMAN SANCHEZ, S.L.","AUTOMOVILES ROMAN SANCHEZ, S.L.",72405417_001,"AVENIDA DE LA CIENCIA, PARC. 5",13600,ALCAZAR DE SAN JUAN,,39.3943700,-3.2280600,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72419003,"PEDRO DOTOR, S.L.","PEDRO DOTOR, S.L.",72419003_001,"AUTOVIA ANDALUCIA, KM. 217",13730,STA. CRUZ DE MUDELA,,38.6382600,-3.4732680,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405103,"MEZQUITA MOTOR, S.L. UNIPERSONAL","MEZQUITA MOTOR,S.L.UNIP. (LA TORRECILLA)",72405103_001,PROLONG. ING. JUAN DE LA CIERVA S/N,14013,CORDOBA,,37.8487848,-4.7912533,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72457200,"MEZQUITA MOTOR, S.L. UNIPERSONAL","MEZQUITA MOTOR, S.L.U.(POL.QUEMADAS)",72457200_001,"POLIGONO LAS QUEMADAS, PARCELA 20-2",14014,CORDOBA,,37.9097110,-4.7191860,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405124,"CASTILLEJO DIAZ, S.L.","CASTILLEJO DIAZ, S.L.",72405124_001,"SOL, Nº41",14200,PEÑARROYA PUEBLONUEVO,,38.2966960,-5.2632590,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405002,"MAGESTOMOTOR, S.L.","MAGESTOMOTOR, S.L.",72405002_001,"CTRA. PEDROCHE, KM. 0,7",14400,POZOBLANCO,,38.3841877,-4.8359959,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405434,"MEZQUITA MOTOR, S.L. UNIPERSONAL","MEZQUITA MOTOR, S.L. UNIPERSONAL (LUCENA",72405434_001,"CTRA. NAC 331, KM 74",14900,LUCENA,,37.3941650,-4.5033340,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405438,"CAETANO FORMULA GALICIA, S.L.U",CAETANO,72405438_001,"AV. DE LAS JUBIAS, CASABLANCA",15006,LA CORUÑA,,43.3487440,-8.3917310,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405385,BALEATO MOTOR SL,BALEATO MOTOR SL,72405385_001,"RUA DO COBRE, H14- POL IND BERTOA",15100,CARBALLO,,43.2360120,-8.6812160,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405437,"CAETANO FORMULA GALICIA, S.L.U",CAETANO,72405437_001,"POLIGONO DE LA GANDARA, PARCELA 157",15570,NARON,,43.4880040,-8.1985040,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72410417,"TALLERES M.L.BALEATO, S.L.","TALLERES M.L.BALEATO, S.L.",72410417_001,"CALLE ARCAY-BEMBIBRE, 3",15873,VAL DO DUBRA,,43.0309730,-8.6584350,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405435,"CAETANO FORMULA GALICIA, S.L.U",CAETANO,72405435_001,POL. DEL TAMBRE,15890,SANTIAGO DE COMPOSTELA,,42.9108569,-8.5092953,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405426,"AUTOMAOR, S.L","AUTOMAOR, S.L. / CUENCA",72405426_001,TRAVESIA AVENIDA CRUZ ROJA ESPAÑOLA,16002,CUENCA,,40.0749900,-2.1613699,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405459,"AUTOMOVILES AUDASA, S.L.","AUTOMOVILES AUDASA, S.L.",72405459_001,"CTRA. LA ALMARCHA, 36",16600,SAN CLEMENTE,,39.4067477,-2.4214363,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405017,"AUTOMOCIO I SERVEIS DEL NORD-EST, S.L.","AUTOMOCIO I SERVEIS DEL NORD-EST, S.L.",72405017_001,CARRER DE TORRES I JONAMA. 92,17200,PALAFRUGELL,,41.9181968,3.1589657,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405474,"AUTOMOCIO I SERVEIS DEL NORD-EST, S.L.",AUTOMOCIO I SERVEIS DEL NORD-EST,72405474_001,CTRA. PALAMOS. 123,17220,SANT FELIU DE GUIXOLS,,41.7846053,3.0379139,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405394,"TOT MOBILITAT PALAMOS, S.L","TOT MOBILITAT PALAMOS, S.L",72405394_001,AVDA. LLUIS CAMPANYS. 79,17230,PALAMOS,,41.8512158,3.1305795,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405085,"AUTOMOCIO I SERVEIS DEL NORD-EST, S.L.",AUTOMOCIO I SERVEIS DEL NORD-EST,72405085_001,"JUAN CARLOS I, 186",17300,BLANES,,41.6863400,2.7958100,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405337,"SELVA AUTOMOCIO, S.L","SELVA AUTOMOCIO, S.L",72405337_001,"CTRA DE SILS, 86",17430,SANTA COLOMA DE FARNERS,,41.8543612,2.6794594,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405408,"INTERCARGIRONA.S,L","INTERCARGIRONA.S,L",72405408_001,"CTRA. NACIONAL II, KM. 710",17458,FORNELLS DE LA SELVA,,41.9365190,2.7991290,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72434434,"INTERCARGIRONA.S,L","INTERCARGIRONA, S.L.",72434434_001,"CARRETERA DE ROSES, 47-49",17600,FIGUERES,,42.2676010,2.9902270,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405346,"AUTOMOCIO I SERVEIS DEL NORD-EST, S.L.",AUTOMOCIO I SERVEIS DEL NORD-EST. S.L.,72405346_001,"AVD. DE EUROPA, 1",17800,OLOT,,42.1903099,2.4783500,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72434602,SOLA SPORT AUTOMOCIO S.L.,SOLA SPORT AUTOMOCIO S.L.,72434602_001,"CTRA. OLOT, 26",17850,BESALU,,42.2036620,2.6900800,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405353,"JAPEMASA SOLAR, S.L","JAPEMASA SOLAR, S.L. (GRANADA)",72405353_001,"AVENIDA DE ANDALUCIA, S/N",18015,GRANADA,,37.1981760,-3.6368720,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72405360,"JAPEMASA SOLAR, S.L","JAPEMASA SOLAR, S.L (MOTRIL)",72405360_001,"CTRA. DE ALMERIA KM, 1,6",18600,MOTRIL,,36.7328100,-3.5094570,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
Dacia,72452727,"J.BARROCAL E HIJOS, S.L","J.BARROCAL E HIJOS, S.L (BAZA)",72452727_001,"CTRA. DE MURCIA, KM. 174",18800,BAZA,,37.4939880,-2.7630880,official_api,official,https://www.dacia.es/concesionarios.html,2026-07-21
