BRAND,SUB_MODEL_SHORT,IHS_CODE_SUBMODEL,GENERATION_YEAR,IHS_BODY_GROUP,BMW_CLASSIFICATION,BMW_REGIONAL_C1,BMW_SEGMENT,BMW_CONCEPT,BMW_SUB_CONCEPT
SOLLERS,RF8,07!&,,MPV,BASE,REST,MKL,MPV,MPV
SOLLERS,SF1,07!0,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SOLLERS,ST6,07!!,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
SOLLERS,ST8,07!$,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
SOLLERS,ST9,07!@,,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
SOLLERS,UNSPECIFIED,07ZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
SONO MOTORS,SION,3K01,,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
SONO MOTORS,UNSPECIFIED,3KZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
SONY,D-CUV EV,0201,,SUV,BASE,REST,KKL,SAV,SAV
SONY,D-SEDAN EV,0200,,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
SOUEAST,DELICA,YDDE,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SOUEAST,DX9,YD04,,SUV,BASE,REST,KKL,SAV,SAV
SOUEAST,FREECA,YDFR,,CAR UTILITY,BASE,REST,UKL2,MPV,MPV
SOUEAST,LIONCEL,YDLC,,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
SOUEAST,UNSPECIFIED,YDZY,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SOVAM,UNSPECIFIED,SVZZ,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SPACE,LIGHT TRUCK,3QLT,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SPACE,MINIBUS,3QMB,,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SPARTAN,UNSPECIFIED,SQZZ,,UNSPECIFIED,BASE,REST,SKL,UNSPEC.,UNSPEC.
SPECTRE,R42,S942,,COUPE,BASE,REST,GKL,COUPE,COUPE
