BRAND,SUB_MODEL_SHORT,IHS_CODE_SUBMODEL,GENERATION_YEAR,IHS_BODY_GROUP,BMW_CLASSIFICATION,BMW_REGIONAL_C1,BMW_SEGMENT,BMW_CONCEPT,BMW_SUB_CONCEPT
NISSAN-DONGFENG,TEANA,F5TE,2088.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
LAND ROVER,DEFENDER,LRDF,2029.0,SUV,PREMIUM,TRAD. COMP.,MKL,SUV,SUV
GREAT WALL,HAVAL DARGO,GBHD,2026.0,SUV,BASE,REST,UKL2,SAV,SAV
GUANGZHOU AUTO,XIANGWANG M8,GW!2,2025.0,MPV,BASE,REST,MKL,MPV,MPV
DEEPAL,E07,3H09,2025.0,SUV,BASE,REST,MKL,SAV,SAV
GUANGZHOU AUTO,S7,GW00,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
ICH-X,K3,3X!!,2025.0,SUV,BASE,REST,MKL,SUV,SUV
DACIA,BIGSTER,DCBG,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
BUICK-SHANGHAI,GL8 LS,QK!$,2025.0,MPV,BASE,REST,MKL,MPV,MPV
CITROEN,C5 AIRCROSS,CI5A,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
BESTURN,YUEYI 07,ES!$,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
NIO,ET9,7500,2025.0,SEDAN,PREMIUM,NEW PLAYERS & TESLA,GKL,SEDAN,SEDAN
AITO,M8,3706,2025.0,SUV,NEAR PREMIUM,NEW PLAYERS & TESLA,MKL,SAV,SAV
BMW,2-SERIES GRAN COUPE,BM2C,2025.0,COUPE,PREMIUM,TRAD. COMP.,UKL2,SEDAN,4DR COUPE
TOYOTA,URBAN CRUISER,TO1Y,2025.0,SUV,BASE,REST,UKL1,SAV,SAV
TIGER,SIX,$F!!,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
TESLA,MODEL Y,TKEC,2025.0,SUV,PREMIUM,NEW PLAYERS & TESLA,KKL,SAV,SAV
TENAX,V35,$J!$,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
TENAX,C35,$J!!,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
AUDI,A6,AU6A,2025.0,SEDAN,PREMIUM,TRAD. COMP.,MKL,SEDAN,SEDAN
SKODA,ELROQ,SKEL,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
JETOUR,DASHING,5J!5,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
FERRARI,F80,FR!$,2025.0,COUPE,PREMIUM,TRAD. COMP.,GKL++3,COUPE,COUPE
HONDA,PASSPORT,HOPP,2025.0,SUV,BASE,REST,KKL,SUV,SUV
VOLKSWAGEN,TIGUAN,VWGS,2025.0,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAV
VOLKSWAGEN,TERA,VW0D,2025.0,SUV,BASE,REST,UKL1,SAV,SAV
VOLKSWAGEN,TAYRON,VWT0,2025.0,SUV,NEAR PREMIUM,REST,KKL,SAV,SAV
FANGCHENGBAO,TAI 3,0T03,2025.0,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAV
SOLLERS,ARGO,0701,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SOUEAST,S06,YD!@,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
HONDA-DONGFENG,S7,Q40C,2025.0,SUV,BASE,REST,MKL,SAV,SAV
DONGFENG,EC75,QD!L,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
DEEPAL,S09,3H05,2025.0,SUV,BASE,REST,GKL,SAV,SAV
HONDA-GUANGZHOU,P7,WK0D,2025.0,SUV,BASE,REST,MKL,SAV,SAV
TOYOTA-GUANGZHOU,BZ3X,WD05,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
NISSAN,URVAN,NIUR,2025.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
NISSAN-DONGFENG,N7,F50A,2025.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
HEDMOS,06,$I!!,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
HONGQI,TIANGONG 05,H5!0,2025.0,SEDAN,NEAR PREMIUM,REST,KKL,SEDAN,SEDAN
HONGQI,TIANGONG 06,H5!1,2025.0,SUV,NEAR PREMIUM,REST,KKL,SAV,SAV
MERCEDES-BENZ,CLA,MBHC,2025.0,WAGON,PREMIUM,TRAD. COMP.,UKL2,ESTATE,ESTATE
BYD,HAN L,DD!A,2025.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
MG,4,MG0J,2025.0,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
JIM,RE-MAX,$L!!,2025.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
JUNEYAO AUTO,AIR,$U!!,2025.0,HATCHBACK,BASE,REST,UKL2,HATCH,HATCH
BYD,TANG L,DD!4,2025.0,SUV,BASE,REST,KKL,SAV,SAV
LYNK & CO,900,8Q0T,2025.0,SUV,NEAR PREMIUM,REST,GKL,SAV,SAV
KIA,EV4,KI0I,2025.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
CHANGAN,CS75,9C!0,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
GMC,TERRAIN,GMT1,2025.0,SUV,BASE,REST,KKL,SAV,SAV
KIA,TASMAN,KIPU,2025.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
JETTA,VA7,9W00,2025.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
ROEWE,D6,RW05,2025.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
CHANA,CS35,YCCS,2025.0,SUV,BASE,REST,UKL1,SAV,SAV
XIAOMI,SU7 ULTRA,2W!&,2025.0,SEDAN,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SEDAN,SEDAN
CHANA,QIYUAN Q07,YC0U,2025.0,SUV,BASE,REST,KKL,SAV,SAV
CADILLAC,VISTIQ,CA0E,2025.0,SUV,PREMIUM,TRAD. COMP.,GKL,SAV,SAV
ACURA,ADX,AR0A,2025.0,SUV,NEAR PREMIUM,REST,KKL,SAV,SAV
LEAPMOTOR,B10,4L04,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
ZEEKR,007 GT,2E0D,2025.0,WAGON,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,ESTATE,ESTATE
GEELY,XINGYAO 8,C50T,2025.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
SUZUKI,JIMNY NOMADE,SU!!,2025.0,SUV,BASE,REST,UKL0,SUV,SUV
FIREFLY,FIREFLY,0100,2025.0,HATCHBACK,NEAR PREMIUM,NEW PLAYERS & TESLA,UKL1,HATCH,HATCH
FORD,EXPEDITION,FWE8,2025.0,SUV,BASE,REST,GKL,SUV,SUV
PROTON,E.MAS 7,PR!$,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
NAMMI,06,46!!,2025.0,SUV,BASE,REST,UKL1,SAV,SAV
BYD,SEAL 06,DD!$,2025.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
BYD,SEAL 05,DD!2,2025.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
FORD,EXPEDITION MAX,FWE0,2025.0,SUV,BASE,REST,GKL,SUV,SUV
RENAULT,4,RET0,2025.0,SUV,BASE,REST,UKL1,SAV,SAV
AUDI-SHANGHAI,A5L,83!$,2025.0,HATCHBACK,PREMIUM,TRAD. COMP.,KKL,SEDAN,SEDAN
GREAT WALL,HAVAL XIAOLONG MAX,GB0I,2025.0,SUV,BASE,REST,KKL,SAV,SAV
RENAULT,DUSTER,RELS,2025.0,SUV,BASE,REST,UKL2,SAV,SAV
BYD,SHARK 6,DD!D,2025.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
NAVOR,E5,$7!!,2025.0,SUV,BASE,REST,KKL,SAV,SAV
MERCEDES-BENZ,G-CLASS EQ,MB!$,2024.0,SUV,PREMIUM,TRAD. COMP.,GKL,SUV,SUV
BAOJUN,YUEYE PLUS,JX0F,2024.0,SUV,BASE,REST,UKL0,SUV,SUV
MG,WHALE,MG0W,2024.0,SUV,BASE,REST,UKL2,SAV,SAC
BEIJING AUTO,EU5,BXU5,2024.0,SEDAN,BASE,REST,UKL2,SEDAN,SEDAN
MG,3,MG03,2024.0,HATCHBACK,BASE,REST,UKL1,HATCH,HATCH
MERCEDES-BENZ,G-CLASS,MBGW,2024.0,SUV,PREMIUM,TRAD. COMP.,GKL,SUV,SUV
MG,ZS,MG02,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
BAOJUN,XIANGJING,JX!$,2024.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
MINI,COOPER,XM00,2024.0,HATCHBACK,PREMIUM,TRAD. COMP.,UKL1,HATCH,HATCH
BEIJING AUTO,BJ30,BXB3,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
MINI,ACEMAN,XM03,2024.0,SUV,PREMIUM,TRAD. COMP.,UKL1,SAV,SAV
BAOJUN,YUNHAI,JX0E,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
MG,S5,MG!7,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
MG,S9,MG!$,2024.0,SUV,BASE,REST,KKL,SAV,SAV
MG,HS,MGHS,2024.0,SUV,BASE,REST,KKL,SAV,SAV
MG,ES5,MG!2,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
MINI,COUNTRYMAN,XM!!,2024.0,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAV
MASERATI,GRANCABRIO,MAGC,2024.0,CONVERTIBLE,PREMIUM,TRAD. COMP.,GKL,CABRIO,CABRIO
MAHINDRA,XUV 3XO,MH!!,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
ARCFOX,ALPHA T5,9204,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
ALPINE,A290,8803,2024.0,HATCHBACK,NEAR PREMIUM,REST,UKL1,HATCH,HATCH
TOYOTA,CAMRY,TOCM,2024.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
TOYOTA,4RUNNER,TO4R,2024.0,SUV,BASE,REST,MKL,SUV,SUV
MAEXTRO,S800,!I!#,2024.0,SEDAN,PREMIUM,NEW PLAYERS & TESLA,GKL,SEDAN,SEDAN
LYNK & CO,Z20,8Q0O,2024.0,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAC
MAZDA-CHANGAN,EZ-6,JA05,2024.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
LYNK & CO,07,8Q0L,2024.0,SEDAN,NEAR PREMIUM,REST,KKL,SEDAN,SEDAN
LYNK & CO,02,8QL2,2024.0,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAC
LUXEED,S7,4700,2024.0,HATCHBACK,NEAR PREMIUM,REST,MKL,SEDAN,SEDAN
LUXEED,R7,4701,2024.0,SUV,NEAR PREMIUM,REST,KKL,SAV,SAC
LINGXI,L,6E00,2024.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
LINCOLN,NAVIGATOR L,FKNL,2024.0,SUV,NEAR PREMIUM,REST,GKL,SUV,SUV
LINCOLN,NAVIGATOR,FKNA,2024.0,SUV,NEAR PREMIUM,REST,GKL,SUV,SUV
LI,MEGA,5C04,2024.0,MPV,NEAR PREMIUM,REST,GKL,MPV,MPV
LEXUS,GX-SERIES,LXGX,2024.0,SUV,PREMIUM,TRAD. COMP.,MKL,SUV,SUV
LYNK & CO,Z10,8Q!!,2024.0,SEDAN,NEAR PREMIUM,REST,MKL,SEDAN,SEDAN
TATA,CURVV,T1BB,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
TANK,700,2C07,2024.0,SUV,BASE,REST,MKL,SUV,SUV
SWM,X30L EV,78!!,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SUZUKI,SWIFT DZIRE,SUDZ,2024.0,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
SUZUKI,DZIRE,SUDR,2024.0,SEDAN,BASE,REST,UKL1,SEDAN,SEDAN
MERCEDES-BENZ,G 63 AMG,MBG1,2024.0,SUV,PREMIUM,TRAD. COMP.,GKL,SUV,SUV
MERCEDES-BENZ,G 550,MBGP,2024.0,SUV,PREMIUM,TRAD. COMP.,GKL,SUV,SUV
MERCEDES-BENZ,G 500,MBGH,2024.0,SUV,PREMIUM,TRAD. COMP.,GKL,SUV,SUV
MAXUS,EDELIVER 5,XU0F,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
BESTURN,YUEYI 03,ES06,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
MINI,COUNTRYMAN CLASSIC,XMSV,2024.0,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAV
BMW,1-SERIES,BM2S,2024.0,HATCHBACK,PREMIUM,TRAD. COMP.,UKL2,HATCH,HATCH
MAZDA,FLAIRWAGON,MZNK,2024.0,HATCHBACK,BASE,REST,UKL0,MPV,MPV
MAZDA,CX-70,MZ01,2024.0,SUV,BASE,REST,KKL,SAV,SAV
MAZDA,6E,MZ0F,2024.0,HATCHBACK,BASE,REST,KKL,SEDAN,SEDAN
MAXUS,V1,XU0L,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MAXUS,ETERRON 9,XU0H,2024.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
MERCEDES-BENZ,G 450,MB!#,2024.0,SUV,PREMIUM,TRAD. COMP.,GKL,SUV,SUV
AUDI,S5,AU5S,2024.0,WAGON,PREMIUM,TRAD. COMP.,KKL,ESTATE,ESTATE
XPENG,M03,4X08,2024.0,HATCHBACK,NEAR PREMIUM,REST,UKL2,SEDAN,SEDAN
REHIGH,RH8,$5!!,2024.0,SUV,BASE,REST,MKL,SAV,SAV
REHIGH,RH6,$5!$,2024.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
RAM,1500,R515,2024.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
PORSCHE,MACAN,PORO,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
SINOTRUK (CNHTC),BOSHENG,XZ!$,2024.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
POER,SAHAR,2I!!,2024.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
PEUGEOT,LANDTREK,PEPU,2024.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
NIO,EL8,75!!,2024.0,SUV,PREMIUM,NEW PLAYERS & TESLA,MKL,SAV,SAV
PEUGEOT,5008,PE58,2024.0,MPV,BASE,REST,KKL,SAV,SAV
AUDI,S6 E-TRON,AU!#,2024.0,WAGON,PREMIUM,TRAD. COMP.,MKL,ESTATE,ESTATE
AUDI,A6 E-TRON,AUE5,2024.0,WAGON,PREMIUM,TRAD. COMP.,MKL,ESTATE,ESTATE
OSHAN,520,4O!!,2024.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
ORA,GRAND CAT,5O09,2024.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
SKYWORTH,K,2H!#,2024.0,SUV,BASE,REST,KKL,SAV,SAV
SKODA,SUPERB,SKAP,2024.0,WAGON,BASE,REST,KKL,ESTATE,ESTATE
ZEEKR,7X,2E09,2024.0,SUV,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SAV,SAV
YUANHANG,Y6,6A!#,2024.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
YUANHANG,H9,6A01,2024.0,SUV,BASE,REST,MKL,SAV,SAV
YUANHANG,H8,6A!!,2024.0,SUV,BASE,REST,MKL,SAV,SAV
YANGWANG,U7,3I07,2024.0,SEDAN,PREMIUM,NEW PLAYERS & TESLA,GKL,SEDAN,SEDAN
XPENG,X9,4X07,2024.0,MPV,NEAR PREMIUM,REST,MKL,MPV,MPV
CADILLAC,OPTIQ,CA00,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
CADILLAC,ESCALADE IQ,CA0B,2024.0,SUV,PREMIUM,TRAD. COMP.,GKL,SUV,SUV
CHANA,CS75 PLUS,YC0D,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
RENAULT TRUCKS,MASTER,RVMT,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
RENAULT,5,RE05,2024.0,HATCHBACK,BASE,REST,UKL1,HATCH,HATCH
CHANA,UNI-Z,YC!&,2024.0,SUV,BASE,REST,KKL,SAV,SAV
RENAULT,MASTER,REMA,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
RENAULT,KARDIAN,RE0L,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
AUDI,A5,AU5A,2024.0,WAGON,PREMIUM,TRAD. COMP.,KKL,ESTATE,ESTATE
RENAULT,GRAND KOLEOS,RE0K,2024.0,SUV,BASE,REST,KKL,SAV,SAV
RENAULT,SYMBIOZ,RECC,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
NISSAN,CLIPPER EV,NI!$,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
NISSAN,ARMADA,NIA9,2024.0,SUV,BASE,REST,GKL,SUV,SUV
ASTON MARTIN,VANQUISH,AMVQ,2024.0,COUPE,PREMIUM,TRAD. COMP.,GKL++3,COUPE,COUPE
SUBARU,FORESTER,SBFO,2024.0,SUV,BASE,REST,KKL,ESTATE,ESTATE
STELATO,S9,!C!!,2024.0,SEDAN,NEAR PREMIUM,NEW PLAYERS & TESLA,MKL,SEDAN,SEDAN
SSANGYONG,ACTYON (TORRES BAS.),SG!!,2024.0,SUV,BASE,REST,KKL,SAV,SAC
LEVC,L380,M402,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
NEX,BEV PICKUP,!G!!,2024.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
NETA,L,4N05,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
MOSKVICH,5,MS01,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
AVATR TECHNOLOGIES,06,2N01,2024.0,SEDAN,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SEDAN,4DR COUPE
MORGAN,MIDSUMMER,MO!!,2024.0,ROADSTER,PREMIUM,REST,MKL,ROADSTER,ROADSTER
MITSUBISHI,OUTLANDER SPORT,MIOA,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
ASTON MARTIN,VALIANT,AM!$,2024.0,COUPE,PREMIUM,TRAD. COMP.,GKL++3,COUPE,COUPE
MITSUBISHI,L100 EV,MI!!,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
MINI-GREAT WALL,COOPER,4M0A,2024.0,HATCHBACK,PREMIUM,TRAD. COMP.,UKL1,HATCH,HATCH
MINI-GREAT WALL,ACEMAN,4M03,2024.0,SUV,PREMIUM,TRAD. COMP.,UKL1,SAV,SAV
MINI,MINI,XMMI,2024.0,WAGON,PREMIUM,TRAD. COMP.,UKL1,ESTATE,ESTATE
MINI,CROSSOVER,XMCR,2024.0,SUV,PREMIUM,TRAD. COMP.,UKL2,SAV,SAV
AVATR TECHNOLOGIES,07,2N0B,2024.0,SUV,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SAV,SAV
SKODA,KODIAQ,SK03,2024.0,SUV,BASE,REST,KKL,SAV,SAV
OPEL,GRANDLAND/X,OP01,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
OPEL,FRONTERA,OP!!,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
ONVO,L60,0000,2024.0,SUV,NEAR PREMIUM,REST,KKL,SAV,SAV
OMODA,5,3V04,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
NISSAN-DONGFENG,PATHFINDER,F5PA,2024.0,SUV,BASE,REST,MKL,SAV,SAV
NISSAN,SYLPHY,NISJ,2024.0,SEDAN,BASE,REST,KKL,SEDAN,SEDAN
AUDI,SQ6 SPORTBACK E-TRON,AU!$,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAC
AUDI,Q6 SPORTBACK E-TRON,AUE6,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAC
NISSAN,INTERSTAR,NIIT,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
SMART-GEELY,#5,5V05,2024.0,SUV,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SAV,SAV
SMART,#5,N204,2024.0,SUV,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SAV,SAV
AUDI,SQ6 E-TRON,AU!!,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
AUDI,Q6 E-TRON,AU5E,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
AUDI,SQ5 SPORTBACK,AU5Q,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAC
AUDI,Q5 SPORTBACK,AUQS,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAC
AUDI,SQ5,AUQ5,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
AUDI,Q5,AU3U,2024.0,SUV,PREMIUM,TRAD. COMP.,KKL,SAV,SAV
NISSAN,PATROL,NIP1,2024.0,SUV,BASE,REST,MKL,SUV,SUV
NISSAN,MURANO,NIMU,2024.0,SUV,BASE,REST,MKL,SAV,SAV
NISSAN,KICKS,NI02,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
SOUEAST,S09,YD!$,2024.0,SUV,BASE,REST,KKL,SAV,SAV
DONGFENG,XINGHAI S7,QD25,2024.0,HATCHBACK,BASE,REST,MKL,SEDAN,SEDAN
DONGFENG,MAGE,QD!6,2024.0,SUV,BASE,REST,KKL,SAV,SAV
BUICK,ENCLAVE,BUEN,2024.0,SUV,BASE,REST,MKL,SAV,SAV
DONGFENG,AEOLUS L7,QD!3,2024.0,SUV,BASE,REST,KKL,SAV,SAV
DONGFENG,U-TOUR V9,QD1S,2024.0,MPV,BASE,REST,MKL,MPV,MPV
DODGE,CHARGER,DOC2,2024.0,SEDAN,BASE,REST,MKL,SEDAN,SEDAN
DENZA,Z9 GT,UH00,2024.0,WAGON,NEAR PREMIUM,REST,MKL,ESTATE,ESTATE
DENZA,Z9,UH03,2024.0,SEDAN,NEAR PREMIUM,REST,MKL,SEDAN,SEDAN
DENZA,N9,UH!#,2024.0,SUV,NEAR PREMIUM,REST,MKL,SAV,SAV
TOYOTA,PRADO,TOLP,2024.0,SUV,BASE,REST,MKL,SUV,SUV
DEEPAL,S05,3H07,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
DEEPAL,G318,3H!!,2024.0,SUV,BASE,REST,KKL,SUV,SUV
DACIA,DUSTER,DCSU,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
CITROEN,C3,CIC3,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
VOYAH,ZHIYIN,1L04,2024.0,SUV,BASE,REST,KKL,SAV,SAV
VOYAH,COURAGE,1L!!,2024.0,SUV,BASE,REST,KKL,SAV,SAV
VOLVO-GEELY,EM90,V706,2024.0,MPV,PREMIUM,REST,MKL,MPV,MPV
VOLVO TRUCKS,FH-SERIES,VRFH,2024.0,TRUCK,BASE,REST,SKL,TRUCK,TRUCK
VOLKSWAGEN-SHANGHAI,PASSAT PRO,SH!@,2024.0,SEDAN,NEAR PREMIUM,REST,MKL,SEDAN,SEDAN
ALFA ROMEO,JUNIOR,ALB0,2024.0,SUV,NEAR PREMIUM,REST,UKL1,SAV,SAV
VOLKSWAGEN,PASSAT,VWPA,2024.0,WAGON,NEAR PREMIUM,REST,MKL,ESTATE,ESTATE
FERRARI,12CILINDRI,FR!!,2024.0,ROADSTER,PREMIUM,TRAD. COMP.,GKL++3,ROADSTER,ROADSTER
FARIZON AUTO,MINI TRUCK,2K!$,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
EXLANTIX,ET,$A!!,2024.0,SUV,BASE,REST,KKL,SAV,SAV
BMW-BRILLIANCE,5-SERIES,XC5S,2024.0,SEDAN,PREMIUM,TRAD. COMP.,MKL,SEDAN,SEDAN
BMW-BRILLIANCE,2-SERIES GRAN COUPE,XC2G,2024.0,COUPE,PREMIUM,TRAD. COMP.,UKL2,SEDAN,4DR COUPE
VOLKSWAGEN-ANHUI,ID.UNYX,1JI5,2024.0,SUV,NEAR PREMIUM,REST,UKL2,SAV,SAC
VOLKSWAGEN,TRANSPORTER,VWTT,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
EPAI,008,6F01,2024.0,SUV,BASE,REST,KKL,SAV,SAV
EMC,WAVE 2,0D!!,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
EBRO,S800,EB!#,2024.0,SUV,BASE,REST,KKL,SAV,SAV
EBRO,S700,EB!!,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
E.VOLUTION GMBH,GIGA/MAX,!W!!,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
DS,NO 8,7009,2024.0,SUV,NEAR PREMIUM,REST,KKL,SAV,SAC
DONGFENG,E5,QD!I,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
VOLKSWAGEN-FAW,MAGOTAN,QVPA,2024.0,SEDAN,NEAR PREMIUM,REST,MKL,SEDAN,SEDAN
WULING,BINGO PLUS,QW!!,2024.0,HATCHBACK,BASE,REST,UKL1,HATCH,HATCH
BYD,YUAN UP,DD16,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
BYD,XIA,DD!6,2024.0,MPV,BASE,REST,MKL,MPV,MPV
CHEVROLET,BRIGHTDROP 600,CH!0,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
CHEVROLET,BRIGHTDROP 400,CH!@,2024.0,VAN,BASE,REST,SKL,TRANSPORTER,TRANSPORTER
CHERY,TIGGO CROSS,C7!4,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
CHERY,TIGGO 8L,C7!3,2024.0,SUV,BASE,REST,KKL,SAV,SAV
CHERY,FULWIN T9,C7!$,2024.0,SUV,BASE,REST,KKL,SAV,SAV
CHERY,FULWIN T8,C7!@,2024.0,SUV,BASE,REST,KKL,SAV,SAV
CHERY,FULWIN T6,C7!#,2024.0,SUV,BASE,REST,UKL2,SAV,SAV
BYD,DOLPHIN MINI,DD!0,2024.0,HATCHBACK,BASE,REST,UKL0,HATCH,HATCH
XIAOMI,SU7,2W03,2024.0,SEDAN,NEAR PREMIUM,NEW PLAYERS & TESLA,KKL,SEDAN,SEDAN
WULING,XINGGUANG S,QW!0,2024.0,SUV,BASE,REST,KKL,SAV,SAV
CHANA,E07,YC!@,2024.0,SUV,BASE,REST,MKL,SAV,SAV
CHANA,HUNTER,YCHU,2024.0,PICKUP,BASE,REST,SKL,PICK-UP,PICK-UP
CADILLAC,XT5,CAX5,2024.0,SUV,PREMIUM,TRAD. COMP.,MKL,SAV,SAV
ZHIDOU,RAINBOW,8H!!,2024.0,HATCHBACK,BASE,REST,UKL0,HATCH,HATCH
ZEEKR,MIX,2E0C,2024.0,MPV,NEAR PREMIUM,REST,KKL,MPV,MPV
CHERY,FULWIN T10,C7!&,2024.0,SUV,BASE,REST,MKL,SAV,SAV
RENAULT,RAFALE,REA1,2024.0,SUV,BASE,REST,UKL2,SAV,SAC
RENAULT,SANDERO,RESD,2024.0,HATCHBACK,BASE,REST,UKL1,HATCH,HATCH
BYD,ATTO 2,DD!J,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
CITROEN,BASALT,CI00,2024.0,SUV,BASE,REST,UKL1,SAV,SAV
