Mk,Va,Ve,Cn,Ft,count
ABARTH,0AEB0000A0,0D2A0,500,electric,8
ABARTH,0AEB0000A0,0E2A000B,500,electric,9
ABARTH,1AEB0000A0,0D2A0,500,electric,1
ABARTH,1AEB0000A0,0E2A000B,500,electric,11
ABARTH,2AEB0000A0,5EAANN2N5B,600E,electric,6
ALFA ROMEO,0ADT416AA3,1DAA1C,TONALE,diesel,11
ALFA ROMEO,0ADT416AA3,1DAA1D,TONALE,diesel,2
ALFA ROMEO,0ADT416AA3,1EAA1D,TONALE,diesel,4
ALFA ROMEO,0ADT416AA3,1EAA1DB,TONALE,diesel,200
ALFA ROMEO,0ADT416AA3,1EAA1FB,TONALE,diesel,93
ALFA ROMEO,0AGT415AA4,1D4A1A,TONALE,petrol,20
ALFA ROMEO,0AGT415AA4,1EAA1BB,TONALE,petrol,11
ALFA ROMEO,0AGT415AA4,1EAA1EB,TONALE,petrol,4
ALFA ROMEO,0AGT415AA4,2BAM1BB,TONALE,petrol,1
ALFA ROMEO,0AGT415AA4,2D4A1B,TONALE,petrol,23
ALFA ROMEO,0AGT415AA4,2EAA1B,TONALE,petrol,6
ALFA ROMEO,0AGT415AA4,2EAA1BB,TONALE,petrol,52
ALFA ROMEO,0AGT415AA4,2EAA1EB,TONALE,petrol,26
ALFA ROMEO,0APA413BC6,3D4A1N,TONALE,petrol/electric,5
ALFA ROMEO,0APA413BC6,3DAA1N,TONALE,petrol/electric,2
ALFA ROMEO,0APA413BC6,3EAA1NB,TONALE,petrol/electric,41
ALFA ROMEO,0APA413BC6,6BAM1NB,TONALE,petrol/electric,1
ALFA ROMEO,3AEA0000A0,2EAANN1N5B,ALFA ROMEO JUNIOR,electric,126
ALFA ROMEO,3AEB0000A0,5EAANN2N5B,ALFA ROMEO JUNIOR,electric,7
ALFA ROMEO,3AGT312AA3,4EAANA115B,ALFA ROMEO JUNIOR,petrol,489
ALFA ROMEO,3AGT312AA3,4EAANF115B,ALFA ROMEO JUNIOR,petrol,250
ALFA ROMEO,3AGT312AA3,4EAANG115B,ALFA ROMEO JUNIOR,petrol,279
ALFA ROMEO,3AGT312AA3,4EAANM115B,ALFA ROMEO JUNIOR,petrol,209
ALFA ROMEO,3AGT312AA3,4FAANF115B,ALFA ROMEO JUNIOR,petrol,9
ALFA ROMEO,3AGT312AA3,4FAANG115B,ALFA ROMEO JUNIOR,petrol,224
ALFA ROMEO,3AGT312AA3,4FAANM115B,ALFA ROMEO JUNIOR,petrol,697
ALFA ROMEO,3AGT312AB3,4FAANF115B,ALFA ROMEO JUNIOR,petrol,33
ALFA ROMEO,ACA4,MDCA25CG,GIULIA,petrol,49
ALFA ROMEO,AUA4,MACA25CG,GIULIA,diesel,19
ALFA ROMEO,AWA2,MCCA25C,GIULIA,diesel,1
ALFA ROMEO,AWA2,MCCA25CG,GIULIA,diesel,5
ALFA ROMEO,AXA2,DHBA15LG,GIULIA QUADRIFOGLIO VERDE,petrol,4
ALFA ROMEO,AXA2,DHBA15LH,GIULIA QUADRIFOGLIO VERDE,petrol,7
ALFA ROMEO,AXA2A,MDCA1CG,STELVIO,petrol,71
ALFA ROMEO,AXA2A,MDCA2CG,STELVIO,petrol,17
ALFA ROMEO,AXS2A,DHBANLG,STELVIO QUADRIFOGLIO,petrol,1
ALFA ROMEO,AXS2A,DHBANLH,STELVIO QUADRIFOGLIO,petrol,4
ALFA ROMEO,AXT2A,MABA2C,STELVIO,diesel,3
ALFA ROMEO,AXT2A,MACA2C,STELVIO,diesel,3
ALFA ROMEO,AXT2A,MACA2CG,STELVIO,diesel,263
ALFA ROMEO,AXW1A,MCBA1C,STELVIO,diesel,2
ALFA ROMEO,AXW1A,MCCA1CG,STELVIO,diesel,10
ALPINE,ABE,J1BEA2B50000,A290,electric,257
ALPINE,ABE,J7BEA2B50000,A290,electric,114
ALPINE,DF2,AMD1WB21000E,A110,petrol,4
ALPINE,DF2,AMF1WB22000E,A110,petrol,1
ALPINE,DF2,AMF1WB220A0E,A110,petrol,13
ALPINE,DF2,AMF1WB220B0E,A110,petrol,9
ALPINE,DF2,BMF1WB230C0E,A110R,petrol,9
ALPINE,DF2,MDBUA2810001,A110,petrol,1
ALPINE,DF2,MFBUA2910001,A110,petrol,2
ALPINE,DF2,MFBUA2910A01,A110,petrol,3
ALPINE,DF2,MFBUA2910B01,A110,petrol,2
ALPINE,DF2,MFBUA2910C01,A110,petrol,1
ASTON MARTIN,A,011L2VAFI614.1,VANQUISH,petrol,2
ASTON MARTIN,A,013L2VAFI614.1,VANQUISH,petrol,3
ASTON MARTIN,A,015L2VAFI614.1,VANQUISH,petrol,1
ASTON MARTIN,A,017L2VAFI614.1,VANQUISH,petrol,1
ASTON MARTIN,A,059L4WAEM500.0,DB12,petrol,16
ASTON MARTIN,B,011L2WAEM489.0,VANTAGE ROADSTER,petrol,3
ASTON MARTIN,B,059L4WAEM500.0,DB12 VOLANTE,petrol,7
ASTON MARTIN,B,101L2C,VANTAGE S ROADSTER,petrol,1
ASTON MARTIN,C,011L2WAEM489.0,VANTAGE,petrol,16
ASTON MARTIN,G,012L5WAGL520.0,DBX707,petrol,5
ASTON MARTIN,G,016L5WAGL520.0,DBX707,petrol,23
ASTON MARTIN,G,101L5D,DBX S,petrol,1
AUDI,A2DECAQ1,QA8QA8D5021RS031E20S54WEAEM2LLB0,RS 4 AVANT,petrol,5
AUDI,A2DECCQ1,QA8QA8D5021RS041E20S54WEAEM1LLB0,RS 4 AVANT,petrol,3
AUDI,A2DMKCQ1,QA8QA8D5016RT131E19S54WEBEM1CLLD2,S4 AVANT,diesel,8
AUDI,A2DMSAF1,FD7FD7CK003RT011B18S54WEAEM1CLLB1,A4 AVANT,petrol,3
AUDI,A2DMSAF1,FD7FD7CK003RT031E19S54WEBEM1CLLB1,A4 AVANT,petrol,1
AUDI,A2DTNAF1,FD7FD7CK006RT011B18S54WEAEM1BLLD1,A4 AVANT,diesel,12
AUDI,A2DTNAF1,FD7FD7CK006RT011B18S54WEAEM1CLLD1,A4 AVANT,diesel,10
AUDI,A2DTNBF1,FD7FD7CK006RT011B18S54WEAEM1BLLD1,A4 AVANT,diesel,22
AUDI,A2DWVAQ1,QD7AD7F0002541C20S54VNBEM1H00FSB4A,S5 AVANT,petrol,28
AUDI,A2DWVAQ1,QD7AD7F0002541C20S54WHBEM1H00FSB4,S5 AVANT,petrol,36
AUDI,A2DWVAQ1,QD7AD7F0002541C20S54WHBEM1H00FSB40,S5 AVANT,petrol,16
AUDI,A2DWZAF1,FD7FD7CK002551A17S54VNAEM1H00FSB0A,A5 AVANT,petrol,2
AUDI,A2DWZAF1,FD7FD7CK002551A17S54WHAEM1H00FSB0,A5 AVANT,petrol,12
AUDI,A2DWZAF1,FD7FD7CK002551A17S54WHAEM1H00FSB00,A5 AVANT,petrol,3
AUDI,A2DWZAF1,FD7FD7CK002551A18S54VNAEM1H00FSB0A,A5 AVANT,petrol,1
AUDI,A2DWZAF1,FD7FD7CK002551A18S54WHAEM1H00FSB0,A5 AVANT,petrol,1
AUDI,A2DWZAF1,FD7FD7CK002551A18S54WHAEM1H00FSB00,A5 AVANT,petrol,1
AUDI,A2DWZAF1,FD7FD7CK002551A19S54VNAEM1H00FSB0A,A5 AVANT,petrol,3
AUDI,A2DWZAF1,FD7FD7CK002551A19S54WHAEM1H00FSB0,A5 AVANT,petrol,2
AUDI,A2DWZAF1,FD7FD7CK002551A19S54WHAEM1H00FSB00,A5 AVANT,petrol,2
AUDI,A2DWZAF1,FD7FD7CK002551B20S54WHBEM1H00FSB0,A5 AVANT,petrol,1
AUDI,A2DWZBF1,FD7FD7CK002551A18S54WHAEM1H00FSB0,A5 AVANT,petrol,2
AUDI,A2DWZBF1,FD7FD7CK002551A19S54WHAEM1H00FSB0,A5 AVANT,petrol,112
AUDI,A2DWZBF1,FD7FD7CK002551A19S54WHAEM1H00FSB00,A5 AVANT,petrol,36
AUDI,A2DWZBF1,FD7FD7CK002551B20S54WHAEM1H00FSB0,A5 AVANT,petrol,1
AUDI,A2DWZBF1,FD7FD7CK002551B20S54WHAEM1H00FSB00,A5 AVANT,petrol,1
AUDI,A2DWZBF1,FD7FD7CK002551B20S54WHBEM1H00FSB0,A5 AVANT,petrol,3
AUDI,A2DWZBF1,FD7FD7CK002551B20S54WHBEM1H00FSB00,A5 AVANT,petrol,1
AUDI,A2DWZBF1,FD7FD7CK002561A19S54WHAEM1H00FSB0,A5 AVANT,petrol,1
AUDI,A2DWZBF1,FD7FD7CK002561A19S54WHAEM1H00FSB00,A5 AVANT,petrol,1
AUDI,A2DWZBF1,FD7FD7CK002561B20S54VNBEM1H00FSB0A,A5 AVANT,petrol,1
AUDI,A2DWZBF1,FD7FD7CK002561B20S54WHBEM1H00FSB0,A5 AVANT,petrol,2
AUDI,A2DYVAQ1,QD7AD7DK001531A18S54VNAEM8H00FSB30,A5 AVANT 220KW TFSI E,petrol/electric,20
AUDI,A2DYVAQ1,QD7AD7DK001531A19S54VNAEM8H00FSB30,A5 AVANT 220KW TFSI E,petrol/electric,21
AUDI,A2DYVAQ1,QD7AD7DK001531A19S54VNBEM9H00FSB30,A5 AVANT 270KW TFSI E,petrol/electric,26
AUDI,A2DYVAQ1,QD7AD7DK001531B20S54VNBEM8H00FSB30,A5 AVANT 220KW TFSI E,petrol/electric,39
AUDI,A2DYVAQ1,QD7AD7DK001531B20S54VNBEM9H00FSB30,A5 AVANT 270KW TFSI E,petrol/electric,33
AUDI,A2DYVAQ1,QD7AD7DK001531C19S54VNBEM8H00FSB30,A5 AVANT 220KW TFSI E,petrol/electric,179
AUDI,A2DYYAF1,FD7FD7CK010511A17S54VNAEM1H00FSD4A,A5 AVANT,diesel,18
AUDI,A2DYYAF1,FD7FD7CK010511A17S54WEAEM1H00FSD4,A5 AVANT,diesel,25
AUDI,A2DYYAF1,FD7FD7CK010511A17S54WEAEM1H00FSD40,A5 AVANT,diesel,19
AUDI,A2DYYAF1,FD7FD7CK010511A18S54VNAEM1H00FSD4A,A5 AVANT,diesel,14
AUDI,A2DYYAF1,FD7FD7CK010511A18S54WEAEM1H00FSD4,A5 AVANT,diesel,37
AUDI,A2DYYAF1,FD7FD7CK010511A18S54WEAEM1H00FSD40,A5 AVANT,diesel,24
AUDI,A2DYYAF1,FD7FD7CK010511A19S54VNAEM1H00FSD4A,A5 AVANT,diesel,129
AUDI,A2DYYAF1,FD7FD7CK010511A19S54WEAEM1H00FSD4,A5 AVANT,diesel,375
AUDI,A2DYYAF1,FD7FD7CK010511A19S54WEAEM1H00FSD40,A5 AVANT,diesel,84
AUDI,A2DYYAF1,FD7FD7CK010511B20S54VNBEM1H00FSD4A,A5 AVANT,diesel,3
AUDI,A2DYYAF1,FD7FD7CK010511B20S54WEAEM1H00FSD4,A5 AVANT,diesel,8
AUDI,A2DYYAF1,FD7FD7CK010511B20S54WEAEM1H00FSD40,A5 AVANT,diesel,2
AUDI,A2DYYAF1,FD7FD7CK010511B20S54WEBEM1H00FSD4,A5 AVANT,diesel,8
AUDI,A2DYYAF1,FD7FD7CK010511B20S54WEBEM1H00FSD40,A5 AVANT,diesel,5
AUDI,A2DYYAQ1,QD7AD7CJ002521A17S54WEAEM1H00FSD4,A5 AVANT,diesel,5
AUDI,A2DYYAQ1,QD7AD7CJ002521A17S54WEAEM1H00FSD40,A5 AVANT,diesel,3
AUDI,A2DYYAQ1,QD7AD7CJ002521A18S54VNAEM1H00FSD4A,A5 AVANT,diesel,3
AUDI,A2DYYAQ1,QD7AD7CJ002521A18S54WEAEM1H00FSD4,A5 AVANT,diesel,4
AUDI,A2DYYAQ1,QD7AD7CJ002521A18S54WEAEM1H00FSD40,A5 AVANT,diesel,6
AUDI,A2DYYAQ1,QD7AD7CJ002521A19S54VNAEM1H00FSD4A,A5 AVANT,diesel,82
AUDI,A2DYYAQ1,QD7AD7CJ002521A19S54WEAEM1H00FSD4,A5 AVANT,diesel,139
AUDI,A2DYYAQ1,QD7AD7CJ002521A19S54WEAEM1H00FSD40,A5 AVANT,diesel,43
AUDI,A2DYYAQ1,QD7AD7CJ002521B20S54VNAEM1H00FSD4A,A5 AVANT,diesel,8
AUDI,A2DYYAQ1,QD7AD7CJ002521B20S54VNBEM1H00FSD4A,A5 AVANT,diesel,5
AUDI,A2DYYAQ1,QD7AD7CJ002521B20S54WEAEM1H00FSD4,A5 AVANT,diesel,7
AUDI,A2DYYAQ1,QD7AD7CJ002521B20S54WEAEM1H00FSD40,A5 AVANT,diesel,4
AUDI,A2DYYAQ1,QD7AD7CJ002521B20S54WEBEM1H00FSD4,A5 AVANT,diesel,21
AUDI,A2DYYAQ1,QD7AD7CJ002521B20S54WEBEM1H00FSD40,A5 AVANT,diesel,8
AUDI,A2DYYAQ1,QD7AD7CJ002521C20S54WEBEM1H00FSD4,A5 AVANT,diesel,1
AUDI,A3DYVAQ2,QD7AD7DK001321A18S54VNAEM8H00FSB30,A6 AVANT 220KW TFSI E,petrol/electric,1
AUDI,A3DYVAQ2,QD7AD7DK001321A19S54VNAEM8H00FLB30,A6 AVANT 220KW TFSI E,petrol/electric,1
AUDI,A3DYVAQ2,QD7AD7DK001321A19S54VNAEM8H00FSB30,A6 AVANT 220KW TFSI E,petrol/electric,9
AUDI,A3DYVAQ2,QD7AD7DK001321B20S54VNBEM8H00FLB30,A6 AVANT 220KW TFSI E,petrol/electric,4
AUDI,A3DYVAQ2,QD7AD7DK001321B20S54VNBEM8H00FSB30,A6 AVANT 220KW TFSI E,petrol/electric,13
AUDI,A3DYVAQ2,QD7AD7DK001321B21S54VNBEM8H00FLB30,A6 AVANT 220KW TFSI E,petrol/electric,4
AUDI,A3DYVAQ2,QD7AD7DK001321B21S54VNBEM8H00FSB30,A6 AVANT 220KW TFSI E,petrol/electric,17
AUDI,A3DYVAQ2,QD7AD7DK001331B20S54VNBEM9H00FLB30,A6 AVANT 270KW TFSI E,petrol/electric,3
AUDI,A3DYVAQ2,QD7AD7DK001331B20S54VNBEM9H00FSB30,A6 AVANT 270KW TFSI E,petrol/electric,4
AUDI,A3DYVAQ2,QD7AD7DK001331B21S54VNBEM9H00FLB30,A6 AVANT 270KW TFSI E,petrol/electric,18
AUDI,A3DYVAQ2,QD7AD7DK001331B21S54VNBEM9H00FSB30,A6 AVANT 270KW TFSI E,petrol/electric,15
AUDI,A3DYYAF1,FD7FD7CK010301A18S54VNAEM1H00FSD40,AUDI A6 AVANT,diesel,3
AUDI,A3DYYAF1,FD7FD7CK010301A18S54VNAEM1H00FSD4D,AUDI A6 AVANT,diesel,2
AUDI,A3DYYAF1,FD7FD7CK010301A19S54VNAEM1H00FSD40,AUDI A6 AVANT,diesel,3
AUDI,A3DYYAF1,FD7FD7CK010301A19S54VNAEM1H00FSD4D,AUDI A6 AVANT,diesel,5
AUDI,A3DYYAF1,FD7FD7CK010301B20S54VNAEM1H00FSD40,AUDI A6 AVANT,diesel,4
AUDI,A3DYYAF1,FD7FD7CK010301B20S54VNAEM1H00FSD4D,AUDI A6 AVANT,diesel,33
AUDI,A3DYYAF1,FD7FD7CK010301B20S54VNBEM1H00FSD40,AUDI A6 AVANT,diesel,4
AUDI,A3DYYAF1,FD7FD7CK010301B21S54VNBEM1H00FSD40,AUDI A6 AVANT,diesel,2
AUDI,A3DYYAF1,FD7FD7CK010301B21S54VNBEM1H00FSD4D,AUDI A6 AVANT,diesel,3
AUDI,A3DYYAQ1,QD7AD7CJ002311A18S54VNAEM1H00FSD40,AUDI A6 AVANT,diesel,2
AUDI,A3DYYAQ1,QD7AD7CJ002311A19S54VNAEM1H00FLD40,AUDI A6 AVANT,diesel,2
AUDI,A3DYYAQ1,QD7AD7CJ002311A19S54VNAEM1H00FSD40,AUDI A6 AVANT,diesel,8
AUDI,A3DYYAQ1,QD7AD7CJ002311B20S54VNAEM1H00FSD40,AUDI A6 AVANT,diesel,5
AUDI,A3DYYAQ1,QD7AD7CJ002311B20S54VNAEM1H00FSD4D,AUDI A6 AVANT,diesel,6
AUDI,A3DYYAQ1,QD7AD7CJ002311B20S54VNBEM1H00FLD40,AUDI A6 AVANT,diesel,1
AUDI,A3DYYAQ1,QD7AD7CJ002311B20S54VNBEM1H00FLD4D,AUDI A6 AVANT,diesel,1
AUDI,A3DYYAQ1,QD7AD7CJ002311B20S54VNBEM1H00FSD40,AUDI A6 AVANT,diesel,2
AUDI,A3DYYAQ1,QD7AD7CJ002311B21S54VNBEM1H00FLD4D,AUDI A6 AVANT,diesel,2
AUDI,A3DYYAQ1,QD7AD7CJ002311B21S54VNBEM1H00FSD40,AUDI A6 AVANT,diesel,7
AUDI,A3DYYAQ1,QD7AD7CJ002311B21S54VNBEM1H00FSD4A,AUDI A6 AVANT,diesel,58
AUDI,A3DYYAQ1,QD7AD7CJ002311B21S54VNBEM1H00FSD4D,AUDI A6 AVANT,diesel,3
AUDI,A3DYYAQ1,QD7AD7CJ002311C20S54VNBEM1H00FLD40,AUDI A6 AVANT,diesel,1
AUDI,A3DYYAQ1,QD7AD7CJ002311C20S54VNBEM1H00FSD40,AUDI A6 AVANT,diesel,2
AUDI,A3DYYAQ2,QD7AD7CJ002311A19S54VNAEM1H00FLD40,AUDI A6 AVANT,diesel,2
AUDI,A3DYYAQ2,QD7AD7CJ002311B20S54VNAEM1H00FSD40,AUDI A6 AVANT,diesel,1
AUDI,A3DYYAQ2,QD7AD7CJ002311B20S54VNAEM1H00FSD4D,AUDI A6 AVANT,diesel,1
AUDI,A3DYYAQ2,QD7AD7CJ002311B20S54VNBEM1H00FLD4D,AUDI A6 AVANT,diesel,1
AUDI,A3DYYAQ2,QD7AD7CJ002311B20S54VNBEM1H00FSD40,AUDI A6 AVANT,diesel,2
AUDI,A3DYYAQ2,QD7AD7CJ002311B20S54VNBEM1H00FSD4D,AUDI A6 AVANT,diesel,1
AUDI,A3DYYAQ2,QD7AD7CJ002311B21S54VNBEM1H00FLD40,AUDI A6 AVANT,diesel,1
AUDI,A3DYYAQ2,QD7AD7CJ002311B21S54VNBEM1H00FLD4A,AUDI A6 AVANT,diesel,1
AUDI,A3DYYAQ2,QD7AD7CJ002311B21S54VNBEM1H00FLD4D,AUDI A6 AVANT,diesel,2
AUDI,A3DYYAQ2,QD7AD7CJ002311B21S54VNBEM1H00FSD4D,AUDI A6 AVANT,diesel,3
AUDI,A3DYYAQ2,QD7AD7CJ002311C20S54VNBEM1H00FLD40,AUDI A6 AVANT,diesel,2
AUDI,A3DYYAQ2,QD7AD7CJ002311C20S54VNBEM1H00FLD4A,AUDI A6 AVANT,diesel,3
AUDI,ABD7PCH1,HE1HE1G1Z02RT011A200GAAEM0FSC,A6 AV E-TRON,electric,5
AUDI,ABD7PCH1,HE1HE1G1Z02RT011B210GAAEM0FLC,A6 AV E-TRON,electric,2
AUDI,ABD7PCH1,HE1HE1G1Z02RT011B210GAAEM0FSC,A6 AV E-TRON,electric,4
AUDI,ABM19AQ1,QE1QE1G1Z05RT011A200GAAEM0FSC,A6 AV E-TRON QUATTRO,electric,2
AUDI,ABM19AQ1,QE1QE1G1Z05RT011B210GAAEM0FLC,A6 AV E-TRON QUATTRO,electric,7
AUDI,ABM19AQ1,QE1QE1G1Z05RT011B210GAAEM0FSC,A6 AV E-TRON QUATTRO,electric,3
AUDI,ABM21AH1,HE1HE1G1Z02RT011A200GAAEM0FLC,A6 AV E-TRON PERFORMANCE,electric,1
AUDI,ABM21AH1,HE1HE1G1Z02RT011A200GAAEM0FSC,A6 AV E-TRON PERFORMANCE,electric,107
AUDI,ABM21AH1,HE1HE1G1Z02RT011B210GAAEM0FLC,A6 AV E-TRON PERFORMANCE,electric,9
AUDI,ABM21AH1,HE1HE1G1Z02RT011B210GAAEM0FSC,A6 AV E-TRON PERFORMANCE,electric,28
AUDI,ABMQ3BQ1,QE1QE1G1Z05RT021B210GAAEM0FLC,S6 AV E-TRON,electric,4
AUDI,ADMGHQ1,QD7AD7HL001031B18S54WEAEM1H55FSD2,A6 AVANT,diesel,1
AUDI,ADMGHQ1,QD7AD7HL001031C20S54WEBEM1H55FSD2,A6 AVANT,diesel,71
AUDI,ADMGHQ1,QD7AD7HL001031C20S54WEBEM1H66FSD2,A6 AVANT,diesel,2
AUDI,ADMGHQ1,QD7AD7HL001031C21S54WEBEM1H55FSD2,A6 AVANT,diesel,1
AUDI,ADMGHQ1,QD7AD7HL001031C21S54WEBEM1H66FSD2,A6 AVANT,diesel,7
AUDI,ADMKDQ1,QA8QA8D5024051C21S54WEAEM1H66FSD2,S6 AVANT,diesel,1
AUDI,ADMKDQ1,QA8QA8D5024051C21S54WEBEM1H66FLD2,S6 AVANT,diesel,8
AUDI,ADMKDQ2,QA8QA8D5024051C20S54WEBEM1H66FLD2,S6 AVANT,diesel,1
AUDI,ADMKDQ2,QA8QA8D5024051C21S54WEBEM1H66FLD2,S6 AVANT,diesel,2
AUDI,ADMTAQ1,QD7AD7CJ004031B19S54WEAEM1H44FSB1,A6 AVANT,petrol,1
AUDI,ADMTAQ1,QD7AD7CJ004031C20S54WEAEM1H44FSB1,A6 AVANT,petrol,1
AUDI,ADMTAQ1,QD7AD7CJ004031C20S54WEBEM1H56FSB1,A6 AVANT,petrol,2
AUDI,ADRYAQ1,QD7AD7DK001091B19S54WEBEM8H66FSB3,A6 AVANT 50 TFSI E,petrol/electric,3
AUDI,ADRYAQ1,QD7AD7DK001091B20S54WECEM8H66FSB3,A6 AVANT 50 TFSI E,petrol/electric,5
AUDI,ADRYAQ1,QD7AD7DK001091C21S54WECEM8H66FSB3,A6 AVANT 50 TFSI E,petrol/electric,2
AUDI,ADRYAQ1,QD7AD7DK001101B20S54WECEM9H66FSB3,A6 AVANT 55 TFSI E,petrol/electric,2
AUDI,ADRYAQ1,QD7AD7DK001101C21S54WECEM9H66FSB3,A6 AVANT 55 TFSI E,petrol/electric,2
AUDI,ADTPAF1,FD7FD7CK001031B18S54WEAEM1H46FSD1,A6 AVANT,diesel,6
AUDI,ADTPAF1,FD7FD7CK001031B19S54WEAEM1H46FSD1,A6 AVANT,diesel,4
AUDI,ADTPAF1,FD7FD7CK001031C20S54WEBEM1H46FSD1,A6 AVANT,diesel,9
AUDI,ADTPAF1,FD7FD7CK001031C21S54WEBEM1H46FSD1,A6 AVANT,diesel,4
AUDI,ADTPAQ1,QD7AD7CJ003031B18S54WEAEM1H56FSD1,A6 AVANT,diesel,1
AUDI,ADTPAQ1,QD7AD7CJ003031B19S54WEAEM1H44FSD1,A6 AVANT,diesel,1
AUDI,ADTPAQ1,QD7AD7CJ003031B19S54WEBEM1H56FSD1,A6 AVANT,diesel,2
AUDI,ADTPAQ1,QD7AD7CJ003031C20S54WEBEM1H56FSD1,A6 AVANT,diesel,4
AUDI,ADTPAQ1,QD7AD7CJ003031C21S54WEBEM1H56FSD1,A6 AVANT,diesel,3
AUDI,ADYGAQ2,QA8QA8D6012051C22S54WEAEM1H77FLB2,RS 6 AVANT,petrol,7
AUDI,ADYGAQ2,QA8QA8D6012051C22S54WEBEM1H77FSB2,RS 6 AVANT,petrol,1
AUDI,ADYGAQ2,QA8QA8D6012051E22S54WEBEM1H77FLB2,RS 6 AVANT,petrol,11
AUDI,ADYGAQ2,QA8QA8D6012051E22S54WEBEM1H77FSB2,RS 6 AVANT,petrol,5
AUDI,ADYGAQ2,QA8QA8D6012061C22S54WEAEM1H77FLB2,RS 6 AVANT,petrol,3
AUDI,ADYGAQ2,QA8QA8D6012061C22S54WEAEM1H77FSB2,RS 6 AVANT,petrol,12
AUDI,ADYGAQ2,QA8QA8D6012061E22S54WEBEM1H77FLB2,RS 6 AVANT,petrol,2
AUDI,ADYGAQ2,QA8QA8D6012061E22S54WEBEM1H77FSB2,RS 6 AVANT,petrol,17
AUDI,ADYGAQ2,QA8QA8D6012091C22S54WEAEM2H77FSB2,RS 6 GT AVANT,petrol,7
AUDI,ADYGBQ1,QA8QA8D6012011E22S54WEBEM1H77FLB2,RS 6 AVANT,petrol,3
AUDI,ADYGBQ2,QA8QA8D6012021C21S54WEBEM1H77FLB2,RS 6 AVANT,petrol,3
AUDI,ADYGBQ2,QA8QA8D6012021E22S54WEBEM1H77FLB2,RS 6 AVANT,petrol,1
AUDI,C2DTPAF1,FD7FD7CK006RT171E19S44WEAEM10LLD1,A5 COUPE,diesel,1
AUDI,CDMWAQ1,QD7AD7BZ003RT31E204BIAEM1B0,R8 COUPE,petrol,2
AUDI,GCZSEQ2,QA8QA8DY001R101A20S44WEAEM9B3,A8,petrol/electric,2
AUDI,GCZSEQ2,QA8QA8DY001R101B19S54WEAEM9B3,A8,petrol/electric,1
AUDI,GCZSEQ2,QA8QA8DY001RT31C21S44WEBEM9B3,A8,petrol/electric,1
AUDI,GDMGKQ1,QA8QA8D5030RT11C19S54WEAEM1D2,A8,diesel,2
AUDI,H2DTPAQ1,QD7AD7CJ003RT151E19S54WEBEM1CLLD1,A4 ALLROAD QUATTRO,diesel,1
AUDI,HDLZAQ1,QD7AD7HL001011B19S54WEAEM1H66FLB2,A6 ALLROAD QUATTRO,petrol,2
AUDI,HDMGAQ1,QA8QA8D5023011B19S54WEBEM1H66FLD2,A6 ALLROAD QUATTRO,diesel,2
AUDI,HDMGAQ1,QA8QA8D5023011C20S54WEBEM1H66FLD2,A6 ALLROAD QUATTRO,diesel,2
AUDI,HDMGAQ1,QA8QA8D5023011C21S54WEBEM1H66FLD2,A6 ALLROAD QUATTRO,diesel,1
AUDI,HDMGHQ1,QD7AD7HL001011B19S54WEAEM1H66FLD2,A6 ALLROAD QUATTRO,diesel,1
AUDI,HDMGHQ1,QD7AD7HL001011B19S54WEBEM1H66FLD2,A6 ALLROAD QUATTRO,diesel,6
AUDI,HDMGHQ1,QD7AD7HL001011C20S54WEBEM1H66FLD2,A6 ALLROAD QUATTRO,diesel,2
AUDI,HDMGHQ1,QD7AD7HL001011C21S54WEBEM1H66FLD2,A6 ALLROAD QUATTRO,diesel,1
AUDI,HDNNEQ1,QD7AD7GC003RT221C194VNAEM1MLH1B0C0,A3 ALLSTREET,petrol,3
AUDI,HDTPAQ1,QD7AD7CJ003011B19S54WEBEM1H66FLD1,A6 ALLROAD QUATTRO,diesel,7
AUDI,HDUCBF1,FD6FD6DD001RT211A174VNBEM8MLH1B300,A3 ALLSTREET PHEV 150,petrol/electric,1
AUDI,HDUCBF1,FD6FD6DD001RT211A174WEBEM8MLH1B300,A3 ALLSTREET PHEV 150,petrol/electric,95
AUDI,HDUCBF1,FD6FD6DD001RT211B184VNBEM8MLH1B300,A3 ALLSTREET PHEV 150,petrol/electric,5
AUDI,HDUCBF1,FD6FD6DD001RT211B184WEBEM8MLH1B300,A3 ALLSTREET PHEV 150,petrol/electric,420
AUDI,HDUCBF1,FD6FD6DD001RT214VNBEM8MLH1B300,A3 ALLSTREET PHEV 150,petrol/electric,6
AUDI,HDUSAF1,FD7FD7CW009RT81B164VNAEM10B0,A1 ALLSTREET,petrol,8
AUDI,HDUSAF1,FD7FD7CW009RT81B164VNAEM1AB0,A1 ALLSTREET,petrol,4
AUDI,HDUSAF1,FD7FD7CW009RT81B164WEAEM10B0,A1 ALLSTREET,petrol,2
AUDI,HDUSAF1,FD7FD7CW009RT81B174VNAEM1AB0,A1 ALLSTREET,petrol,326
AUDI,HDUSAF1,FD7FD7CW009RT81B174WEAEM10B0,A1 ALLSTREET,petrol,52
AUDI,HDUSAF1,FD7FD7CW009RT81C184VNAEM1AB0,A1 ALLSTREET,petrol,12
AUDI,HDUSAF1,FD7FD7CW009RT81C184WEAEM10B0,A1 ALLSTREET,petrol,2
AUDI,HDUSAF1,FM6FM6AJ028RT81B164VNAEM10B0,A1 ALLSTREET,petrol,68
