dealer_name,point_of_sale,postcode,city,latitude,longitude,source_url
PALAUSA,PALAUSA (VALLADOLID),47012,Valladolid,41.60173,-4.700502,https://www.volvocars.com/es/dealers/concesionarios-talleres/
AUTOMÓVILES JOSÉ DE DIOS,AUTOMÓVILES JOSÉ DE DIOS (ZAMORA/Avda. Galicia),49024,Zamora (Ctra. Villacastín),41.52101,-5.755419,https://www.volvocars.com/es/dealers/concesionarios-talleres/
MOTORCAT PREMIUM,MOTORCAT PREMIUM (GURB),08503,Gurb (Barcelona),41.944841,2.243734,https://www.volvocars.com/es/dealers/concesionarios-talleres/
TURISMES GIRONA,TURISMES GIRONA (GIRONA),17005,Girona,41.95939,2.805987,https://www.volvocars.com/es/dealers/concesionarios-talleres/
LLEMOSA,LLEMOSA (HUESCA),22004,Huesca,42.1309,-0.415531,https://www.volvocars.com/es/dealers/concesionarios-talleres/
PALAUSA,PALAUSA (PALENCIA),34003,Palencia,41.99816,-4.50751,https://www.volvocars.com/es/dealers/concesionarios-talleres/
TURISMES GIRONA,TURISMES GIRONA (FIGUERES),17600,Figueres (Girona),42.26638,2.974634,https://www.volvocars.com/es/dealers/concesionarios-talleres/
AUTO OLSAN,AUTO OLSAN (BURGOS),09001,Burgos,42.303311,-3.703938,https://www.volvocars.com/es/dealers/concesionarios-talleres/
AUTO AGRISA,AUTO AGRISA (LOGROÑO),26006,Logroño (La Rioja),42.47224,-2.410919,https://www.volvocars.com/es/dealers/concesionarios-talleres/
NAVARSUECIA AUTOMOVILES,NAVARSUECIA AUTOMOVILES (NOAÍN/NAVARRA),31110,Noaín (Navarra),42.77017,-1.630829,https://www.volvocars.com/es/dealers/concesionarios-talleres/
VENDEL CARS,VENDEL CARS (LEÓN),24191,León,42.59038,-5.613451,https://www.volvocars.com/es/dealers/concesionarios-talleres/
AUTO E. ARREGUI,AUTO E. ARREGUI (VITORIA/Portal Betoño),01013,Vitoria (Portal Betoño) (Álava),42.85973,-2.660107,https://www.volvocars.com/es/dealers/concesionarios-talleres/
BALPER,BALPER (VIGO),36213,Vigo (Pontevedra),42.19902,-8.761596,https://www.volvocars.com/es/dealers/concesionarios-talleres/
BALPER,BALPER (OURENSE),32001,Ourense,42.35535,-7.905231,https://www.volvocars.com/es/dealers/concesionarios-talleres/
AUTO SUECIA,AUTO SUECIA (HERNANI),20120,Hernani (Guipúzcoa),43.27718,-1.989397,https://www.volvocars.com/es/dealers/concesionarios-talleres/
CARWAGEN,CARWAGEN (ERANDIO),48950,Erandio (Vizcaya),43.29201,-2.96059,https://www.volvocars.com/es/dealers/concesionarios-talleres/
BALPER,BALPER (LUGO),27003,Lugo,43.04129,-7.571747,https://www.volvocars.com/es/dealers/concesionarios-talleres/
SELECTIVE MOTOR,SELECTIVE MOTOR (SANTANDER),39011,Santander (Cantabria),43.44938,-3.830999,https://www.volvocars.com/es/dealers/concesionarios-talleres/
MERENAUTO,MERENAUTO (SANTIAGO DE COMPOSTELA),15890,S. Compostela,42.91033,-8.516426,https://www.volvocars.com/es/dealers/concesionarios-talleres/
AUTO SALÓN IMPORTACIONES,AUTO SALÓN IMPORTACIONES (OVIEDO),33010,Oviedo (Asturias),43.37055,-5.817622,https://www.volvocars.com/es/dealers/concesionarios-talleres/
AUTO SALÓN IMPORTACIONES,AUTO SALÓN IMPORTACIONES (GIJÓN),33211,Gijón (Asturias),43.51052,-5.688581,https://www.volvocars.com/es/dealers/concesionarios-talleres/
MERENAUTO,MERENAUTO (A CORUÑA),15172,A Coruña,43.32946,-8.367438,https://www.volvocars.com/es/dealers/concesionarios-talleres/
