dealer_name,point_of_sale,postcode,city,latitude,longitude,source_url
BYD Pineda del Mar,BYD Pineda del Mar,08397,Pineda de Mar,41.623916,2.674255,https://www.byd.com/es-es/find-store
BYD Avilés,BYD Avilés,33490,Avilés,43.558976,-5.910093,https://www.byd.com/es-es/find-store
BYD Vitoria,BYD Vitoria,01013,Vitoria,42.865376446246366,-2.658616148614996,https://www.byd.com/es-es/find-store
BYD Carabanchel,BYD Carabanchel,28019,Madrid,40.3910360441716,-3.7325126469205103,https://www.byd.com/es-es/find-store
BYD Huelva,BYD Huelva,21007,Huelva,37.276033,-6.905235,https://www.byd.com/es-es/find-store
BYD Vilanova,BYD Vilanova,08800,Vilanova i la Geltrú,41.23104105,1.73984063,https://www.byd.com/es-es/find-store
BYD Albacete,BYD Albacete,02007,Albacete,39.013228,-1.874207,https://www.byd.com/es-es/find-store
BYD Valdepeñas,BYD Valdepeñas,13300,Valdepeñas,38.783854,-3.391754,https://www.byd.com/es-es/find-store
BYD Úbeda,BYD Úbeda,23400,Úbeda,38.02797349,-3.36832176,https://www.byd.com/es-es/find-store
BYD Motril,BYD Motril,18600,Motril,36.732425,-3.507855,https://www.byd.com/es-es/find-store
BYD Marbella,BYD Marbella,29603,Marbella,36.5088768038409,-4.867153046862903,https://www.byd.com/es-es/find-store
BYD Majadahonda,BYD Majadahonda,28222,Majadahonda,40.455762,-3.87305,https://www.byd.com/es-es/find-store
BYD Jerez de la Frontera,BYD Jerez de la Frontera,11407,Jerez de la Frontera,36.70920259559533,-6.125279449856841,https://www.byd.com/es-es/find-store
BYD Málaga II,BYD Málaga II,29006,Málaga,36.707919,-4.478019,https://www.byd.com/es-es/find-store
BYD Talavera,BYD Talavera,45600,Talavera de la Reina,39.959104944302105,-4.8472240477257085,https://www.byd.com/es-es/find-store
BYD Málaga,BYD Málaga,29004,Málaga,36.66802048641881,-4.477594377818156,https://www.byd.com/es-es/find-store
