anyo,mes,marca,canal,count
2023,01,3 CARROCEROS,Corporate,7
2023,01,3 CARROCEROS,Private,1
2023,01,3 CARROCEROS,RAC,7
2023,01,ACURA,Corporate,2
2023,01,ADRIA,Private,22
2023,01,ADRIA,RAC,1
2023,01,AGUINAGA,Corporate,2
2023,01,AIWAYS,Corporate,1
2023,01,AIWAYS,Private,2
2023,01,ALFA ROMEO,Corporate,141
2023,01,ALFA ROMEO,Private,23
2023,01,ALFA ROMEO,RAC,2
2023,01,ALLIED VEHICLES LTD,Private,1
2023,01,ALMANSA,Corporate,1
2023,01,ALPINE,Corporate,2
2023,01,ALPINE,Private,3
2023,01,"ALQUIBER QUALITY, S.A.",Corporate,8
2023,01,"ALQUIBER QUALITY, S.A.",RAC,31
2023,01,AMELINE,Corporate,1
2023,01,ANTONIO JURADO GONZALEZ,Corporate,2
2023,01,ARES,Corporate,7
2023,01,ARGO,Private,1
2023,01,ASTON MARTIN,Private,2
2023,01,AUDI,Corporate,1290
2023,01,AUDI,Private,806
2023,01,AUDI,RAC,369
2023,01,AUTOMOBILI LAMBORGHINI S.P.A.,Corporate,3
2023,01,AUTOMOBILI LAMBORGHINI S.P.A.,RAC,4
2023,01,BAHIA V.I.,Corporate,2
2023,01,BALEAR DE CARROSSERIES,Corporate,2
2023,01,BALLESTAS GANDIA,Corporate,2
2023,01,BARBANY,Corporate,8
2023,01,BARBANY,Private,2
2023,01,BARBANY,RAC,4
2023,01,BAYCAR,Corporate,1
2023,01,BENIMAR,Corporate,2
2023,01,BENIMAR,Private,24
2023,01,BENIMAR,RAC,12
2023,01,BENTLEY,Corporate,1
2023,01,BENTLEY,Private,2
2023,01,BERGADANA,Corporate,2
2023,01,BERGADANA,Private,3
2023,01,BERGADANA,RAC,1
2023,01,BEULAS,Corporate,1
2023,01,BMW,Corporate,1452
2023,01,BMW,Private,593
2023,01,BMW,RAC,27
2023,01,BOMBARDIER,Private,3
2023,01,BRETCHA,RAC,3
2023,01,BRP,Corporate,5
2023,01,BRP,Private,9
2023,01,BRP,RAC,15
2023,01,BULLFUEGO,Corporate,3
2023,01,BUNKERVAN,Private,1
2023,01,BURSTNER GMBH,Private,1
2023,01,CAETANO,Corporate,1
2023,01,CAFRISE,Corporate,3
2023,01,CAJISA,Corporate,4
2023,01,CALLAU,Corporate,2
2023,01,CAPRON,Private,1
2023,01,CAPRON,RAC,2
2023,01,CAPRON GMBH,Corporate,1
2023,01,CAPRON GMBH,Private,1
2023,01,CAPRON GMBH,RAC,1
2023,01,CAR-BUS.NET,Corporate,1
2023,01,CARROCER.FRIGOR.SEVILLA,Corporate,1
2023,01,CARROCERA CASTROSUA SA,Corporate,6
2023,01,CARROCERIAS ALAMOS,RAC,1
2023,01,CARROCERIAS CITY,Private,1
2023,01,CARROCERIAS CONRADO,Corporate,1
2023,01,CARROCERIAS CONRADO,Private,1
2023,01,CARROCERIAS CREVILLENTE,RAC,1
2023,01,CARROCERIAS DAFER,Corporate,1
2023,01,CARROCERIAS EL GALLO,Corporate,4
2023,01,CARROCERIAS JANKAR,Corporate,1
2023,01,CARROCERIAS MINDA,Corporate,12
2023,01,CARROCERIAS OURENSE,Corporate,1
2023,01,CARROCERIAS SALAMANCA,Corporate,1
2023,01,CARROCERIAS SANCA,Corporate,4
2023,01,CARROCERIAS SANCA,Private,2
2023,01,CARROCERIAS SANCA SA,Corporate,4
2023,01,CARROCERIAS SANCA SA,Private,1
2023,01,CARROCERIAS SANCA SA,RAC,1
2023,01,CARROCERIAS SEVILLA,Corporate,22
2023,01,CARROCERIAS VILLFER,Corporate,1
2023,01,CARROCEROS DE BURGOS,Corporate,1
2023,01,CARROSSERIES TOLOSA,Corporate,2
2023,01,CARROZADOS TECAI,Corporate,8
2023,01,CARROZADOS TECAI,Private,1
2023,01,CAYVOL,Corporate,44
2023,01,CELA,Corporate,1
2023,01,CENNTRO,Corporate,1
2023,01,CENNTRO,Private,1
2023,01,CENNTRO,RAC,3
2023,01,CERRAJERIA AURELIO,Private,1
2023,01,CFMOTO,Corporate,8
2023,01,CFMOTO,Private,17
2023,01,CHALLENGER,Corporate,1
2023,01,CHALLENGER,Private,8
2023,01,CHALLENGER,RAC,3
2023,01,CHEVROLET,Corporate,3
2023,01,CHRYSLER,Corporate,1
2023,01,CI,RAC,3
2023,01,CITROEN,Corporate,2127
2023,01,CITROEN,Private,1489
2023,01,CITROEN,RAC,936
2023,01,COCAR,Corporate,1
2023,01,COCAR,RAC,1
2023,01,CODETRANS,Corporate,5
2023,01,CODETRANS,Private,1
2023,01,COINPOL,Corporate,4
2023,01,COINPOL,Private,1
2023,01,COMPOSITES REFORZADOS,Corporate,9
2023,01,COMPOSITES REFORZADOS,RAC,7
2023,01,CONGRUAL,Corporate,2
2023,01,CONSA,Corporate,3
2023,01,COOLGADES,Corporate,4
2023,01,CORVUS,Corporate,7
2023,01,COVALCA,Corporate,2
2023,01,COVALCA,RAC,5
2023,01,CUPRA,Corporate,734
2023,01,CUPRA,Private,430
2023,01,CUPRA,RAC,18
2023,01,DACIA,Corporate,841
2023,01,DACIA,Private,3409
2023,01,DACIA,RAC,16
2023,01,DETHLEFFS,Corporate,3
2023,01,DETHLEFFS,Private,2
2023,01,DETHLEFFS CARAVANS,RAC,1
2023,01,DFSK,Corporate,58
2023,01,DFSK,Private,9
2023,01,DFSK,RAC,1
2023,01,DIGAL,Corporate,1
2023,01,DR,Private,2
2023,01,DR,RAC,348
2023,01,DREAMER,Private,3
2023,01,DS,Corporate,352
2023,01,DS,Private,53
2023,01,DS,RAC,87
2023,01,E-TUK FACTORY,Corporate,3
2023,01,E-TUK FACTORY,RAC,1
2023,01,ELNAGH,Corporate,1
2023,01,ELNAGH,RAC,4
2023,01,ENAIRE,RAC,1
2023,01,EQUIPFRED,Corporate,5
2023,01,EQUIPFRED,Private,1
2023,01,ERJOMA,Corporate,1
2023,01,ERKE,Corporate,87
2023,01,ERKE,Private,1
2023,01,ETRUSCO,Private,1
2023,01,ETRUSCO,RAC,2
2023,01,ETXEBERRIA,Corporate,1
2023,01,EUROCARROCERA,Corporate,18
2023,01,EUROGAZA,Private,16
2023,01,EUROGAZA,RAC,14
2023,01,FARID INDUSTRIE,Corporate,2
2023,01,FERQUI,Corporate,3
2023,01,FERRARI,Corporate,4
2023,01,FERRARI,Private,4
2023,01,FIAT,Corporate,1945
2023,01,FIAT,Private,306
2023,01,FIAT,RAC,447
2023,01,FOIMA,Corporate,4
2023,01,FORD,Corporate,1901
2023,01,FORD,Private,1433
2023,01,FORD,RAC,419
2023,01,FORD-CNG-TECHNIK,Corporate,1
2023,01,FRANCAL,Corporate,1
2023,01,FURCAR,Corporate,5
2023,01,FUSO,Corporate,4
2023,01,FUSO,Private,1
2023,01,FUSO,RAC,3
2023,01,GEYCODIESEL,RAC,3
2023,01,GIOTTILINE,Corporate,1
2023,01,GIOTTILINE,Private,11
2023,01,GIOTTILINE,RAC,7
2023,01,GIOTTLINE,Private,2
2023,01,GIOTTLINE,RAC,1
2023,01,GOMEZ,Corporate,6
2023,01,GORBEA,Corporate,2
2023,01,GOUPIL,Corporate,5
2023,01,GOUPIL,RAC,5
2023,01,GRAU,Corporate,10
2023,01,GRAU,RAC,1
2023,01,GRUIVOL,Corporate,2
2023,01,HALCON,Corporate,3
2023,01,HARLEY-DAVIDSON,Private,3
2023,01,HERCOV,Corporate,3
2023,01,HERCOV,Private,1
2023,01,HERMANOS GARRID MARTOS,Corporate,1
2023,01,HONDA,Corporate,26
2023,01,HONDA,Private,225
2023,01,HYMER,Corporate,1
2023,01,HYMER,Private,4
2023,01,HYMER,RAC,1
2023,01,HYUNDAI,Corporate,776
2023,01,HYUNDAI,Private,2645
2023,01,HYUNDAI,RAC,45
2023,01,IBERICA DE ISOTERMIZ,Corporate,2
2023,01,IGLUVAN,Corporate,8
2023,01,IGLUVAN,Private,1
2023,01,IGLUVAN,RAC,1
2023,01,ILUSION,Private,5
2023,01,ILUSION,RAC,1
2023,01,INCASE,Private,1
2023,01,INDCAR,Corporate,8
2023,01,INDUSAUTO,Corporate,3
2023,01,INFINITI,Corporate,1
2023,01,IRIZAR,Corporate,8
2023,01,IRIZAR E-MOBILITY,Corporate,9
2023,01,ISUZU,Corporate,40
2023,01,ISUZU,Private,4
2023,01,ISUZU,RAC,2
2023,01,ITINEO,Private,3
2023,01,ITINEO,RAC,1
2023,01,IVECO,Corporate,267
2023,01,IVECO,Private,29
2023,01,IVECO,RAC,138
2023,01,IVECO BUS,Corporate,13
2023,01,JAGUAR,Corporate,35
2023,01,JAGUAR,Private,19
2023,01,JAGUAR,RAC,5
2023,01,JEANJE,Corporate,2
2023,01,JEANJE,RAC,2
2023,01,JEEP,Corporate,467
2023,01,JEEP,Private,91
2023,01,JEEP,RAC,92
2023,01,JIMENEZ,RAC,1
2023,01,JUAN SUAREZ,Corporate,2
2023,01,KARMA,Corporate,1
2023,01,KIA,Corporate,1018
2023,01,KIA,Private,3643
2023,01,KIA,RAC,34
2023,01,KING LONG,Corporate,3
2023,01,KIOTI,Corporate,2
2023,01,KNAUS,Private,14
2023,01,KUBOTA,Corporate,1
2023,01,LA PLANA,Corporate,3
2023,01,LA RUEDA,Corporate,1
2023,01,LAIKA CARAVANS SPA,Private,3
2023,01,LAMBERET,Corporate,1
2023,01,LAMBORGHINI,Private,1
2023,01,LAND ROVER,Corporate,212
2023,01,LAND ROVER,Private,62
2023,01,LAND ROVER,RAC,22
2023,01,LEVC,Corporate,1
2023,01,LEXUS,Corporate,287
2023,01,LEXUS,Private,313
2023,01,LEXUS,RAC,1
2023,01,LIDERKIT,Corporate,2
2023,01,LIGIER,Corporate,5
2023,01,LIGIER,Private,47
2023,01,LYNK & CO,Corporate,2
2023,01,LYNK & CO,Private,5
2023,01,LYNK & CO,RAC,262
2023,01,MAD CARROCEROS,Corporate,2
2023,01,MAN,Corporate,54
2023,01,MAN,Private,16
2023,01,MAN,RAC,10
2023,01,MANUEL ZUÑIGA MARTINEZ,Corporate,1
2023,01,MAR,Corporate,1
2023,01,MASERATI,Corporate,37
2023,01,MASERATI,Private,17
2023,01,MATURANA,Private,1
2023,01,MAXUS,Corporate,22
2023,01,MAXUS,Private,2
2023,01,MAXUS,RAC,17
2023,01,MAZDA,Corporate,224
2023,01,MAZDA,Private,816
2023,01,MAZDA,RAC,16
2023,01,MC LOUIS,Corporate,1
2023,01,MC LOUIS,Private,3
2023,01,MC LOUIS,RAC,8
2023,01,MCLAREN,Corporate,1
2023,01,MCLOUIS,Corporate,1
2023,01,MCLOUIS,Private,5
2023,01,MCLOUIS,RAC,4
2023,01,MEBAUTO,Corporate,7
2023,01,MEBAUTO,Private,1
2023,01,MEBAUTO,RAC,5
2023,01,MERCEDES,Private,1
2023,01,MERCEDES-AMG,Corporate,5
2023,01,MERCEDES-AMG,Private,3
2023,01,MERCEDES-AMG,RAC,1
2023,01,MERCEDES-BENZ,Corporate,2242
2023,01,MERCEDES-BENZ,Private,817
2023,01,MERCEDES-BENZ,RAC,249
2023,01,MERCEDES-V,Corporate,116
2023,01,MERCEDES-V,Private,32
2023,01,MERCEDES-V,RAC,20
2023,01,MG,Corporate,156
2023,01,MG,Private,697
2023,01,MG,RAC,10
2023,01,MICROCAR,Corporate,1
2023,01,MICROCAR,Private,25
2023,01,MINI,Corporate,219
2023,01,MINI,Private,267
2023,01,MITSUBISHI,Corporate,70
2023,01,MITSUBISHI,Private,85
2023,01,MITSUBISHI FUSO,Corporate,3
2023,01,MOBILVETTA DESIGN,Private,1
2023,01,MOBILVETTA DESIGN,RAC,1
2023,01,MONCAR EUROPA,Corporate,2
2023,01,MONZA,Corporate,2
2023,01,MORGAN,Private,1
2023,01,MOVEX,Corporate,11
2023,01,MOVEX,RAC,1
2023,01,MULTITEL,RAC,4
2023,01,NEXTEM,Corporate,1
2023,01,NEXTEM,RAC,1
2023,01,NISSAN,Corporate,951
2023,01,NISSAN,Private,702
2023,01,NISSAN,RAC,96
2023,01,NOROESTE,Corporate,4
2023,01,OIL&STEEL,Corporate,1
2023,01,OLIAT,Corporate,1
2023,01,OLIAT,Private,1
2023,01,OPEL,Corporate,1393
2023,01,OPEL,Private,757
2023,01,OPEL,RAC,324
2023,01,OTOKAR,Corporate,4
2023,01,OTOKAR,RAC,5
2023,01,PALFINGER,Corporate,1
2023,01,PALFINGER,RAC,6
2023,01,PERIANES,Corporate,1
2023,01,PEUGEOT,Corporate,2853
2023,01,PEUGEOT,Private,1665
2023,01,PEUGEOT,RAC,827
2023,01,PEÑA,Private,1
2023,01,PIAGGIO,Corporate,6
2023,01,PIAGGIO,Private,1
2023,01,PIAGGIO,RAC,5
2023,01,PILOTCAR,Private,2
2023,01,PILOTE,Private,10
2023,01,PIRINEUS,Corporate,1
2023,01,POESSL,Private,2
2023,01,POLARIS,Corporate,6
2023,01,POLARIS,Private,5
2023,01,POLARIS,RAC,1
2023,01,POLESTAR,Corporate,11
2023,01,POLESTAR,Private,14
2023,01,PONIENTE,Corporate,1
2023,01,PORSCHE,Corporate,159
2023,01,PORSCHE,Private,109
2023,01,PORSCHE,RAC,7
2023,01,POSSL,Private,3
2023,01,PROTEC FIRE,Corporate,11
2023,01,PUJOL,Corporate,3
2023,01,QUADDY,Private,1
2023,01,RANDGER,Private,7
2023,01,RAPIDO,Private,2
2023,01,RECAPOL,Corporate,1
2023,01,RECAPOL,Private,2
2023,01,RECAPOL,RAC,3
2023,01,REGA,Private,1
2023,01,REHATRANS,Corporate,1
2023,01,REHATRANS,RAC,1
2023,01,RENAULT,Corporate,2438
2023,01,RENAULT,Private,2347
2023,01,RENAULT,RAC,101
2023,01,RIMOR,RAC,1
2023,01,RODRIGUEZ LOPEZ AUTO,Corporate,2
2023,01,RODRIGUEZ LOPEZ AUTO,Private,25
2023,01,ROLLER TEAM,Private,4
2023,01,ROLLER TEAM,RAC,2
2023,01,ROMERO,Corporate,2
2023,01,ROMU,Corporate,4
2023,01,ROMU,Private,4
2023,01,ROMU,RAC,7
2023,01,ROS-ROCA,Corporate,2
2023,01,ROTOMAR,Corporate,1
2023,01,ROTOMAR,Private,1
2023,01,S.M.,Corporate,1
2023,01,SARTRUCK,RAC,4
2023,01,SCANIA,Corporate,1
2023,01,SCORA,Corporate,1
2023,01,SD SERVICES,Corporate,1
2023,01,SEAT,Corporate,1606
2023,01,SEAT,Private,2253
2023,01,SEAT,RAC,596
2023,01,SEGWAY,Corporate,1
2023,01,SEGWAY,Private,3
2023,01,SEMICARFRAN SL,Corporate,6
2023,01,SEMICARFRAN SL,Private,1
2023,01,SEMICARFRAN SL,RAC,2
2023,01,SERVICAR,Corporate,4
2023,01,SERVICAR,Private,1
2023,01,SERVICAR,RAC,1
2023,01,SKODA,Corporate,846
2023,01,SKODA,Private,765
2023,01,SKODA,RAC,196
2023,01,SMART,Corporate,30
2023,01,SMART,Private,28
2023,01,SOCAGE,Corporate,8
2023,01,SOCAGE,RAC,11
2023,01,SOLARIS,Corporate,30
2023,01,SORIBERICA,Corporate,3
2023,01,SORTIMO,Corporate,46
2023,01,SSANGYONG,Corporate,62
2023,01,SSANGYONG,Private,120
2023,01,SSANGYONG,RAC,4
2023,01,STIL CONVERSION,Corporate,3
2023,01,STIL CONVERSION,Private,2
2023,01,SUBARU,Corporate,46
2023,01,SUBARU,Private,73
2023,01,SUBIELA,Corporate,9
2023,01,SUN LIVING,Private,4
2023,01,SUN LIVING,RAC,3
2023,01,SUNSUNDEGUI,Corporate,5
2023,01,SURTRUCK,Corporate,1
2023,01,SUZUKI,Corporate,59
2023,01,SUZUKI,Private,232
2023,01,SUZUKI,RAC,15
2023,01,SWM,Corporate,3
2023,01,TALLERES AGUILAR,Corporate,1
2023,01,TALLERES PRAT RUSIÑOL,Corporate,1
2023,01,TALLERES PRAT RUSIÑOL,Private,1
2023,01,TAMAME,Corporate,2
2023,01,TECNOCARROCERA,Corporate,3
2023,01,TECNOCARROCERA,Private,1
2023,01,TECNOCARSA,Corporate,1
