anyo,mes,marca,canal,dgt,simmix,delta,delta_pct
2023,09,Skoda,RAC,80,323,-243,-75.23
2023,10,Skoda,Corporate,1214,1101,113,10.26
2023,10,Skoda,Private,1043,964,79,8.2
2023,10,Skoda,RAC,291,291,0,0.0
2023,11,Skoda,Corporate,1581,1580,1,0.06
2023,11,Skoda,Private,1078,1078,0,0.0
2023,11,Skoda,RAC,143,143,0,0.0
2023,12,Skoda,Corporate,1871,1893,-22,-1.16
2023,12,Skoda,Private,1335,1336,-1,-0.07
2023,12,Skoda,RAC,122,98,24,24.49
2024,01,Skoda,Corporate,884,887,-3,-0.34
2024,01,Skoda,Private,979,976,3,0.31
2024,01,Skoda,RAC,487,486,1,0.21
2024,02,Skoda,Corporate,1055,1059,-4,-0.38
2024,02,Skoda,Private,1007,1005,2,0.2
2024,02,Skoda,RAC,1299,1296,3,0.23
2024,03,Skoda,Corporate,929,935,-6,-0.64
2024,03,Skoda,Private,893,891,2,0.22
2024,03,Skoda,RAC,1404,1399,5,0.36
2024,04,Skoda,Corporate,956,949,7,0.74
2024,04,Skoda,Private,1042,1040,2,0.19
2024,04,Skoda,RAC,1092,1101,-9,-0.82
2024,05,Skoda,Corporate,1116,1122,-6,-0.53
2024,05,Skoda,Private,1098,1097,1,0.09
2024,05,Skoda,RAC,671,663,8,1.21
2024,06,Skoda,Corporate,1283,1295,-12,-0.93
2024,06,Skoda,Private,1038,1038,0,0.0
2024,06,Skoda,RAC,950,938,12,1.28
2024,07,Skoda,Corporate,1232,1241,-9,-0.73
2024,07,Skoda,Private,1166,1166,0,0.0
2024,07,Skoda,RAC,503,494,9,1.82
2024,08,Skoda,Corporate,825,826,-1,-0.12
2024,08,Skoda,Private,946,946,0,0.0
2024,08,Skoda,RAC,11,10,1,10.0
2024,09,Skoda,Corporate,1482,1479,3,0.2
2024,09,Skoda,Private,1181,1184,-3,-0.25
2024,09,Skoda,RAC,127,127,0,0.0
2024,10,Skoda,Corporate,1938,1940,-2,-0.1
2024,10,Skoda,Private,1577,1573,4,0.25
2024,10,Skoda,RAC,169,169,0,0.0
2024,11,Skoda,Corporate,2225,2278,-53,-2.33
2024,11,Skoda,Private,1506,1498,8,0.53
2024,11,Skoda,RAC,209,161,48,29.81
2024,12,Skoda,Corporate,1937,1990,-53,-2.66
2024,12,Skoda,Private,1803,1798,5,0.28
2024,12,Skoda,RAC,1238,1189,49,4.12
2025,01,Skoda,Corporate,1141,1280,-139,-10.86
2025,01,Skoda,Private,793,787,6,0.76
2025,01,Skoda,RAC,581,445,136,30.56
2025,02,Skoda,Corporate,1273,1270,3,0.24
2025,02,Skoda,Private,1032,1029,3,0.29
2025,02,Skoda,RAC,1039,1041,-2,-0.19
2025,03,Skoda,Corporate,1258,1258,0,0.0
2025,03,Skoda,Private,1244,1244,0,0.0
2025,03,Skoda,RAC,1525,1524,1,0.07
2025,04,Skoda,Corporate,1140,1153,-13,-1.13
2025,04,Skoda,Private,1048,1044,4,0.38
2025,04,Skoda,RAC,1218,1210,8,0.66
