yyyymm,severity,kind,marca,canal,metric,value,threshold,detail
202603,INFO,KM0_FALLBACK,CITROEN,Corporate,b00d_private_moved_to_corporate,108,100,pool_b00d_private=1340; rate=0.0802
202603,INFO,KM0_FALLBACK,FORD,Corporate,b00d_private_moved_to_corporate,115,100,pool_b00d_private=1227; rate=0.0939
202603,INFO,KM0_FALLBACK,RENAULT,Corporate,b00d_private_moved_to_corporate,190,100,pool_b00d_private=3306; rate=0.0573
202603,WARN,NEW_BRAND,CHANGAN,,monthly_count,256,250,Marca con volumen relevante no vista en outputs historicos previos
202603,WARN,CHANNEL_DRIFT,BMW,Corporate,count_vs_same_month_history,695,+/-250 and +/-25%,"actual=2751; media_mismo_mes=2056.3; historico=1979,2189,2001; rel=+33.8%"
202603,CRITICAL,CHANNEL_DRIFT,BYD,Corporate,count_vs_same_month_history,715,+/-250 and +/-25%,"actual=834; media_mismo_mes=119.0; historico=23,11,323; rel=+600.8%"
202603,CRITICAL,CHANNEL_DRIFT,BYD,Private,count_vs_same_month_history,1936,+/-250 and +/-25%,"actual=2455; media_mismo_mes=518.5; historico=94,943; rel=+373.5%"
202603,CRITICAL,CHANNEL_DRIFT,BYD,RAC,count_vs_same_month_history,969,+/-250 and +/-25%,"actual=1146; media_mismo_mes=177.0; historico=4,350; rel=+547.5%"
202603,WARN,CHANNEL_DRIFT,CITROEN,RAC,count_vs_same_month_history,505,+/-250 and +/-25%,"actual=2321; media_mismo_mes=1815.7; historico=1287,2672,1488; rel=+27.8%"
202603,CRITICAL,CHANNEL_DRIFT,CUPRA,Private,count_vs_same_month_history,338,+/-250 and +/-25%,"actual=917; media_mismo_mes=579.0; historico=670,422,645; rel=+58.4%"
202603,WARN,CHANNEL_DRIFT,DACIA,Private,count_vs_same_month_history,1227,+/-250 and +/-25%,"actual=4637; media_mismo_mes=3410.3; historico=2910,3225,4096; rel=+36.0%"
202603,CRITICAL,CHANNEL_DRIFT,DR,RAC,count_vs_same_month_history,666,+/-250 and +/-25%,"actual=929; media_mismo_mes=262.7; historico=782,3,3; rel=+253.7%"
202603,WARN,CHANNEL_DRIFT,FIAT,Corporate,count_vs_same_month_history,-346,+/-250 and +/-25%,"actual=747; media_mismo_mes=1092.7; historico=1952,789,537; rel=-31.6%"
202603,WARN,CHANNEL_DRIFT,FIAT,RAC,count_vs_same_month_history,429,+/-250 and +/-25%,"actual=1673; media_mismo_mes=1244.3; historico=953,902,1878; rel=+34.4%"
202603,WARN,CHANNEL_DRIFT,HYUNDAI,Private,count_vs_same_month_history,-802,+/-250 and +/-25%,"actual=2174; media_mismo_mes=2976.3; historico=3475,2877,2577; rel=-27.0%"
202603,CRITICAL,CHANNEL_DRIFT,HYUNDAI,RAC,count_vs_same_month_history,2357,+/-250 and +/-25%,"actual=3597; media_mismo_mes=1240.0; historico=1659,1605,456; rel=+190.1%"
202603,CRITICAL,CHANNEL_DRIFT,MAZDA,Private,count_vs_same_month_history,763,+/-250 and +/-25%,"actual=1923; media_mismo_mes=1159.7; historico=1084,1221,1174; rel=+65.8%"
202603,CRITICAL,CHANNEL_DRIFT,MERCEDES,RAC,count_vs_same_month_history,755,+/-250 and +/-25%,"actual=1720; media_mismo_mes=965.0; historico=530,1006,1359; rel=+78.2%"
202603,CRITICAL,CHANNEL_DRIFT,MG,Corporate,count_vs_same_month_history,282,+/-250 and +/-25%,"actual=488; media_mismo_mes=205.7; historico=89,235,293; rel=+137.3%"
