anyo,mes,dia,cod_prov,provincia,canal,fuel_type,count
2026,06,19,01,Álava,Corporate,BEV,1
2026,06,19,01,Álava,Corporate,ICE,3
2026,06,19,01,Álava,Corporate,PHEV,1
2026,06,19,01,Álava,Private,BEV,3
2026,06,19,01,Álava,Private,ICE,5
2026,06,19,01,Álava,Private,PHEV,4
2026,06,19,02,Albacete,Corporate,ICE,16
2026,06,19,02,Albacete,Private,BEV,1
2026,06,19,02,Albacete,Private,ICE,15
2026,06,19,03,Alicante,Corporate,BEV,6
2026,06,19,03,Alicante,Corporate,ICE,22
2026,06,19,03,Alicante,Corporate,PHEV,3
2026,06,19,03,Alicante,Private,BEV,11
2026,06,19,03,Alicante,Private,ICE,84
2026,06,19,03,Alicante,Private,PHEV,12
2026,06,19,03,Alicante,RAC,ICE,33
2026,06,19,04,Almería,Corporate,ICE,9
2026,06,19,04,Almería,Private,BEV,5
2026,06,19,04,Almería,Private,ICE,35
2026,06,19,04,Almería,Private,PHEV,3
2026,06,19,05,Ávila,Private,BEV,2
2026,06,19,05,Ávila,Private,ICE,8
2026,06,19,05,Ávila,Private,PHEV,3
2026,06,19,06,Badajoz,Corporate,BEV,1
2026,06,19,06,Badajoz,Corporate,ICE,6
2026,06,19,06,Badajoz,Private,BEV,3
2026,06,19,06,Badajoz,Private,ICE,18
2026,06,19,06,Badajoz,Private,PHEV,2
2026,06,19,07,Baleares,Corporate,BEV,7
2026,06,19,07,Baleares,Corporate,ICE,14
2026,06,19,07,Baleares,Corporate,PHEV,2
2026,06,19,07,Baleares,Private,BEV,15
2026,06,19,07,Baleares,Private,ICE,55
2026,06,19,07,Baleares,Private,PHEV,3
2026,06,19,07,Baleares,RAC,ICE,15
2026,06,19,08,Barcelona,Corporate,BEV,50
2026,06,19,08,Barcelona,Corporate,ICE,98
2026,06,19,08,Barcelona,Corporate,PHEV,14
2026,06,19,08,Barcelona,Private,BEV,57
2026,06,19,08,Barcelona,Private,ICE,286
2026,06,19,08,Barcelona,Private,PHEV,39
2026,06,19,08,Barcelona,RAC,ICE,22
2026,06,19,08,Barcelona,RAC,PHEV,1
2026,06,19,09,Burgos,Corporate,ICE,6
2026,06,19,09,Burgos,Corporate,PHEV,2
2026,06,19,09,Burgos,Private,BEV,2
2026,06,19,09,Burgos,Private,ICE,10
2026,06,19,09,Burgos,Private,PHEV,5
2026,06,19,10,Cáceres,Corporate,BEV,1
2026,06,19,10,Cáceres,Corporate,ICE,2
2026,06,19,10,Cáceres,Corporate,PHEV,1
2026,06,19,10,Cáceres,Private,BEV,2
2026,06,19,10,Cáceres,Private,ICE,8
2026,06,19,10,Cáceres,Private,PHEV,1
2026,06,19,11,Cádiz,Corporate,BEV,1
2026,06,19,11,Cádiz,Corporate,ICE,21
2026,06,19,11,Cádiz,Corporate,PHEV,1
2026,06,19,11,Cádiz,Private,BEV,11
2026,06,19,11,Cádiz,Private,ICE,66
2026,06,19,11,Cádiz,Private,PHEV,7
2026,06,19,12,Castellón,Corporate,BEV,8
2026,06,19,12,Castellón,Corporate,ICE,20
2026,06,19,12,Castellón,Corporate,PHEV,7
2026,06,19,12,Castellón,Private,BEV,4
2026,06,19,12,Castellón,Private,ICE,33
2026,06,19,12,Castellón,Private,PHEV,3
2026,06,19,13,Ciudad Real,Corporate,BEV,1
2026,06,19,13,Ciudad Real,Corporate,ICE,8
2026,06,19,13,Ciudad Real,Corporate,PHEV,1
2026,06,19,13,Ciudad Real,Private,BEV,1
2026,06,19,13,Ciudad Real,Private,ICE,17
2026,06,19,13,Ciudad Real,Private,PHEV,6
2026,06,19,14,Córdoba,Corporate,BEV,1
2026,06,19,14,Córdoba,Corporate,ICE,4
2026,06,19,14,Córdoba,Corporate,PHEV,5
2026,06,19,14,Córdoba,Private,BEV,3
2026,06,19,14,Córdoba,Private,ICE,24
2026,06,19,14,Córdoba,Private,PHEV,3
2026,06,19,15,A Coruña,Corporate,ICE,13
2026,06,19,15,A Coruña,Private,BEV,16
2026,06,19,15,A Coruña,Private,ICE,31
2026,06,19,15,A Coruña,Private,PHEV,6
2026,06,19,16,Cuenca,Private,BEV,1
2026,06,19,16,Cuenca,Private,ICE,4
2026,06,19,16,Cuenca,Private,PHEV,1
2026,06,19,17,Girona,Corporate,BEV,4
2026,06,19,17,Girona,Corporate,ICE,20
2026,06,19,17,Girona,Corporate,PHEV,1
2026,06,19,17,Girona,Private,BEV,5
2026,06,19,17,Girona,Private,ICE,45
2026,06,19,17,Girona,Private,PHEV,4
2026,06,19,17,Girona,RAC,ICE,1
2026,06,19,18,Granada,Corporate,BEV,1
2026,06,19,18,Granada,Corporate,ICE,7
2026,06,19,18,Granada,Corporate,PHEV,1
2026,06,19,18,Granada,Private,BEV,12
2026,06,19,18,Granada,Private,ICE,41
2026,06,19,18,Granada,Private,PHEV,5
2026,06,19,18,Granada,RAC,ICE,1
2026,06,19,19,Guadalajara,Private,BEV,7
2026,06,19,19,Guadalajara,Private,ICE,9
2026,06,19,20,Gipuzkoa,Corporate,BEV,1
2026,06,19,20,Gipuzkoa,Corporate,ICE,3
2026,06,19,20,Gipuzkoa,Corporate,PHEV,3
2026,06,19,20,Gipuzkoa,Private,BEV,2
2026,06,19,20,Gipuzkoa,Private,ICE,22
2026,06,19,20,Gipuzkoa,Private,PHEV,4
2026,06,19,21,Huelva,Corporate,BEV,2
2026,06,19,21,Huelva,Corporate,ICE,1
2026,06,19,21,Huelva,Private,BEV,6
2026,06,19,21,Huelva,Private,ICE,25
2026,06,19,21,Huelva,Private,PHEV,4
2026,06,19,22,Huesca,Corporate,BEV,4
2026,06,19,22,Huesca,Corporate,ICE,6
2026,06,19,22,Huesca,Corporate,PHEV,1
2026,06,19,22,Huesca,Private,BEV,4
2026,06,19,22,Huesca,Private,ICE,8
2026,06,19,22,Huesca,Private,PHEV,1
2026,06,19,23,Jaén,Corporate,ICE,3
2026,06,19,23,Jaén,Corporate,PHEV,1
2026,06,19,23,Jaén,Private,BEV,3
2026,06,19,23,Jaén,Private,ICE,16
2026,06,19,23,Jaén,Private,PHEV,5
2026,06,19,24,León,Corporate,BEV,1
2026,06,19,24,León,Corporate,ICE,1
2026,06,19,24,León,Corporate,PHEV,2
2026,06,19,24,León,Private,BEV,5
2026,06,19,24,León,Private,ICE,14
2026,06,19,24,León,Private,PHEV,4
2026,06,19,25,Lleida,Corporate,BEV,5
2026,06,19,25,Lleida,Corporate,ICE,18
2026,06,19,25,Lleida,Corporate,PHEV,1
2026,06,19,25,Lleida,Private,BEV,10
2026,06,19,25,Lleida,Private,ICE,19
2026,06,19,25,Lleida,Private,PHEV,4
2026,06,19,26,La Rioja,Corporate,ICE,3
2026,06,19,26,La Rioja,Corporate,PHEV,3
2026,06,19,26,La Rioja,Private,BEV,2
2026,06,19,26,La Rioja,Private,ICE,9
2026,06,19,26,La Rioja,Private,PHEV,2
2026,06,19,27,Lugo,Corporate,BEV,1
2026,06,19,27,Lugo,Corporate,ICE,1
2026,06,19,27,Lugo,Private,BEV,3
2026,06,19,27,Lugo,Private,ICE,7
2026,06,19,27,Lugo,Private,PHEV,4
2026,06,19,28,Madrid,Corporate,BEV,105
2026,06,19,28,Madrid,Corporate,ICE,1155
2026,06,19,28,Madrid,Corporate,PHEV,156
2026,06,19,28,Madrid,Private,BEV,91
2026,06,19,28,Madrid,Private,ICE,312
2026,06,19,28,Madrid,Private,PHEV,72
2026,06,19,28,Madrid,RAC,BEV,36
2026,06,19,28,Madrid,RAC,ICE,748
2026,06,19,28,Madrid,RAC,PHEV,171
2026,06,19,29,Málaga,Corporate,BEV,3
2026,06,19,29,Málaga,Corporate,ICE,23
2026,06,19,29,Málaga,Corporate,PHEV,3
2026,06,19,29,Málaga,Private,BEV,27
2026,06,19,29,Málaga,Private,ICE,80
2026,06,19,29,Málaga,Private,PHEV,13
2026,06,19,29,Málaga,RAC,ICE,25
2026,06,19,30,Murcia,Corporate,BEV,4
2026,06,19,30,Murcia,Corporate,ICE,20
2026,06,19,30,Murcia,Corporate,PHEV,5
2026,06,19,30,Murcia,Private,BEV,11
2026,06,19,30,Murcia,Private,ICE,49
2026,06,19,30,Murcia,Private,PHEV,7
2026,06,19,30,Murcia,RAC,ICE,3
2026,06,19,31,Navarra,Corporate,BEV,6
2026,06,19,31,Navarra,Corporate,ICE,10
2026,06,19,31,Navarra,Corporate,PHEV,1
2026,06,19,31,Navarra,Private,BEV,25
2026,06,19,31,Navarra,Private,ICE,12
2026,06,19,31,Navarra,Private,PHEV,1
2026,06,19,32,Ourense,Corporate,ICE,2
