anyo,mes,dia,marca,modelo,canal,fuel_type,fuel,segmento,subseg,hp,body_type,count
2026,06,16,212,,Private,ICE,Diesel,,REST,Standard,,1
2026,06,16,212,,Private,ICE,Gasolina,,REST,Standard,,3
2026,06,16,A.A. AIRBUS,,Corporate,ICE,Diesel,,REST,Standard,,1
2026,06,16,A.A. AIRBUS,,RAC,ICE,Diesel,,REST,Standard,,1
2026,06,16,ADRIA,,Private,ICE,Diesel,,REST,Standard,,3
2026,06,16,ALFA ROMEO,JUNIOR,Corporate,BEV,Gasolina Mild Hybrid,2.UKL1,REST,Standard,SAV,1
2026,06,16,ALFA ROMEO,JUNIOR,Corporate,ICE,Gasolina Mild Hybrid,2.UKL1,REST,Standard,SAV,2
2026,06,16,ALFA ROMEO,STELVIO,Corporate,ICE,Gasolina,4.KKL,REST,Standard,SAV,1
2026,06,16,ALFA ROMEO,TONALE,Corporate,PHEV,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,1
2026,06,16,ALFA ROMEO,TONALE,Private,ICE,Gasolina/Electrico Enchufable,3.UKL2,REST,Standard,SAV,2
2026,06,16,ALMANSA,,Corporate,ICE,Diesel,,REST,Standard,,1
2026,06,16,ALPINE,,Corporate,BEV,Electrico,,REST,Standard,,5
2026,06,16,ALPINE,,Private,BEV,Electrico,,REST,Standard,,5
2026,06,16,ALPINE,,Private,ICE,Gasolina,,REST,Standard,,1
2026,06,16,AMELINE,,Corporate,ICE,Diesel,,REST,Standard,,1
2026,06,16,ATALAYA,,RAC,ICE,Diesel,,REST,Standard,,1
2026,06,16,AUDI,A1,Corporate,ICE,Gasolina,2.UKL1,FOCUS SEGMENT,Standard,HACH 5P,4
2026,06,16,AUDI,A1,Private,ICE,Gasolina,2.UKL1,FOCUS SEGMENT,Standard,HACH 5P,2
2026,06,16,AUDI,A1,RAC,ICE,Gasolina,2.UKL1,FOCUS SEGMENT,Standard,HACH 5P,12
