anyo,mes,dia,marca,canal,fuel_type,count
2026,06,22,212,Corporate,ICE,2
2026,06,22,212,Private,ICE,1
2026,06,22,A.A. AIRBUS,Corporate,ICE,2
2026,06,22,ALFA ROMEO,Corporate,ICE,3
2026,06,22,ALFA ROMEO,RAC,ICE,1
2026,06,22,ALLIED VEHICLES LTD,Corporate,ICE,1
2026,06,22,ALPINE,Private,BEV,2
2026,06,22,ALPINE,RAC,BEV,5
2026,06,22,ALQUIBER QUALITY,Corporate,ICE,2
2026,06,22,AMELINE,Corporate,ICE,1
2026,06,22,ASTON MARTIN,Corporate,ICE,1
2026,06,22,ASTON MARTIN,Private,ICE,1
2026,06,22,AUDI,Corporate,BEV,1
2026,06,22,AUDI,Corporate,ICE,134
2026,06,22,AUDI,Corporate,PHEV,26
2026,06,22,AUDI,Private,BEV,2
2026,06,22,AUDI,Private,ICE,33
2026,06,22,AUDI,Private,PHEV,16
2026,06,22,AUDI,RAC,ICE,55
2026,06,22,AUDI,RAC,PHEV,3
2026,06,22,BAIC,Corporate,ICE,1
2026,06,22,BENIMAR,Corporate,ICE,1
2026,06,22,BENIMAR,Private,ICE,6
2026,06,22,BENIMAR,RAC,ICE,1
2026,06,22,BMW,Corporate,BEV,23
2026,06,22,BMW,Corporate,ICE,117
2026,06,22,BMW,Corporate,PHEV,27
2026,06,22,BMW,Private,BEV,12
2026,06,22,BMW,Private,ICE,20
2026,06,22,BMW,Private,PHEV,8
2026,06,22,BRP,Private,ICE,1
2026,06,22,BYD,Corporate,BEV,9
2026,06,22,BYD,Corporate,PHEV,42
2026,06,22,BYD,Private,BEV,55
2026,06,22,BYD,Private,PHEV,47
2026,06,22,CAJISA,RAC,ICE,3
2026,06,22,CARROCERIAS EL GALLO,Corporate,ICE,1
2026,06,22,CARROCERIAS FRIGORIFICAS SEVIL,Private,ICE,1
2026,06,22,CARROCERIAS SANCA SA,Corporate,ICE,1
2026,06,22,"CARROCERIAS SANCA, S.A.",Private,ICE,1
2026,06,22,CARROCERIAS SEVILLA,Corporate,ICE,3
2026,06,22,CARROZADOS TECAI,Corporate,ICE,1
2026,06,22,CFMOTO,Corporate,BEV,1
2026,06,22,CFMOTO,Corporate,ICE,1
2026,06,22,CFMOTO,Private,ICE,1
2026,06,22,CHAPISTERIA V.I.,Corporate,ICE,2
2026,06,22,CHT,Corporate,ICE,1
2026,06,22,CITROEN,Corporate,BEV,4
2026,06,22,CITROEN,Corporate,ICE,214
2026,06,22,CITROEN,Private,BEV,20
2026,06,22,CITROEN,Private,ICE,53
2026,06,22,CITROEN,RAC,BEV,1
2026,06,22,CITROEN,RAC,ICE,43
2026,06,22,CODETRANS,Corporate,ICE,1
2026,06,22,COINPOL,Corporate,ICE,8
2026,06,22,COINPOL,RAC,ICE,1
2026,06,22,CORVUS,Corporate,ICE,1
2026,06,22,CUPRA,Corporate,BEV,3
2026,06,22,CUPRA,Corporate,ICE,25
2026,06,22,CUPRA,Corporate,PHEV,34
2026,06,22,CUPRA,Private,BEV,16
2026,06,22,CUPRA,Private,ICE,14
2026,06,22,CUPRA,Private,PHEV,5
2026,06,22,CUPRA,RAC,ICE,338
2026,06,22,CUPRA,RAC,PHEV,1
2026,06,22,DACIA,Corporate,BEV,2
2026,06,22,DACIA,Corporate,ICE,34
2026,06,22,DACIA,Private,BEV,1
2026,06,22,DACIA,Private,ICE,270
2026,06,22,DACIA,RAC,ICE,12
2026,06,22,DEEPAL,Corporate,BEV,1
2026,06,22,DEEPAL,Private,BEV,13
2026,06,22,DFSK,Corporate,BEV,3
2026,06,22,DFSK,Private,PHEV,1
2026,06,22,DONGFENG,Corporate,BEV,1
2026,06,22,DR,Private,ICE,1
2026,06,22,DS,Corporate,ICE,7
2026,06,22,DS,RAC,ICE,11
2026,06,22,DS AUTOMOBILES,RAC,ICE,1
2026,06,22,EBRO,Corporate,ICE,2
2026,06,22,EBRO,Corporate,PHEV,3
2026,06,22,EBRO,Private,ICE,45
2026,06,22,EBRO,Private,PHEV,18
2026,06,22,EQUIPFRED,Corporate,ICE,1
2026,06,22,ERJOMA,Corporate,ICE,1
2026,06,22,ERKE,Corporate,ICE,10
2026,06,22,ETRUSCO,Private,ICE,1
2026,06,22,EUROCARROCERA,Corporate,ICE,23
2026,06,22,EVO,Corporate,ICE,1
2026,06,22,EVO,Private,ICE,7
2026,06,22,FERRARI,Corporate,PHEV,1
2026,06,22,FIAT,Corporate,BEV,3
2026,06,22,FIAT,Corporate,ICE,14
2026,06,22,FIAT,Private,BEV,4
2026,06,22,FIAT,Private,ICE,21
2026,06,22,FIAT,RAC,BEV,3
2026,06,22,FIAT,RAC,ICE,106
2026,06,22,FORD,Corporate,BEV,5
2026,06,22,FORD,Corporate,ICE,128
2026,06,22,FORD,Corporate,PHEV,25
2026,06,22,FORD,Private,BEV,7
2026,06,22,FORD,Private,ICE,23
2026,06,22,FORD,Private,PHEV,15
2026,06,22,FORD,RAC,BEV,4
2026,06,22,FORD,RAC,ICE,10
2026,06,22,FOTON,Corporate,ICE,2
2026,06,22,GAPA,Corporate,ICE,1
2026,06,22,GEELY,Corporate,BEV,1
2026,06,22,GEELY,Corporate,PHEV,1
2026,06,22,GEELY,Private,BEV,2
2026,06,22,GEELY,Private,PHEV,16
2026,06,22,GIOTTILINE,Private,ICE,3
2026,06,22,GRAU,Corporate,BEV,2
2026,06,22,HERMONT,Corporate,ICE,4
2026,06,22,HONDA,Corporate,ICE,3
2026,06,22,HONDA,Private,ICE,19
2026,06,22,HYMER,Private,ICE,1
2026,06,22,HYUNDAI,Corporate,ICE,28
2026,06,22,HYUNDAI,Private,BEV,12
2026,06,22,HYUNDAI,Private,ICE,70
2026,06,22,HYUNDAI,Private,PHEV,5
2026,06,22,HYUNDAI,RAC,ICE,50
2026,06,22,IGLUVAN,Corporate,ICE,4
2026,06,22,IGLUVAN,Private,ICE,1
2026,06,22,ISUZU,Corporate,ICE,1
2026,06,22,IVECO,Corporate,ICE,20
2026,06,22,IVECO,Private,ICE,2
2026,06,22,IVECO,RAC,ICE,5
2026,06,22,JAECOO,Corporate,ICE,3
2026,06,22,JAECOO,Corporate,PHEV,3
2026,06,22,JAECOO,Private,BEV,2
2026,06,22,JAECOO,Private,ICE,24
