yyyymm,severity,kind,marca,canal,metric,value,threshold,detail
202405,INFO,KM0_FALLBACK,FORD,Corporate,b00d_private_moved_to_corporate,137,100,pool_b00d_private=1461; rate=0.0939
202405,INFO,KM0_FALLBACK,RENAULT,Corporate,b00d_private_moved_to_corporate,155,100,pool_b00d_private=2707; rate=0.0573
