anyo,mes,dia,marca,canal,fuel_type,count
2026,06,17,212,Corporate,ICE,4
2026,06,17,212,Private,ICE,1
2026,06,17,3 CARROCEROS,Corporate,ICE,1
2026,06,17,3 CARROCEROS,Private,ICE,1
2026,06,17,A.A. AIRBUS,Corporate,ICE,1
2026,06,17,ADRIA,Private,ICE,1
2026,06,17,AION,Corporate,BEV,1
2026,06,17,ALFA ROMEO,Corporate,ICE,4
2026,06,17,ALFA ROMEO,Private,ICE,2
2026,06,17,ALLIED VEHICLES LTD,Private,ICE,1
2026,06,17,ALPINE,Private,BEV,5
2026,06,17,ALQUIBER QUALITY,Corporate,ICE,12
2026,06,17,AUDI,Corporate,BEV,9
2026,06,17,AUDI,Corporate,ICE,46
2026,06,17,AUDI,Corporate,PHEV,21
2026,06,17,AUDI,Private,BEV,3
2026,06,17,AUDI,Private,ICE,35
2026,06,17,AUDI,Private,PHEV,12
2026,06,17,AUDI,RAC,ICE,5
2026,06,17,AYATS,Corporate,ICE,1
2026,06,17,BAHIA V.I.,Corporate,ICE,1
2026,06,17,BAIC,Private,ICE,1
2026,06,17,BALLESTAS REUS,Corporate,ICE,1
2026,06,17,BENIMAR,Private,ICE,4
2026,06,17,BENIMAR,RAC,ICE,1
2026,06,17,BENTLEY,Corporate,PHEV,1
2026,06,17,BMW,Corporate,BEV,15
2026,06,17,BMW,Corporate,ICE,173
2026,06,17,BMW,Corporate,PHEV,35
2026,06,17,BMW,Private,BEV,14
2026,06,17,BMW,Private,ICE,29
2026,06,17,BMW,Private,PHEV,5
2026,06,17,BMW,RAC,BEV,9
2026,06,17,BMW,RAC,ICE,1
2026,06,17,BMW,RAC,PHEV,2
2026,06,17,BRP,Private,ICE,1
2026,06,17,BYD,Corporate,BEV,7
2026,06,17,BYD,Corporate,PHEV,6
2026,06,17,BYD,Private,BEV,66
2026,06,17,BYD,Private,PHEV,54
2026,06,17,CAJISA,RAC,ICE,3
2026,06,17,CAPRON,Private,ICE,2
2026,06,17,CARROCERIAS EL GALLO,Corporate,ICE,1
2026,06,17,CARROCERIAS FRIGORIFICAS SEVIL,Corporate,ICE,3
2026,06,17,CARROCERIAS JANKAR,Private,ICE,1
2026,06,17,CARROCERIAS MINDA,Corporate,ICE,1
2026,06,17,CARROCERIAS SANCA SA,Private,ICE,1
2026,06,17,"CARROCERIAS SANCA, S.A.",Corporate,ICE,3
2026,06,17,CARROZADOS TECAI,RAC,ICE,1
2026,06,17,CELA,Corporate,ICE,1
2026,06,17,CF MOTO,Private,ICE,2
2026,06,17,CFMOTO,Corporate,ICE,2
2026,06,17,CFMOTO,Private,ICE,1
2026,06,17,CHALLENGER,Private,ICE,3
2026,06,17,CHT,Corporate,ICE,2
2026,06,17,CICLOPE,RAC,ICE,1
2026,06,17,CITROEN,Corporate,BEV,3
2026,06,17,CITROEN,Corporate,ICE,89
2026,06,17,CITROEN,Private,BEV,20
2026,06,17,CITROEN,Private,ICE,62
2026,06,17,CITROEN,RAC,ICE,83
2026,06,17,COMPOSITES REFORZADOS,Corporate,ICE,2
2026,06,17,COOLGADES,RAC,ICE,1
2026,06,17,CORVUS,Corporate,BEV,1
2026,06,17,CORVUS,Corporate,ICE,2
2026,06,17,CTE,RAC,ICE,2
2026,06,17,CUPRA,Corporate,BEV,4
2026,06,17,CUPRA,Corporate,ICE,40
2026,06,17,CUPRA,Corporate,PHEV,110
2026,06,17,CUPRA,Private,BEV,20
2026,06,17,CUPRA,Private,ICE,35
2026,06,17,CUPRA,Private,PHEV,6
2026,06,17,CUPRA,RAC,ICE,18
2026,06,17,CUPRA,RAC,PHEV,1
2026,06,17,DACIA,Corporate,ICE,26
2026,06,17,DACIA,Private,ICE,311
2026,06,17,DACIA,RAC,ICE,12
2026,06,17,DANGEL,Corporate,ICE,1
2026,06,17,DEEPAL,Corporate,BEV,2
2026,06,17,DEEPAL,Private,BEV,13
2026,06,17,DETHLEFFS,Private,ICE,1
2026,06,17,DETHLEFFS,RAC,ICE,3
2026,06,17,DR,Corporate,ICE,2
2026,06,17,DR,RAC,ICE,1
2026,06,17,DREAMER,Private,ICE,2
2026,06,17,DS,Corporate,ICE,8
2026,06,17,DS,Corporate,PHEV,8
2026,06,17,DS AUTOMOBILES,Corporate,ICE,1
2026,06,17,DS AUTOMOBILES,Private,BEV,1
2026,06,17,DSK,Corporate,ICE,1
2026,06,17,EBRO,Corporate,ICE,5
2026,06,17,EBRO,Private,ICE,66
2026,06,17,EBRO,Private,PHEV,35
2026,06,17,EQUIPFRED,Corporate,ICE,1
2026,06,17,ERKE,Corporate,ICE,30
2026,06,17,ETRUSCO,Private,ICE,1
2026,06,17,EUROCARROCERA,Corporate,ICE,1
2026,06,17,EUROGAZA,Private,ICE,1
2026,06,17,EVO,Private,ICE,2
2026,06,17,FARIZON,Private,BEV,1
2026,06,17,FAW,Corporate,PHEV,1
2026,06,17,FAW,Private,ICE,4
2026,06,17,FERRARI,Private,ICE,1
