marca,canal,old_dgt,new_dgt,simmix,old_delta,new_delta,delta_change
DIGAL,Corporate,0,189,0,0,189,189
DIGAL,Private,0,31,0,0,31,31
DIGAL,RAC,0,11,0,0,11,11
DIVISEGUR CATALUNYA,Corporate,0,744,0,0,744,744
DIVISEGUR CATALUNYA,Private,0,98,0,0,98,98
DIVISEGUR CATALUNYA,RAC,0,1,0,0,1,1
DIVISEGUR VEHICLES,Corporate,0,4,0,0,4,4
DIVISEGUR VEHICLES,Private,0,3,0,0,3,3
DODGE,Corporate,0,18,0,0,18,18
DODGE,Private,0,10,0,0,10,10
DONGFENG,Corporate,0,104,102,-102,2,104
DONGFENG,Private,0,165,165,-165,0,165
DONGFENG,RAC,0,0,0,0,0,0
DONKERVOORT,Private,0,1,0,0,1,1
DONOSO,Corporate,0,36,0,0,36,36
DONOSO,Private,0,5,0,0,5,5
DONOSO,RAC,0,2,0,0,2,2
DOTTO,Private,0,1,0,0,1,1
DR,Corporate,0,187,6,-6,181,187
DR,Private,0,961,36,-36,925,961
DR,RAC,0,1627,1491,-1491,136,1627
DRAGO,Corporate,0,1,0,0,1,1
DRD,Corporate,0,1,0,0,1,1
DREAM,Private,0,16,0,0,16,16
DREAM,RAC,0,2,0,0,2,2
DREAMER,Corporate,0,9,0,0,9,9
DREAMER,Private,0,158,0,0,158,158
DREAMER,RAC,0,19,0,0,19,19
DS,Corporate,3734,3741,6305,-2571,-2564,7
DS,Private,890,883,1312,-422,-429,-7
DS,RAC,1069,1069,2275,-1206,-1206,0
DS AUTOMOBILES,Corporate,0,73,0,0,73,73
DS AUTOMOBILES,Private,0,53,0,0,53,53
DS AUTOMOBILES,RAC,0,16,0,0,16,16
DSK,Corporate,0,52,0,0,52,52
DSK,Private,0,4,0,0,4,4
DSK,RAC,0,2,0,0,2,2
DUCATI,Corporate,0,1,0,0,1,1
DULEVO,Corporate,0,1,0,0,1,1
E-CLASSIC,Corporate,0,1,0,0,1,1
E-TUK FACTORY,Corporate,0,116,0,0,116,116
E-TUK FACTORY,Private,0,6,0,0,6,6
E-TUK FACTORY,RAC,0,11,0,0,11,11
EBRO,Corporate,0,2588,2564,-2564,24,2588
EBRO,Private,0,8798,8818,-8818,-20,8798
EBRO,RAC,0,1104,1104,-1104,0,1104
EBUSCO,Corporate,0,3,0,0,3,3
ECHEVARRIA,Corporate,0,1,0,0,1,1
ECHEVARRIA,Private,0,1,0,0,1,1
ECOAUTO,Corporate,0,248,0,0,248,248
ECOGAM,Corporate,0,17,0,0,17,17
ECOGAM,Private,0,2,0,0,2,2
ECOINDUSTRY,Corporate,0,11,0,0,11,11
EDWARD DAVIES COMMERCIALS LTD,Corporate,0,25,0,0,25,25
EDWARD DAVIES COMMERCIALS LTD,Private,0,4,0,0,4,4
EGA,Corporate,0,55,0,0,55,55
EGA,Private,0,3,0,0,3,3
EGA,RAC,0,1,0,0,1,1
ELECTROHIDRAULICA S P,Corporate,0,2,0,0,2,2
ELIOS,Private,0,5,0,0,5,5
ELIOS,RAC,0,1,0,0,1,1
ELNAGH,Corporate,0,10,0,0,10,10
ELNAGH,Private,0,179,0,0,179,179
ELNAGH,RAC,0,154,0,0,154,154
ENAIRE,RAC,0,41,0,0,41,41
EQUIPFRED,Corporate,0,260,0,0,260,260
EQUIPFRED,Private,0,37,0,0,37,37
EQUIPFRED,RAC,0,26,0,0,26,26
ERJOMA,Corporate,0,60,0,0,60,60
ERJOMA,Private,0,4,0,0,4,4
ERJOMA,RAC,0,3,0,0,3,3
ERKE,Corporate,0,5534,0,0,5534,5534
ERKE,Private,0,8,0,0,8,8
ERKE,RAC,0,2,0,0,2,2
ERROBITRAK,Corporate,0,43,0,0,43,43
ERROBITRAK,RAC,0,1,0,0,1,1
"ERROBITRAK, S.L.",Corporate,0,1,0,0,1,1
ESAGONO,Corporate,0,1,0,0,1,1
ESAGONO ENERGIA,Corporate,0,0,3,-3,-3,0
ESAGONO ENERGIA,Private,0,1,1,-1,0,1
ESAGONO ENERGIA,RAC,0,0,0,0,0,0
ESAGONO INTERNATIONAL SRL,Corporate,0,2,0,0,2,2
ESCALANTE,Corporate,0,46,0,0,46,46
ESCALANTE,Private,0,1,0,0,1,1
ESCALANTE,RAC,0,7,0,0,7,7
ESCARDA,Corporate,0,7,0,0,7,7
ESCARDA,Private,0,1,0,0,1,1
ESCARDA,RAC,0,1,0,0,1,1
ESI ITALIA,RAC,0,1,0,0,1,1
ESMI,Corporate,0,45,0,0,45,45
ESMI,Private,0,6,0,0,6,6
ESMI,RAC,0,1,0,0,1,1
ESQUERDA,Corporate,0,2,0,0,2,2
ESQUERDA,Private,0,1,0,0,1,1
ESREF KAROSER,Corporate,0,3,0,0,3,3
ESREF KAROSER,Private,0,1,0,0,1,1
ESTESO,Corporate,0,5,0,0,5,5
ETESIA,Corporate,0,5,5,-5,0,5
ETESIA,Private,0,0,0,0,0,0
ETESIA,RAC,0,0,0,0,0,0
ETRUSCO,Corporate,0,6,0,0,6,6
ETRUSCO,Private,0,132,0,0,132,132
ETRUSCO,RAC,0,64,0,0,64,64
ETXEBERRIA,Corporate,0,29,0,0,29,29
ETXEBERRIA,Private,0,5,0,0,5,5
ETXEBERRIA,RAC,0,2,0,0,2,2
EURA MOBIL,Private,0,8,0,0,8,8
EURA MOBIL,RAC,0,1,0,0,1,1
EURA-MOBIL,Private,0,3,0,0,3,3
EUROCARROCERA,Corporate,0,682,0,0,682,682
EUROCARROCERA,Private,0,2,0,0,2,2
EUROGAZA,Corporate,0,13,0,0,13,13
EUROGAZA,Private,0,625,0,0,625,625
EUROGAZA,RAC,0,114,0,0,114,114
EUROMOBILITY,Corporate,0,3,0,0,3,3
EUROMOBILITY,Private,0,1,0,0,1,1
EVERBRIGHT VITALE,Corporate,0,2,0,0,2,2
EVO,Corporate,0,470,473,-473,-3,470
EVO,Private,0,635,1378,-1378,-743,635
EVO,RAC,0,85,158,-158,-73,85
EVUM MOTORS,Corporate,0,5,5,-5,0,5
EVUM MOTORS,Private,0,0,0,0,0,0
EVUM MOTORS,RAC,0,0,0,0,0,0
FABRICADOS EN POLIESTER,Corporate,0,1,0,0,1,1
FARESIN HANDLERS,Corporate,0,3,0,0,3,3
FARID INDUSTRIE,Corporate,0,4,0,0,4,4
FARIZON,Corporate,0,29,22,-22,7,29
FARIZON,Private,0,4,4,-4,0,4
FARIZON,RAC,0,0,0,0,0,0
FARIZON AUTO,Corporate,0,1,0,0,1,1
FARMTRAC,Private,0,1,0,0,1,1
FAVELIM,Corporate,0,3,0,0,3,3
FAW,Corporate,0,69,44,-44,25,69
FAW,Private,0,229,163,-163,66,229
FAW,RAC,0,42,35,-35,7,42
FCA ITALY S.P.A.,Corporate,0,1,0,0,1,1
FCA ITALY S.P.A.,Private,0,11,0,0,11,11
FCA ITALY S.P.A.,RAC,0,7,0,0,7,7
FEGAMAR,Corporate,0,13,0,0,13,13
FENDT,Corporate,0,2,0,0,2,2
FENDT,Private,0,2,0,0,2,2
FENIKS,Corporate,0,163,0,0,163,163
FENIKS,RAC,0,1,0,0,1,1
FERQUI,Corporate,0,43,0,0,43,43
FERQUI,RAC,0,3,0,0,3,3
FERRARI,Corporate,0,123,124,-124,-1,123
FERRARI,Private,0,120,116,-116,4,120
FERRARI,RAC,0,21,21,-21,0,21
FIAT,Corporate,35054,37676,37673,-2619,3,2622
FIAT,Private,10470,7848,14025,-3555,-6177,-2622
FIAT,RAC,26663,26663,27192,-529,-529,0
FIAT ADRIA MOBIL,RAC,0,1,0,0,1,1
FIAT AUTO SPA,Corporate,0,1,0,0,1,1
FIAT DETHLEFFS,Private,0,1,0,0,1,1
FIAT DETHLEFFS,RAC,0,1,0,0,1,1
FIAT/HYMER,Corporate,0,1,0,0,1,1
FIREMAR,Corporate,0,37,0,0,37,37
FIREMAR,Private,0,4,0,0,4,4
FIREMAR,RAC,0,1,0,0,1,1
FLEURETTE,Private,0,7,0,0,7,7
FLOMEYCA,Corporate,0,16,0,0,16,16
FLUVIA,Corporate,0,5,0,0,5,5
FLUVIA,Private,0,1,0,0,1,1
FML,Corporate,0,1,0,0,1,1
FOIMA,Corporate,0,141,0,0,141,141
FOIMA,Private,0,3,0,0,3,3
FOIMA,RAC,0,7,0,0,7,7
FORD,Corporate,76688,81367,81364,-4676,3,4679
FORD,Private,49019,44340,55305,-6286,-10965,-4679
FORD,RAC,18084,18084,16382,1702,1702,0
FORD WERKE,Corporate,0,1,0,0,1,1
FORD-CNG-TECHNIK,Corporate,0,3,0,0,3,3
FORD/CHALLENGER,Private,0,2,0,0,2,2
FORD/CHALLENGER,RAC,0,1,0,0,1,1
FOTON,Corporate,0,182,0,0,182,182
FOTON,Private,0,65,0,0,65,65
FOTON,RAC,0,2,0,0,2,2
FOTON MOTORS,Corporate,0,0,179,-179,-179,0
FOTON MOTORS,Private,0,0,67,-67,-67,0
FOTON MOTORS,RAC,0,0,2,-2,-2,0
FRAMIREZ,Corporate,0,3,0,0,3,3
FRANCAL,Corporate,0,10,0,0,10,10
FRANCAL,Private,0,1,0,0,1,1
FRANCE ELEVATEUR,Corporate,0,3,0,0,3,3
FRANGU,Corporate,0,11,0,0,11,11
FRANGU,Private,0,2,0,0,2,2
FRANGU,RAC,0,10,0,0,10,10
FREVO,Private,0,1,0,0,1,1
FRIGOASTUR,Corporate,0,11,0,0,11,11
FRIGOASTUR,RAC,0,2,0,0,2,2
FRISACUL,RAC,0,70,0,0,70,70
FRISIAN MOTORS,Corporate,0,1,0,0,1,1
FROILAN,Corporate,0,2,0,0,2,2
FROILAN,RAC,0,1,0,0,1,1
FRUEHAUF,Private,0,1,0,0,1,1
FURCAR,Corporate,0,163,0,0,163,163
FURCAR,Private,0,23,0,0,23,23
FURCAR,RAC,0,14,0,0,14,14
FURGOK,Corporate,0,12,0,0,12,12
FURGOK,Private,0,1,0,0,1,1
FURGOK,RAC,0,7,0,0,7,7
FURGOKARAVANING,Corporate,0,6,0,0,6,6
FURGOKARAVANING,Private,0,44,0,0,44,44
FURGOKARAVANING,RAC,0,8,0,0,8,8
FUSO,Corporate,0,256,0,0,256,256
FUSO,Private,0,16,0,0,16,16
FUSO,RAC,0,30,0,0,30,30
GAIA,Private,0,3,0,0,3,3
GALO HEREDIA,Corporate,0,22,0,0,22,22
GALO HEREDIA,Private,0,1,0,0,1,1
GAPA,Corporate,0,5,0,0,5,5
GAPA,Private,0,1,0,0,1,1
GARCIA BLAZQUEZ  MORENO,Corporate,0,4,0,0,4,4
GARCIA BLAZQUEZ  MORENO,RAC,0,1,0,0,1,1
GARCIA BLAZQUEZ MORENO,Corporate,0,3,0,0,3,3
GARCIA BLAZQUEZ MORENO,Private,0,1,0,0,1,1
GARCIA BLAZQUEZ MORENO,RAC,0,1,0,0,1,1
GARIA,Corporate,0,34,0,0,34,34
GARIA,Private,0,11,0,0,11,11
GARRIDO,Corporate,0,2,0,0,2,2
GBM,Corporate,0,7,0,0,7,7
GEESINKNORBA,Corporate,0,2,0,0,2,2
GEMA PENINSULAR,Corporate,0,43,0,0,43,43
GENERAL,Corporate,0,1,0,0,1,1
GENERALIFE,Corporate,0,9,0,0,9,9
GENERALIFE,Private,0,1,0,0,1,1
GENESIS,Corporate,0,1,0,0,1,1
GEYCODIESEL,Corporate,0,19,0,0,19,19
GEYCODIESEL,Private,0,1,0,0,1,1
GEYCODIESEL,RAC,0,57,0,0,57,57
GICALLA,Corporate,0,6,0,0,6,6
GICALLA,RAC,0,1,0,0,1,1
GIOTTI VICTORIA,Corporate,0,0,9,-9,-9,0
GIOTTI VICTORIA,Private,0,0,0,0,0,0
GIOTTI VICTORIA,RAC,0,0,0,0,0,0
GIOTTI VICTORIA SRL,Corporate,0,7,0,0,7,7
GIOTTILINE,Corporate,0,28,0,0,28,28
GIOTTILINE,Private,0,543,0,0,543,543
GIOTTILINE,RAC,0,393,0,0,393,393
GIOTTLINE,Corporate,0,1,0,0,1,1
GIOTTLINE,Private,0,19,0,0,19,19
GIOTTLINE,RAC,0,13,0,0,13,13
GLOBE TRAVELLER,Private,0,1,0,0,1,1
GLOBE TRAVELLER,RAC,0,1,0,0,1,1
GMC,Corporate,0,12,0,0,12,12
GMOKE,Corporate,0,4,0,0,4,4
GOMEZ,Corporate,0,100,0,0,100,100
GOMEZ,Private,0,3,0,0,3,3
GOMEZ,RAC,0,1,0,0,1,1
GOMEZ REDONDO,Corporate,0,1,0,0,1,1
GONZALO-GARCIA,Corporate,0,6,0,0,6,6
GORBEA,Corporate,0,31,0,0,31,31
GORBEA,Private,0,4,0,0,4,4
GOUPIL,Corporate,0,472,62,-62,410,472
GOUPIL,Private,0,5,0,0,5,5
GOUPIL,RAC,0,8,0,0,8,8
GRASAICA,Corporate,0,1,0,0,1,1
GRAU,Corporate,0,462,0,0,462,462
GRAU,RAC,0,3,0,0,3,3
GRUAS Y CARR ISIDORO,Corporate,0,1,0,0,1,1
GRUAS Y MONTAJES IRU,Corporate,0,1,0,0,1,1
GRUAU,RAC,0,5,0,0,5,5
GRUAUTO,Corporate,0,60,0,0,60,60
GRUAUTO,Private,0,9,0,0,9,9
GRUAUTO,RAC,0,2,0,0,2,2
GRUCEX,Corporate,0,2,0,0,2,2
GRUCEX,Private,0,1,0,0,1,1
GRUCOM,Private,0,1,0,0,1,1
GRUIVOL,Corporate,0,27,0,0,27,27
GRUIVOL,Private,0,3,0,0,3,3
GRUIVOL,RAC,0,32,0,0,32,32
GRUVOLMA,Corporate,0,1,0,0,1,1
GSE,Corporate,0,14,0,0,14,14
GURSOZLER,Corporate,0,4,0,0,4,4
HALCON,Corporate,0,7,0,0,7,7
HARLEY-DAVIDSON,Corporate,0,5,0,0,5,5
HARLEY-DAVIDSON,Private,0,69,0,0,69,69
HARLEY-DAVIDSON,RAC,0,1,0,0,1,1
HAULOTTE,Corporate,0,2,0,0,2,2
HCC,Corporate,0,4,0,0,4,4
HCC,Private,0,1,0,0,1,1
HDK,Corporate,0,2,0,0,2,2
HENALES,Corporate,0,8,0,0,8,8
HENALES,Private,0,1,0,0,1,1
HENALES,RAC,0,3,0,0,3,3
HENALES ALVAREZ,Corporate,0,12,0,0,12,12
HENALES ALVAREZ,Private,0,3,0,0,3,3
HERCOV,Corporate,0,101,0,0,101,101
HERCOV,Private,0,9,0,0,9,9
HERCOV,RAC,0,7,0,0,7,7
HERKO,Corporate,0,0,5,-5,-5,0
HERKO,Private,0,0,0,0,0,0
HERKO,RAC,0,0,8,-8,-8,0
HERMANOS GARRID  MARTOS,Corporate,0,9,0,0,9,9
HERMANOS GARRID MARTOS,Corporate,0,1,0,0,1,1
HERMONT,Corporate,0,121,0,0,121,121
HERMONT,RAC,0,15,0,0,15,15
HERRATOR,Corporate,0,3,0,0,3,3
HERRATOR,Private,0,1,0,0,1,1
HERRATOR,RAC,0,1,0,0,1,1
HERRERO,Corporate,0,2,0,0,2,2
HICAVAL,Corporate,0,1,0,0,1,1
HIDRAULICOS JOMAR,Corporate,0,4,0,0,4,4
HIDRAULICOS JOMAR,Private,0,1,0,0,1,1
HIDROMAYORAL,Corporate,0,34,0,0,34,34
HIDROMAYORAL,RAC,0,1,0,0,1,1
HIGER,Corporate,0,27,0,0,27,27
HIGER,RAC,0,4,0,0,4,4
HIRUKEI,Corporate,0,1,0,0,1,1
HISUN,Private,0,5,0,0,5,5
HITRAVI,Corporate,0,3,0,0,3,3
HOBBY,Corporate,0,1,0,0,1,1
HOBBY,Private,0,10,0,0,10,10
HOBBY,RAC,0,3,0,0,3,3
HOFMANN,Corporate,0,1,0,0,1,1
HOLLY E-BEACH,RAC,0,2,0,0,2,2
HONDA,Corporate,3308,3348,3277,31,71,40
HONDA,Private,8060,8020,8003,57,17,-40
HONDA,RAC,137,137,151,-14,-14,0
HONGQI,Corporate,0,1,0,0,1,1
HOTOMOBIL,RAC,0,1,0,0,1,1
HUMBAUR,Corporate,0,1,0,0,1,1
HUMBAUR GMBH,RAC,0,1,0,0,1,1
HURTAN,Corporate,0,6,0,0,6,6
HURTAN,Private,0,3,0,0,3,3
HURTAN,RAC,0,5,0,0,5,5
HYMER,Corporate,0,23,0,0,23,23
HYMER,Private,0,161,0,0,161,161
HYMER,RAC,0,21,0,0,21,21
HYUNDAI,Corporate,46167,47053,47034,-867,19,886
HYUNDAI,Private,110333,109447,109582,751,-135,-886
HYUNDAI,RAC,35843,35843,35611,232,232,0
IBERICA DE ISOTERMIZ,Corporate,0,33,0,0,33,33
IBERICA DE ISOTERMIZ,Private,0,6,0,0,6,6
IBERICA DE ISOTERMIZ,RAC,0,6,0,0,6,6
IBERICA DE ISOTERMIZACIONES,Corporate,0,11,0,0,11,11
IBERICA DE ISOTERMIZACIONES,RAC,0,2,0,0,2,2
ICH-X,Corporate,0,0,5,-5,-5,0
ICH-X,Private,0,0,3,-3,-3,0
ICH-X,RAC,0,0,0,0,0,0
IGH IND GONZLEZ HNOS SA,Corporate,0,2,0,0,2,2
IGH INDUSTRIAS GONZALEZ HERMAN,Corporate,0,1,0,0,1,1
IGLUVAN,Corporate,0,1211,0,0,1211,1211
IGLUVAN,Private,0,92,0,0,92,92
IGLUVAN,RAC,0,328,0,0,328,328
ILERTREN,Corporate,0,5,0,0,5,5
ILUSION,Corporate,0,7,0,0,7,7
ILUSION,Private,0,71,0,0,71,71
ILUSION,RAC,0,75,0,0,75,75
IMO,Corporate,0,2,0,0,2,2
INCASE,Corporate,0,33,0,0,33,33
INCASE,Private,0,2,0,0,2,2
INCASE,RAC,0,1,0,0,1,1
INCIPRESA,Corporate,0,34,0,0,34,34
INDCAR,Corporate,0,41,0,0,41,41
INDCAR,RAC,0,5,0,0,5,5
INDOSAUTO,Corporate,0,1,0,0,1,1
INDUCAE,Corporate,0,2,0,0,2,2
INDUCAE,Private,0,1,0,0,1,1
INDUSAUTO,Corporate,0,31,0,0,31,31
INDUSAUTO,Private,0,187,0,0,187,187
INDUSAUTO,RAC,0,7,0,0,7,7
INDUSTRIE GIOTTILINE SP,RAC,0,1,0,0,1,1
INEOS,Corporate,0,197,224,-224,-27,197
INEOS,Private,0,55,51,-51,4,55
INEOS,RAC,0,18,17,-17,1,18
INFINITI,Corporate,0,12,0,0,12,12
ING. TCA. CARROCERIAS,Corporate,0,2,0,0,2,2
INOXTANK,Corporate,0,1,0,0,1,1
INTEGRALIA,Corporate,0,116,0,0,116,116
INTEGRALIA,RAC,0,2,0,0,2,2
IREGUA,Corporate,0,1,0,0,1,1
IRIZAR,Corporate,0,579,0,0,579,579
IRIZAR,Private,0,3,0,0,3,3
IRIZAR,RAC,0,148,0,0,148,148
IRIZAR E-MOBILITY,Corporate,0,164,0,0,164,164
IRIZAR E-MOBILITY,Private,0,1,0,0,1,1
ISEKI,Corporate,0,1,0,0,1,1
ISEKI,Private,0,1,0,0,1,1
ISUZU,Corporate,0,1827,2720,-2720,-893,1827
ISUZU,Private,0,295,396,-396,-101,295
ISUZU,RAC,0,188,351,-351,-163,188
ITINEO,Corporate,0,7,0,0,7,7
ITINEO,Private,0,129,0,0,129,129
ITINEO,RAC,0,63,0,0,63,63
ITURRI,Corporate,0,27,0,0,27,27
ITURRI,RAC,0,5,0,0,5,5
IVECO,Corporate,0,4776,9533,-9533,-4757,4776
IVECO,Private,0,627,1021,-1021,-394,627
IVECO,RAC,0,4104,6680,-6680,-2576,4104
IVECO BUS,Corporate,0,449,0,0,449,449
IVECO BUS,Private,0,3,0,0,3,3
IVECO BUS,RAC,0,50,0,0,50,50
IVECO DAILY,Corporate,0,2,0,0,2,2
IVECO PEGASO,Corporate,0,1,0,0,1,1
J. GARCIA,Corporate,0,6,0,0,6,6
JAC,Corporate,0,1,0,0,1,1
JAECOO,Corporate,0,1825,1720,-1720,105,1825
JAECOO,Private,0,8007,8050,-8050,-43,8007
JAECOO,RAC,0,997,1053,-1053,-56,997
JAGUAR,Corporate,0,654,582,-582,72,654
JAGUAR,Private,0,261,253,-253,8,261
JAGUAR,RAC,0,71,140,-140,-69,71
JAP,Corporate,0,6,0,0,6,6
JAP,Private,0,1,0,0,1,1
JAP,RAC,0,1,0,0,1,1
JASPE,Corporate,0,9,0,0,9,9
JASPE,RAC,0,61,0,0,61,61
JCB,Corporate,0,1,0,0,1,1
JEANJE,Corporate,0,111,0,0,111,111
JEANJE,Private,0,4,0,0,4,4
JEANJE,RAC,0,406,0,0,406,406
JEBLA,Corporate,0,4,0,0,4,4
JEEP,Corporate,15580,16022,16022,-442,0,442
JEEP,Private,7720,7278,7363,357,-85,-442
JEEP,RAC,8529,8529,8415,114,114,0
JEEP-EBRO,Private,0,1,0,0,1,1
JEEP-VIASA,Private,0,3,0,0,3,3
JIMECA,Corporate,0,75,0,0,75,75
JIMECA,Private,0,12,0,0,12,12
JIMECA,RAC,0,5,0,0,5,5
JIMENEZ,RAC,0,1,0,0,1,1
JLG,Corporate,0,1,0,0,1,1
JOA CAMP,Private,0,20,0,0,20,20
JOA CAMP,RAC,0,13,0,0,13,13
JOFRAN,Corporate,0,1,0,0,1,1
JOHN DEERE,Corporate,0,75,0,0,75,75
JOHN DEERE,Private,0,11,0,0,11,11
JOMAN,Corporate,0,6,0,0,6,6
JOMAN,RAC,0,3,0,0,3,3
JONWAY,Corporate,0,1,0,0,1,1
JOSE MARIA GLEZ DIAZ,Corporate,0,7,0,0,7,7
JOSE R MENENDEZ E HIJOS,Corporate,0,1,0,0,1,1
JOSE R MENENDEZ E HIJOS,Private,0,1,0,0,1,1
JOSE REYES CARROCERO,Corporate,0,66,0,0,66,66
JOSE REYES CARROCERO,Private,0,2,0,0,2,2
JOSE REYES CARROCERO,RAC,0,2,0,0,2,2
JOSE REYES CARROCEROS,Corporate,0,6,0,0,6,6
JOSE REYES CARROCEROS,Private,0,1,0,0,1,1
JOSE REYES CARROCEROS,RAC,0,4,0,0,4,4
JOSE RGUEZ M E HIJOS,Private,0,1,0,0,1,1
JPM,RAC,0,1,0,0,1,1
JPM SAS,Private,0,1,0,0,1,1
JUAN FERIA,Corporate,0,1,0,0,1,1
JUAN SUAREZ,Corporate,0,133,0,0,133,133
JUAN SUAREZ,Private,0,11,0,0,11,11
JULIA CAMPER,Corporate,0,1,0,0,1,1
JULIA CAMPER,Private,0,18,0,0,18,18
JULIA CAMPER,RAC,0,26,0,0,26,26
JULIAN HERMOSA HERRERO,Corporate,0,4,0,0,4,4
JULIAN HERMOSA HERRERO,Private,0,3,0,0,3,3
JUZJADE,Corporate,0,1,0,0,1,1
KAISER-JEEP,Private,0,1,0,0,1,1
KANUS,Private,0,1,0,0,1,1
KARCHER,Corporate,0,7,0,0,7,7
KARMA,Corporate,0,1,1,-1,0,1
KARMA,Private,0,0,0,0,0,0
KARMA,RAC,0,0,0,0,0,0
KARMANN-MOBIL,Private,0,3,0,0,3,3
KARMANN-MOBIL,RAC,0,5,0,0,5,5
KARSAN,Corporate,0,25,0,0,25,25
KARSAN,RAC,0,1,0,0,1,1
KASSBOHRER,Corporate,0,2,0,0,2,2
KG MOBILITY,Corporate,0,1380,1301,-1301,79,1380
KG MOBILITY,Private,0,2480,2498,-2498,-18,2480
KG MOBILITY,RAC,0,1196,1257,-1257,-61,1196
KIA,Corporate,46142,46678,46478,-336,200,536
KIA,Private,112616,112080,112187,429,-107,-536
KIA,RAC,29239,29239,29264,-25,-25,0
KING LONG,Corporate,0,52,0,0,52,52
KING LONG,RAC,0,12,0,0,12,12
KIOTI,Corporate,0,21,0,0,21,21
KIOTI,Private,0,7,0,0,7,7
KL,Corporate,0,2,0,0,2,2
KL,Private,0,3,0,0,3,3
KNAUS,Private,0,275,0,0,275,275
KNAUS,RAC,0,25,0,0,25,25
KTM,Corporate,0,0,0,0,0,0
KTM,Private,0,1,1,-1,0,1
KTM,RAC,0,0,0,0,0,0
KUBOTA,Corporate,0,70,0,0,70,70
KUBOTA,Private,0,4,0,0,4,4
KYC,Corporate,0,1,0,0,1,1
L CITY,Corporate,0,1,0,0,1,1
LA EXTRAORDINARIA,Corporate,0,3,0,0,3,3
LA JUNQUERA,Corporate,0,17,0,0,17,17
LA PLANA,Corporate,0,11,0,0,11,11
LA RUEDA,Corporate,0,1,0,0,1,1
LA RUEDA,Private,0,1,0,0,1,1
LAIKA,Private,0,7,0,0,7,7
LAIKA,RAC,0,4,0,0,4,4
LAIKA CARAVANS,Private,0,3,0,0,3,3
LAIKA CARAVANS,RAC,0,1,0,0,1,1
LAIKA CARAVANS SPA,Corporate,0,1,0,0,1,1
LAIKA CARAVANS SPA,Private,0,49,0,0,49,49
LAIKA CARAVANS SPA,RAC,0,12,0,0,12,12
LAMBERET,Corporate,0,19,0,0,19,19
LAMBERET,RAC,0,2,0,0,2,2
LAMBORGHINI,Corporate,0,4,84,-84,-80,4
LAMBORGHINI,Private,0,6,56,-56,-50,6
LAMBORGHINI,RAC,0,2,29,-29,-27,2
LANCIA,Corporate,0,331,327,-327,4,331
LANCIA,Private,0,56,56,-56,0,56
LANCIA,RAC,0,289,289,-289,0,289
LAND  ROVER,Corporate,0,2,0,0,2,2
LAND ROVER,Corporate,6593,6600,6583,10,17,7
LAND ROVER,Private,2064,2056,2070,-6,-14,-8
LAND ROVER,RAC,739,739,740,-1,-1,0
LAND ROVER SANTANA,Private,0,3,0,0,3,3
LANDINI,Private,0,1,0,0,1,1
LE VOYAGEUR,Private,0,1,0,0,1,1
LEAPMOTOR,Corporate,0,843,598,-598,245,843
LEAPMOTOR,Private,0,2299,1151,-1151,1148,2299
LEAPMOTOR,RAC,0,87,82,-82,5,87
LEMAUTO,Corporate,0,1,0,0,1,1
LEMAUTO,Private,0,2,0,0,2,2
LEVC,Corporate,0,5,5,-5,0,5
LEVC,Private,0,0,0,0,0,0
LEVC,RAC,0,1,1,-1,0,1
LEXUS,Corporate,10923,10984,10958,-35,26,61
LEXUS,Private,13827,13766,13770,57,-4,-61
LEXUS,RAC,1080,1080,1067,13,13,0
LIDER LOWBED,Corporate,0,1,0,0,1,1
LIDERKIT,Corporate,0,60,0,0,60,60
LIDERKIT,Private,0,7,0,0,7,7
LIDERKIT,RAC,0,78,0,0,78,78
LIGIER,Corporate,0,423,0,0,423,423
LIGIER,Private,0,2017,0,0,2017,2017
LIGIER,RAC,0,9,0,0,9,9
LIGIER PROFESSIONAL,Corporate,0,1,0,0,1,1
LIGIER PROFESSIONAL,Private,0,1,0,0,1,1
LINCOLN,Corporate,0,3,0,0,3,3
LINCOLN,Private,0,1,0,0,1,1
LINGZHIDA,Private,0,1,0,0,1,1
LINHAI,Corporate,0,56,0,0,56,56
LINHAI,Private,0,65,0,0,65,65
LINHAI,RAC,0,3,0,0,3,3
LIVAN,Corporate,0,96,87,-87,9,96
LIVAN,Private,0,172,172,-172,0,172
LIVAN,RAC,0,17,22,-22,-5,17
LMC,RAC,0,1,0,0,1,1
LMC CARAVAN GMBH,RAC,0,1,0,0,1,1
LOJO,Corporate,0,2,0,0,2,2
LOJO,Private,0,1,0,0,1,1
LONCIN,Corporate,0,33,0,0,33,33
LONCIN,Private,0,43,0,0,43,43
LORCA,Corporate,0,3,0,0,3,3
LOS MAÑOS,Corporate,0,4,0,0,4,4
LOS MAÑOS,RAC,0,2,0,0,2,2
LOTUS,Corporate,0,15,16,-16,-1,15
LOTUS,Private,0,18,17,-17,1,18
LOTUS,RAC,0,0,0,0,0,0
LOTUS CARS LTD,Corporate,0,1,0,0,1,1
LUCID MOTORS,Corporate,0,5,0,0,5,5
LUIS GARCIA,Corporate,0,2,0,0,2,2
LUIS GARCIA,Private,0,1,0,0,1,1
LVTONG,Corporate,0,1,0,0,1,1
LYNK & CO,Corporate,0,1948,1942,-1942,6,1948
LYNK & CO,Private,0,476,480,-480,-4,476
LYNK & CO,RAC,0,4589,4589,-4589,0,4589
M TORRE,Corporate,0,3,0,0,3,3
