yyyymm,severity,kind,marca,canal,metric,value,threshold,detail
202504,INFO,KM0_FALLBACK,FORD,Corporate,b00d_private_moved_to_corporate,132,100,pool_b00d_private=1406; rate=0.0939
202504,INFO,KM0_FALLBACK,RENAULT,Corporate,b00d_private_moved_to_corporate,155,100,pool_b00d_private=2700; rate=0.0573
202504,INFO,KM0_FALLBACK,CITROEN,Corporate,b00d_private_moved_to_corporate,109,100,pool_b00d_private=1355; rate=0.0802
