yyyymm,severity,kind,marca,canal,metric,value,threshold,detail
202509,INFO,KM0_FALLBACK,RENAULT,Corporate,b00d_private_moved_to_corporate,157,100,pool_b00d_private=2730; rate=0.0573
202509,INFO,KM0_FALLBACK,FORD,Corporate,b00d_private_moved_to_corporate,121,100,pool_b00d_private=1294; rate=0.0939
