anyo,mes,dia,cod_prov,provincia,canal,fuel_type,count
2026,06,09,01,Álava,Corporate,BEV,2
2026,06,09,01,Álava,Corporate,ICE,5
2026,06,09,01,Álava,Corporate,PHEV,2
2026,06,09,01,Álava,Private,BEV,2
2026,06,09,01,Álava,Private,ICE,10
2026,06,09,01,Álava,Private,PHEV,2
2026,06,09,01,Álava,RAC,BEV,5
2026,06,09,02,Albacete,Corporate,BEV,1
2026,06,09,02,Albacete,Corporate,ICE,2
2026,06,09,02,Albacete,Corporate,PHEV,1
2026,06,09,02,Albacete,Private,BEV,1
2026,06,09,02,Albacete,Private,ICE,10
2026,06,09,02,Albacete,Private,PHEV,1
2026,06,09,03,Alicante,Corporate,BEV,2
2026,06,09,03,Alicante,Corporate,ICE,15
2026,06,09,03,Alicante,Corporate,PHEV,4
2026,06,09,03,Alicante,Private,BEV,22
2026,06,09,03,Alicante,Private,ICE,69
2026,06,09,03,Alicante,Private,PHEV,5
2026,06,09,03,Alicante,RAC,ICE,213
2026,06,09,03,Alicante,RAC,PHEV,386
2026,06,09,04,Almería,Corporate,BEV,1
2026,06,09,04,Almería,Corporate,ICE,4
2026,06,09,04,Almería,Corporate,PHEV,3
2026,06,09,04,Almería,Private,BEV,6
2026,06,09,04,Almería,Private,ICE,20
2026,06,09,04,Almería,Private,PHEV,3
2026,06,09,05,Ávila,Corporate,ICE,1
2026,06,09,05,Ávila,Corporate,PHEV,1
2026,06,09,05,Ávila,Private,BEV,1
2026,06,09,05,Ávila,Private,ICE,3
2026,06,09,06,Badajoz,Corporate,BEV,1
2026,06,09,06,Badajoz,Corporate,ICE,3
2026,06,09,06,Badajoz,Private,BEV,3
2026,06,09,06,Badajoz,Private,ICE,16
2026,06,09,06,Badajoz,Private,PHEV,1
2026,06,09,07,Baleares,Corporate,BEV,3
2026,06,09,07,Baleares,Corporate,ICE,13
2026,06,09,07,Baleares,Corporate,PHEV,5
2026,06,09,07,Baleares,Private,BEV,18
2026,06,09,07,Baleares,Private,ICE,43
2026,06,09,07,Baleares,Private,PHEV,3
